customer_account,customer_name,customer_segment,region,postcode_district,primary_warehouse_code,account_opened_date,credit_limit_gbp,account_status
C1057,Salford Bexley Services Ltd,Contractor,Yorkshire,BL4,WAR,2012-01-26,50000.0,Active
C1059,Barrowby Penhale Building Services Ltd,Contractor,Yorkshire,WA5,WAR,2018-01-18,35000.0,Active
C1062,Bexley Penhale Ltd,Housebuilder,East Midlands,NN11,DAV,2017-03-05,25000.0,Active
C1065,Penhale J R Building Services Ltd,Contractor,South West,TA6,BRS,2020-11-21,15000.0,Active
C1066,Aldridge Crowther Ltd,Contractor,East of England,NG7,DAV,2023-09-17,75000.0,Active
C1069,Barrowby Latimer Contracts Ltd,Contractor,Scotland,AB12,LIV,2021-12-31,75000.0,Active
C1071,Datchet Trentham & Sons Ltd,Contractor,South West,BS2,BRS,2018-05-20,75000.0,Active
C1072,Kirkby Kirkby Maintenance Ltd,Contractor,West Midlands,CV1,DAV,2016-01-09,25000.0,Active
C1073,Cheveley J R Plumbing & Heating Ltd,Contractor,East Midlands,LE3,DAV,2022-01-03,35000.0,Active
C1075,Crowther Mowbray Contracts Ltd,Builders' Merchant,North West,BL4,WAR,2022-08-08,5000.0,Active
C1078,Duncombe Fenwick Building Services Ltd,Contractor,East of England,B18,DAV,2013-08-01,15000.0,Active
C1081,Kirkby Ferrers Ltd,Contractor,North East,BL4,WAR,2022-04-02,50000.0,Active
C1084,Penhale Fenwick Group Ltd,Facilities Management,East Midlands,NN1,DAV,2020-05-12,25000.0,Active
C1085,Fenwick Latimer & Sons Ltd,Contractor,Scotland,AB12,LIV,2021-12-09,35000.0,Active
C1086,Fenwick Ollerton & Sons Ltd,Builders' Merchant,North West,L24,WAR,2016-05-16,5000.0,Active
C1087,Duncombe Selwood Maintenance Ltd,Contractor,South West,TA6,BRS,2021-02-03,50000.0,Active
C1089,Bexley Duncombe Ltd,Contractor,East Midlands,B18,DAV,2019-02-03,10000.0,Active
C1090,Cheveley Latimer & Sons Ltd,Facilities Management,Yorkshire,PR2,WAR,2022-12-06,25000.0,Active
C1092,Crowther Crowther Contracts Ltd,Contractor,East of England,CB4,DAV,2019-11-03,25000.0,Active
C1094,Cheveley Penhale Ltd,Counter Trade,East Midlands,NG7,DAV,2015-11-27,50000.0,Active
C1097,J R Selwood Group Ltd,Contractor,East Midlands,CB4,DAV,2014-10-08,10000.0,Active
C1098,Mowbray Aldridge Services Ltd,Facilities Management,West Midlands,NN11,DAV,2015-03-16,10000.0,Active
C1101,Whitmore Fenwick Ltd,Counter Trade,North East,PR2,WAR,2020-03-20,10000.0,Active
C1104,Trentham Trentham Ltd,Facilities Management,East of England,PE1,DAV,2020-10-14,120000.0,Active
C1107,Selwood Whitmore Maintenance Ltd,Counter Trade,Wales,TA6,BRS,2021-10-08,120000.0,Active
C1109,Penhale Mowbray Plumbing & Heating Ltd,Contractor,Scotland,AB12,LIV,2015-03-13,50000.0,Active
C1110,Trentham Cheveley Ltd,Builders' Merchant,West Midlands,NN1,DAV,2018-05-15,10000.0,Active
C1113,Ferrers Duncombe Services Ltd,Builders' Merchant,East of England,CB4,DAV,2020-02-10,50000.0,Active
C1114,Cheveley Rannoch Contracts Ltd,Counter Trade,West Midlands,NG7,DAV,2017-04-25,75000.0,Active
C1115,Cheveley Barrowby Services Ltd,Contractor,Wales,EX4,BRS,2023-05-17,25000.0,Active
C1118,Ferrers Datchet & Sons Ltd,Counter Trade,East Midlands,LE3,DAV,2018-03-12,120000.0,Active
C1120,Barrowby Duncombe Ltd,Builders' Merchant,West Midlands,CB4,DAV,2021-08-14,35000.0,Active
C1123,Cheveley Duncombe Building Services Ltd,Builders' Merchant,North West,WA5,WAR,2020-11-08,35000.0,Active
C1124,Fenwick Ferrers Building Services Ltd,Contractor,Scotland,G52,LIV,2013-07-25,35000.0,Active
C1126,J R Aldridge Plumbing & Heating Ltd,Facilities Management,West Midlands,LE3,DAV,2016-02-09,10000.0,Active
C1127,Selwood Penhale Services Ltd,Contractor,West Midlands,MK9,DAV,2015-10-05,50000.0,Active
C1128,Duncombe Penhale Ltd,Contractor,Scotland,KY11,LIV,2019-11-03,120000.0,Active
C1131,Fenwick Latimer Ltd,Contractor,Scotland,KY11,LIV,2013-10-27,75000.0,Active
C1132,Barrowby Ollerton Group Ltd,Counter Trade,Wales,BS35,BRS,2012-05-18,25000.0,Active
C1133,Selwood Salford Plumbing & Heating Ltd,Contractor,East of England,LE3,DAV,2018-08-19,75000.0,Active
C1134,Salford Aldridge & Sons Ltd,Contractor,East of England,NN1,DAV,2018-09-29,5000.0,Active
C1137,Ferrers J R Building Services Ltd,Facilities Management,East Midlands,NG7,DAV,2021-07-02,10000.0,Active
C1138,Aldridge Ferrers Maintenance Ltd,Counter Trade,East of England,CV1,DAV,2020-11-30,5000.0,Active
C1139,Whitmore Kirkby Building Services Ltd,Facilities Management,South West,BS2,BRS,2014-12-20,5000.0,Active
C1140,Selwood Fenwick Services Ltd,Contractor,Wales,EX4,BRS,2014-08-13,120000.0,Active
C1141,Datchet Penhale Ltd,Contractor,North West,BL4,WAR,2013-02-06,35000.0,Active
C1143,Selwood Latimer Plumbing & Heating Ltd,Facilities Management,East Midlands,MK9,DAV,2019-12-25,120000.0,Active
C1145,Datchet J R Ltd,Contractor,West Midlands,DE21,DAV,2012-11-30,120000.0,Active
C1146,Barrowby Kirkby Plumbing & Heating Ltd,Facilities Management,East Midlands,NG7,DAV,2021-04-02,25000.0,Active
C1147,Penhale Cheveley & Sons Ltd,Contractor,South West,CF24,BRS,2018-08-15,5000.0,Active
C1148,Mowbray Datchet Group Ltd,Builders' Merchant,North East,BL4,WAR,2020-07-24,120000.0,Active
C1151,Crowther Kirkby Contracts Ltd,Counter Trade,Wales,BA14,BRS,2022-06-08,35000.0,Active
C1154,Ollerton Mowbray Maintenance Ltd,Contractor,Yorkshire,BL4,WAR,2022-12-12,5000.0,Active
C1156,Aldridge Latimer Services Ltd,Housebuilder,Yorkshire,LS11,WAR,2013-08-07,25000.0,Active
C1157,J R Datchet Services Ltd,Contractor,North East,LS11,WAR,2012-06-06,35000.0,Active
C1159,Bexley Ferrers Maintenance Ltd,Contractor,Scotland,G52,LIV,2017-10-31,25000.0,Active
C1160,Ollerton Datchet Ltd,Facilities Management,Scotland,PA3,LIV,2021-08-03,5000.0,Active
C1162,Whitmore Duncombe Ltd,Builders' Merchant,Yorkshire,WA5,WAR,2016-12-22,35000.0,Active
C1164,Selwood Fenwick Maintenance Ltd,Facilities Management,Yorkshire,BL4,WAR,2012-12-28,120000.0,Active
C1167,Kirkby Aldridge Services Ltd,Contractor,South West,BS35,BRS,2021-11-15,5000.0,Active
C1168,Rannoch Ollerton Contracts Ltd,Housebuilder,Scotland,AB12,LIV,2019-03-06,75000.0,Active
C1169,Trentham Ferrers Services Ltd,Contractor,West Midlands,NN1,DAV,2023-10-09,10000.0,Active
C1170,Aldridge Mowbray Contracts Ltd,Contractor,North East,M12,WAR,2022-08-27,10000.0,Active
C1171,Salford Duncombe Group Ltd,Counter Trade,South West,BA14,BRS,2022-02-26,10000.0,Active
C1174,Trentham Kirkby Building Services Ltd,Counter Trade,North West,S9,WAR,2020-06-16,15000.0,Active
C1176,Duncombe Fenwick Building Services Ltd,Housebuilder,East of England,DE21,DAV,2023-04-13,5000.0,Active
C1179,Datchet Bexley Ltd,Facilities Management,East of England,MK9,DAV,2022-08-01,75000.0,Active
C1180,Bexley Ferrers Services Ltd,Contractor,Scotland,KY11,LIV,2015-05-14,35000.0,Active
C1182,Rannoch Crowther & Sons Ltd,Contractor,North West,M12,WAR,2015-03-29,15000.0,Active
C1183,Duncombe Datchet Ltd,Contractor,East of England,B18,DAV,2016-08-01,50000.0,Active
C1184,Rannoch Trentham Plumbing & Heating Ltd,Contractor,East of England,DE21,DAV,2018-03-29,50000.0,Active
C1187,Trentham Trentham Services Ltd,Counter Trade,East Midlands,B18,DAV,2014-04-12,10000.0,Active
C1189,J R Fenwick Plumbing & Heating Ltd,Counter Trade,East of England,CV1,DAV,2014-02-27,15000.0,Active
C1191,Trentham Whitmore & Sons Ltd,Builders' Merchant,East Midlands,LE3,DAV,2022-01-29,50000.0,Active
C1193,Crowther Selwood Group Ltd,Contractor,North West,BL4,WAR,2017-03-27,50000.0,Active
C1194,Salford Barrowby Ltd,Builders' Merchant,East Midlands,MK9,DAV,2013-03-03,75000.0,Active
C1195,Cheveley Penhale Contracts Ltd,Counter Trade,East of England,NN1,DAV,2017-12-12,50000.0,Active
C1198,Bexley Whitmore Ltd,Facilities Management,North East,BL4,WAR,2022-08-27,15000.0,Active
C1201,Trentham Fenwick & Sons Ltd,Counter Trade,West Midlands,MK9,DAV,2012-10-29,15000.0,Active
C1204,Cheveley Whitmore Contracts Ltd,Contractor,North West,WA5,WAR,2013-06-22,15000.0,Active
C1207,Penhale Mowbray Services Ltd,Contractor,North East,WA3,WAR,2023-01-09,120000.0,Active
C1208,Mowbray Salford Group Ltd,Contractor,North East,WA3,WAR,2019-05-27,5000.0,Active
C1209,Whitmore Salford Ltd,Contractor,West Midlands,NG7,DAV,2021-08-23,120000.0,On hold
C1211,Mowbray Mowbray Services Ltd,Counter Trade,East of England,MK9,DAV,2015-08-19,120000.0,Active
C1212,Latimer Ferrers Ltd,Contractor,South West,CF24,BRS,2014-04-08,10000.0,Active
C1215,Cheveley Fenwick & Sons Ltd,Builders' Merchant,North West,WA3,WAR,2015-11-10,15000.0,Active
C1217,Trentham Salford Services Ltd,Contractor,East of England,DE21,DAV,2016-11-15,120000.0,Active
C1218,Crowther Rannoch Plumbing & Heating Ltd,Facilities Management,East Midlands,NN1,DAV,2018-01-03,35000.0,Active
C1219,Bexley Salford & Sons Ltd,Facilities Management,East of England,PE1,DAV,2015-01-19,120000.0,Active
C1222,Selwood Rannoch Ltd,Contractor,Scotland,G52,LIV,2017-01-24,120000.0,Active
C1225,Barrowby Crowther Contracts Ltd,Contractor,South West,GL1,BRS,2020-06-11,75000.0,Active
C1227,Selwood Crowther & Sons Ltd,Facilities Management,East Midlands,PE1,DAV,2018-06-07,35000.0,Active
C1230,Trentham Bexley Services Ltd,Counter Trade,North East,S9,WAR,2022-06-30,15000.0,Active
C1232,Latimer Penhale Ltd,Contractor,West Midlands,LE3,DAV,2014-07-25,10000.0,On hold
C1234,Mowbray Aldridge Building Services Ltd,Contractor,North West,CH5,WAR,2014-06-11,10000.0,Active
C1235,Fenwick Duncombe Ltd,Facilities Management,East Midlands,PE1,DAV,2021-09-09,10000.0,Active
C1236,Duncombe Rannoch Ltd,Contractor,West Midlands,PE1,DAV,2012-04-04,120000.0,Active
C1238,Trentham Rannoch Group Ltd,Housebuilder,Wales,SN2,BRS,2019-04-23,35000.0,Active
C1240,Ollerton Ollerton Services Ltd,Contractor,North West,WA3,WAR,2014-08-13,35000.0,Active
C1242,Duncombe Rannoch Plumbing & Heating Ltd,Builders' Merchant,Scotland,ML1,LIV,2016-07-02,120000.0,Active
C1243,Latimer Trentham Plumbing & Heating Ltd,Contractor,Yorkshire,NE11,WAR,2014-05-06,35000.0,Active
C1244,Selwood Crowther Ltd,Contractor,North East,LS11,WAR,2022-10-11,35000.0,Active
C1247,Barrowby Ollerton Maintenance Ltd,Builders' Merchant,Wales,CF24,BRS,2013-08-31,15000.0,Active
C1249,Kirkby Cheveley Ltd,Counter Trade,East Midlands,LE3,DAV,2022-09-09,15000.0,Active
C1251,Datchet Mowbray Building Services Ltd,Housebuilder,East Midlands,DE21,DAV,2022-10-20,35000.0,Active
C1253,Penhale Ferrers Ltd,Facilities Management,East Midlands,PE1,DAV,2020-10-22,25000.0,Active
C1254,Rannoch Selwood Ltd,Facilities Management,Scotland,KY11,LIV,2021-04-28,25000.0,Active
C1255,Bexley Mowbray Maintenance Ltd,Contractor,East Midlands,NG7,DAV,2018-10-07,50000.0,Active
C1257,Barrowby Kirkby Services Ltd,Contractor,East of England,NG7,DAV,2023-02-15,75000.0,Active
C1258,Fenwick Ferrers Services Ltd,Contractor,South West,EX4,BRS,2017-03-24,25000.0,Active
C1259,Selwood Selwood Contracts Ltd,Builders' Merchant,South West,BA14,BRS,2020-06-17,5000.0,Active
C1262,J R Mowbray Ltd,Contractor,East of England,MK9,DAV,2020-05-31,10000.0,Active
C1263,Rannoch Crowther Services Ltd,Contractor,Yorkshire,NE11,WAR,2013-03-10,15000.0,Active
C1264,Selwood Trentham Services Ltd,Contractor,North East,BL4,WAR,2022-04-28,15000.0,Active
C1266,Rannoch Kirkby Ltd,Contractor,Scotland,EH54,LIV,2018-04-16,50000.0,Active
C1267,Bexley Barrowby Services Ltd,Contractor,Scotland,IV2,LIV,2021-12-13,5000.0,Active
C1268,Selwood Fenwick Services Ltd,Contractor,Scotland,KY11,LIV,2019-07-19,5000.0,Active
C1270,Crowther Salford Group Ltd,Contractor,East Midlands,NG7,DAV,2019-01-24,120000.0,Active
C1273,Bexley Ferrers Contracts Ltd,Contractor,Wales,EX4,BRS,2019-12-31,50000.0,Active
C1276,Rannoch Cheveley Plumbing & Heating Ltd,Contractor,East of England,NN11,DAV,2022-11-26,5000.0,Active
C1278,Selwood Trentham Plumbing & Heating Ltd,Contractor,West Midlands,B18,DAV,2013-09-30,25000.0,Active
C1279,Ollerton Whitmore Ltd,Contractor,Scotland,KY11,LIV,2018-12-18,5000.0,Active
C1282,Rannoch Ollerton Group Ltd,Contractor,North West,PR2,WAR,2015-07-30,50000.0,Active
C1284,Kirkby Cheveley Ltd,Contractor,East Midlands,NN11,DAV,2022-07-27,5000.0,Active
C1287,Penhale Latimer Ltd,Counter Trade,North East,WA5,WAR,2021-03-25,50000.0,Active
C1290,Duncombe Bexley Plumbing & Heating Ltd,Builders' Merchant,East of England,LE3,DAV,2016-12-15,5000.0,Active
C1292,Duncombe Kirkby Contracts Ltd,Contractor,North West,L24,WAR,2016-10-18,120000.0,Active
C1294,Duncombe Penhale Maintenance Ltd,Facilities Management,Wales,EX4,BRS,2014-01-22,75000.0,Active
C1296,Rannoch Fenwick Contracts Ltd,Counter Trade,East Midlands,NG7,DAV,2023-08-31,120000.0,Active
C1299,Mowbray Bexley & Sons Ltd,Counter Trade,West Midlands,B18,DAV,2018-02-23,10000.0,Active
C1300,Ferrers Crowther Group Ltd,Contractor,East Midlands,NG7,DAV,2013-09-01,120000.0,Active
C1302,Mowbray Fenwick Plumbing & Heating Ltd,Contractor,Wales,EX4,BRS,2018-01-05,50000.0,Active
C1304,Crowther Trentham Services Ltd,Counter Trade,South West,CF24,BRS,2015-07-16,5000.0,Active
C1305,Cheveley Duncombe Building Services Ltd,Facilities Management,Scotland,G52,LIV,2017-12-16,10000.0,Active
C1307,J R Kirkby Ltd,Contractor,East of England,B18,DAV,2020-04-12,10000.0,Active
C1310,Barrowby Salford Maintenance Ltd,Contractor,Wales,SA1,BRS,2012-05-28,10000.0,Active
C1311,Duncombe Ferrers & Sons Ltd,Contractor,West Midlands,PE1,DAV,2013-05-29,50000.0,Active
C1313,Selwood Barrowby Ltd,Counter Trade,Scotland,PA3,LIV,2014-12-13,50000.0,Active
C1316,Whitmore Penhale Services Ltd,Contractor,West Midlands,CV1,DAV,2013-04-13,120000.0,Active
C1319,Aldridge Rannoch Ltd,Counter Trade,West Midlands,MK9,DAV,2018-12-07,25000.0,Active
C1320,Whitmore Ferrers Contracts Ltd,Facilities Management,East of England,CB4,DAV,2019-01-26,35000.0,Active
C1321,Salford Kirkby Maintenance Ltd,Contractor,Scotland,AB12,LIV,2012-09-10,35000.0,Active
C1323,Penhale J R Building Services Ltd,Contractor,West Midlands,NN11,DAV,2012-01-06,35000.0,Active
C1326,J R Rannoch Maintenance Ltd,Contractor,North West,S9,WAR,2012-03-05,120000.0,On hold
C1327,Salford Selwood Group Ltd,Contractor,East of England,B18,DAV,2020-05-31,10000.0,Active
C1328,Latimer Rannoch Services Ltd,Builders' Merchant,South West,PL4,BRS,2021-11-25,50000.0,Active
C1330,Crowther Cheveley Building Services Ltd,Facilities Management,Wales,BA14,BRS,2021-03-22,5000.0,Active
C1333,J R Ferrers Contracts Ltd,Housebuilder,Scotland,G52,LIV,2013-02-11,10000.0,Active
C1334,Mowbray Kirkby Ltd,Contractor,West Midlands,NG7,DAV,2016-10-30,10000.0,Active
C1335,Penhale J R Group Ltd,Contractor,East of England,LE3,DAV,2014-09-15,75000.0,Active
C1336,Penhale Bexley Plumbing & Heating Ltd,Contractor,Yorkshire,CH5,WAR,2013-10-11,25000.0,Active
C1338,Aldridge Crowther Services Ltd,Facilities Management,South West,EX4,BRS,2014-08-21,25000.0,Active
C1339,Datchet Whitmore Building Services Ltd,Facilities Management,South West,GL1,BRS,2016-06-09,75000.0,Active
C1340,Mowbray Rannoch Contracts Ltd,Contractor,East Midlands,DE21,DAV,2013-12-21,120000.0,Active
C1343,Whitmore Aldridge Services Ltd,Housebuilder,South West,EX4,BRS,2014-09-04,50000.0,Active
C1346,Mowbray Barrowby Ltd,Builders' Merchant,Yorkshire,NE11,WAR,2022-04-30,25000.0,Active
C1349,Trentham J R Plumbing & Heating Ltd,Contractor,North East,CH5,WAR,2013-04-20,5000.0,Active
C1352,Aldridge Bexley Ltd,Builders' Merchant,South West,SA1,BRS,2020-08-16,75000.0,Active
C1354,Barrowby Fenwick Contracts Ltd,Builders' Merchant,West Midlands,MK9,DAV,2017-02-18,10000.0,Active
C1355,Trentham Cheveley Ltd,Contractor,Yorkshire,WA5,WAR,2021-02-16,35000.0,Active
C1357,Salford Ferrers Ltd,Builders' Merchant,Scotland,IV2,LIV,2022-06-18,50000.0,Active
C1360,Cheveley Aldridge Building Services Ltd,Contractor,North West,S9,WAR,2019-01-21,25000.0,Active
C1363,Barrowby Bexley Maintenance Ltd,Counter Trade,East of England,CV1,DAV,2020-07-08,10000.0,Active
C1366,Ferrers Datchet Maintenance Ltd,Contractor,West Midlands,CV1,DAV,2020-06-19,5000.0,Active
C1367,Ollerton Cheveley Group Ltd,Contractor,West Midlands,LE3,DAV,2023-01-16,15000.0,Active
C1370,Rannoch Barrowby Plumbing & Heating Ltd,Contractor,West Midlands,NN1,DAV,2016-07-11,120000.0,Active
C1371,Kirkby Rannoch Contracts Ltd,Counter Trade,East Midlands,LE3,DAV,2012-07-28,35000.0,Active
C1372,Bexley Bexley Ltd,Contractor,East Midlands,NN1,DAV,2018-11-08,10000.0,Active
C1374,Fenwick Barrowby Ltd,Contractor,Wales,EX4,BRS,2012-06-09,120000.0,Active
C1375,Ollerton Datchet Plumbing & Heating Ltd,Contractor,East of England,MK9,DAV,2014-03-28,35000.0,Active
C1376,Fenwick Duncombe Maintenance Ltd,Builders' Merchant,North West,PR2,WAR,2022-06-18,15000.0,Active
C1379,Ollerton Salford Ltd,Contractor,Scotland,IV2,LIV,2014-05-28,50000.0,Active
C1382,Penhale Whitmore Ltd,Contractor,South West,BA14,BRS,2021-10-12,35000.0,Active
C1385,Duncombe Datchet Building Services Ltd,Counter Trade,East Midlands,NG7,DAV,2022-06-14,50000.0,Active
C1386,Rannoch Bexley Plumbing & Heating Ltd,Contractor,North West,NE11,WAR,2014-08-28,10000.0,Active
C1387,Ferrers Latimer Group Ltd,Contractor,Wales,SA1,BRS,2016-03-06,10000.0,Active
C1389,Ollerton Crowther Plumbing & Heating Ltd,Facilities Management,East Midlands,NN11,DAV,2018-05-02,35000.0,Active
C1391,J R J R Ltd,Contractor,Yorkshire,S9,WAR,2013-05-22,35000.0,Active
C1392,Trentham Mowbray Ltd,Contractor,North East,PR2,WAR,2014-07-03,75000.0,On hold
C1395,Salford Ferrers & Sons Ltd,Contractor,Yorkshire,LS11,WAR,2016-04-23,35000.0,Active
C1398,Trentham Salford Group Ltd,Builders' Merchant,North West,M12,WAR,2012-05-15,25000.0,Active
C1399,Ollerton Crowther Group Ltd,Facilities Management,Scotland,AB12,LIV,2016-04-29,15000.0,Active
C1401,Ollerton Barrowby Ltd,Builders' Merchant,East of England,PE1,DAV,2012-06-06,120000.0,Active
C1402,Datchet Ferrers Ltd,Contractor,North East,M12,WAR,2014-07-18,75000.0,Active
C1405,Aldridge Cheveley Ltd,Contractor,North East,LS11,WAR,2012-10-08,15000.0,Active
C1406,Bexley J R Services Ltd,Contractor,North West,CH5,WAR,2019-01-11,25000.0,Active
C1407,Crowther Barrowby Plumbing & Heating Ltd,Counter Trade,East of England,CB4,DAV,2015-05-25,25000.0,Active
C1408,Cheveley Datchet Contracts Ltd,Contractor,Yorkshire,BL4,WAR,2015-10-16,25000.0,Active
C1409,Datchet Ollerton Contracts Ltd,Facilities Management,North East,L24,WAR,2012-01-09,35000.0,Active
C1410,Duncombe Latimer Group Ltd,Facilities Management,East Midlands,MK9,DAV,2017-04-21,50000.0,Active
C1411,Kirkby Ollerton Ltd,Facilities Management,South West,PL4,BRS,2016-08-11,10000.0,Active
C1413,Rannoch Trentham Maintenance Ltd,Builders' Merchant,East Midlands,CB4,DAV,2022-01-19,35000.0,Active
C1416,Ollerton Bexley Ltd,Contractor,East Midlands,DE21,DAV,2018-02-16,35000.0,Active
C1419,Bexley Fenwick Ltd,Counter Trade,East of England,LE3,DAV,2014-11-28,50000.0,Active
C1422,Fenwick Trentham Maintenance Ltd,Counter Trade,Scotland,PA3,LIV,2015-02-08,10000.0,Active
C1423,Whitmore Penhale & Sons Ltd,Contractor,Scotland,IV2,LIV,2018-07-30,25000.0,Active
C1426,Mowbray Penhale Ltd,Facilities Management,West Midlands,MK9,DAV,2016-11-21,75000.0,Active
C1427,Barrowby Bexley Ltd,Contractor,East Midlands,B18,DAV,2021-11-06,75000.0,Active
C1429,Ferrers Datchet Ltd,Contractor,West Midlands,NN11,DAV,2022-01-23,75000.0,Active
C1430,Ollerton Mowbray Maintenance Ltd,Builders' Merchant,Scotland,KY11,LIV,2014-08-27,50000.0,Active
C1432,Trentham Selwood Ltd,Facilities Management,Scotland,G52,LIV,2018-06-19,35000.0,On hold
C1434,Crowther Latimer Contracts Ltd,Contractor,East Midlands,PE1,DAV,2017-03-23,50000.0,Active
C1435,Whitmore Fenwick Plumbing & Heating Ltd,Facilities Management,Scotland,DD2,LIV,2020-09-04,15000.0,Active
C1437,Rannoch Bexley Plumbing & Heating Ltd,Contractor,West Midlands,LE3,DAV,2012-06-29,5000.0,Active
C1440,Penhale Kirkby & Sons Ltd,Contractor,East of England,CB4,DAV,2016-05-25,120000.0,Active
C1441,Mowbray Rannoch Ltd,Contractor,North East,L24,WAR,2023-02-16,10000.0,Active
C1442,Duncombe Duncombe Services Ltd,Counter Trade,East Midlands,LE3,DAV,2013-08-07,25000.0,Active
C1445,Cheveley Datchet Plumbing & Heating Ltd,Contractor,West Midlands,MK9,DAV,2023-06-02,25000.0,Active
C1447,Cheveley Selwood Ltd,Builders' Merchant,East of England,NN11,DAV,2018-01-07,5000.0,Active
C1450,Rannoch Selwood Maintenance Ltd,Facilities Management,North West,WA3,WAR,2018-09-09,25000.0,Active
C1452,Bexley Selwood Ltd,Contractor,West Midlands,LE3,DAV,2021-11-01,120000.0,Active
C1453,Cheveley Kirkby Building Services Ltd,Contractor,Wales,EX4,BRS,2020-08-12,5000.0,On hold
C1454,Aldridge Rannoch Services Ltd,Contractor,North East,BL4,WAR,2022-06-07,50000.0,Active
C1457,Trentham Rannoch Contracts Ltd,Counter Trade,West Midlands,CV1,DAV,2016-05-06,15000.0,Active
C1460,Trentham Trentham Ltd,Counter Trade,Yorkshire,BL4,WAR,2017-11-18,75000.0,Active
C1463,Mowbray Ferrers Plumbing & Heating Ltd,Facilities Management,South West,GL1,BRS,2021-09-27,75000.0,Active
C1464,Selwood Bexley & Sons Ltd,Builders' Merchant,North East,WA3,WAR,2019-09-08,10000.0,Active
C1466,Ollerton Duncombe Building Services Ltd,Contractor,Scotland,IV2,LIV,2013-10-22,25000.0,Active
C1468,Datchet Crowther Plumbing & Heating Ltd,Facilities Management,East Midlands,PE1,DAV,2013-04-29,75000.0,Active
C1470,Rannoch Aldridge Group Ltd,Contractor,East of England,LE3,DAV,2015-01-23,10000.0,Active
C1471,Trentham Duncombe Ltd,Contractor,East of England,B18,DAV,2017-08-31,50000.0,Active
C1474,Barrowby Whitmore Ltd,Contractor,North East,NE11,WAR,2020-01-22,15000.0,Active
C1475,Salford Selwood Contracts Ltd,Contractor,South West,CF24,BRS,2014-03-29,5000.0,Active
C1478,Bexley Ollerton Ltd,Builders' Merchant,Scotland,IV2,LIV,2015-05-19,120000.0,Active
C1479,Penhale Penhale Ltd,Contractor,East Midlands,B18,DAV,2017-05-26,75000.0,Active
