sku,warehouse_code,reorder_point_units,reorder_quantity_units,safety_stock_units,review_method,last_reviewed_date,set_by_buyer,stocked_since
PIPE-1004,LIV,209,296,167,Manual buyer judgement,2023-12-11,S. Nkemelu,2019-09-02
PIPE-1004,WAR,89,202,53,Min/max,2024-01-19,S. Nkemelu,2017-02-10
PIPE-1011,DAV,194,150,93,Manual buyer judgement,2025-03-08,M. Castleford,2012-05-06
PIPE-1017,BRS,304,150,96,Periodic review,2025-07-11,S. Nkemelu,2024-07-01
PIPE-1017,DAV,684,342,203,Manual buyer judgement,2025-08-16,S. Nkemelu,2018-10-05
PIPE-1017,LIV,870,454,373,Periodic review,2024-11-19,M. Castleford,2019-09-02
PIPE-1017,WAR,567,308,146,Min/max,2025-03-05,S. Nkemelu,2018-10-05
PIPE-1025,BRS,598,302,142,Manual buyer judgement,2025-09-15,M. Castleford,2024-07-01
PIPE-1025,DAV,1412,785,308,Manual buyer judgement,2024-11-01,A. Whitcombe,2020-04-12
PIPE-1025,LIV,1597,964,543,Min/max,2025-06-21,A. Whitcombe,2020-04-12
PIPE-1025,WAR,1117,661,214,Min/max,2025-10-13,T. Harrowby,2020-04-12
PIPE-1029,BRS,76,176,42,Min/max,2025-12-05,A. Whitcombe,2024-07-01
PIPE-1029,DAV,168,464,85,Min/max,2023-11-02,M. Castleford,2019-08-22
PIPE-1029,LIV,247,570,167,Periodic review,2024-12-16,S. Nkemelu,2019-09-02
PIPE-1029,WAR,127,391,59,Periodic review,2024-03-13,A. Whitcombe,2019-08-22
PIPE-1038,BRS,193,150,73,Min/max,2024-11-24,R. Deakin,2024-07-01
PIPE-1038,DAV,431,197,154,Periodic review,2025-04-07,R. Deakin,2023-05-03
PIPE-1038,LIV,539,244,273,Manual buyer judgement,2025-08-05,M. Castleford,2023-05-03
PIPE-1038,WAR,349,175,110,Periodic review,2024-04-04,R. Deakin,2023-05-03
PIPE-1044,BRS,505,249,129,Periodic review,2025-10-30,T. Harrowby,2024-07-01
PIPE-1044,DAV,1167,634,276,Periodic review,2025-03-15,R. Deakin,2021-03-24
PIPE-1044,LIV,1356,790,492,Min/max,2025-09-05,M. Castleford,2021-03-24
PIPE-1044,WAR,930,539,194,Manual buyer judgement,2024-02-19,T. Harrowby,2021-03-24
PIPE-1054,DAV,83,150,76,Manual buyer judgement,2024-05-06,A. Whitcombe,2012-06-11
PIPE-1061,BRS,351,163,104,Min/max,2025-08-21,T. Harrowby,2024-07-01
PIPE-1061,DAV,784,401,220,Min/max,2025-11-06,T. Harrowby,2012-11-26
PIPE-1061,LIV,967,519,399,Min/max,2025-07-24,M. Castleford,2019-09-02
PIPE-1061,WAR,654,363,159,Periodic review,2025-05-09,A. Whitcombe,2014-05-12
PIPE-1064,BRS,75,150,42,Min/max,2025-12-05,A. Whitcombe,2024-07-01
PIPE-1064,DAV,117,228,76,Min/max,2024-08-13,S. Nkemelu,2018-01-08
PIPE-1064,LIV,205,270,167,Periodic review,2025-04-10,R. Deakin,2019-09-02
PIPE-1064,WAR,88,200,53,Min/max,2023-11-12,M. Castleford,2018-01-08
PIPE-1070,BRS,75,150,42,Periodic review,2025-04-02,R. Deakin,2024-07-01
PIPE-1070,DAV,105,160,76,Periodic review,2025-05-05,A. Whitcombe,2012-11-26
PIPE-1070,WAR,78,150,53,Manual buyer judgement,2025-01-09,M. Castleford,2014-05-12
PIPE-1079,DAV,195,150,93,Periodic review,2025-11-19,M. Castleford,2021-06-08
PIPE-1088,DAV,284,150,119,Manual buyer judgement,2025-04-14,T. Harrowby,2016-05-17
PIPE-1088,WAR,223,150,84,Min/max,2024-12-14,R. Deakin,2016-05-17
PIPE-1094,DAV,229,150,104,Periodic review,2024-02-23,T. Harrowby,2018-05-02
PIPE-1094,WAR,174,150,72,Min/max,2023-12-20,T. Harrowby,2018-05-02
PIPE-1101,BRS,75,150,42,Min/max,2025-02-25,S. Nkemelu,2024-07-01
PIPE-1101,DAV,128,288,76,Min/max,2025-02-08,A. Whitcombe,2019-12-10
PIPE-1101,LIV,218,366,167,Min/max,2023-09-28,R. Deakin,2019-12-10
PIPE-1101,WAR,97,251,53,Min/max,2024-04-10,T. Harrowby,2019-12-10
PIPE-1109,BRS,82,203,42,Min/max,2025-06-08,S. Nkemelu,2024-07-01
PIPE-1109,DAV,179,504,88,Periodic review,2025-09-04,S. Nkemelu,2018-01-20
PIPE-1109,LIV,256,639,167,Min/max,2025-08-28,T. Harrowby,2019-09-02
PIPE-1109,WAR,141,449,63,Min/max,2025-03-07,R. Deakin,2018-01-20
PIPE-1117,DAV,104,150,76,Min/max,2025-10-21,M. Castleford,2014-10-21
PIPE-1119,BRS,100,267,48,Min/max,2025-05-31,R. Deakin,2024-07-01
PIPE-1119,DAV,220,663,101,Min/max,2025-08-15,T. Harrowby,2020-02-09
PIPE-1119,LIV,303,857,183,Periodic review,2025-03-13,S. Nkemelu,2020-02-09
PIPE-1119,WAR,173,578,72,Min/max,2025-10-06,S. Nkemelu,2020-02-09
PIPE-1126,DAV,92,150,76,Min/max,2025-11-25,M. Castleford,2015-03-21
PIPE-1126,WAR,75,150,53,Min/max,2023-09-17,A. Whitcombe,2015-03-21
PIPE-1135,BRS,75,150,42,Min/max,2025-10-11,T. Harrowby,2024-07-01
PIPE-1135,DAV,108,176,76,Min/max,2024-12-20,T. Harrowby,2017-08-14
PIPE-1135,WAR,79,150,53,Min/max,2025-07-24,R. Deakin,2017-08-14
PIPE-1142,BRS,75,150,42,Min/max,2025-01-11,M. Castleford,2024-07-01
PIPE-1142,DAV,108,176,76,Min/max,2025-05-21,S. Nkemelu,2020-11-14
PIPE-1142,LIV,199,223,167,Min/max,2025-04-12,M. Castleford,2020-11-14
PIPE-1142,WAR,80,155,53,Min/max,2025-03-28,T. Harrowby,2020-11-14
PIPE-1150,BRS,265,150,88,Periodic review,2025-06-14,T. Harrowby,2024-07-01
PIPE-1150,DAV,604,296,189,Min/max,2025-05-06,M. Castleford,2012-11-27
PIPE-1150,LIV,749,375,339,Periodic review,2024-07-12,T. Harrowby,2019-09-02
PIPE-1150,WAR,484,256,134,Periodic review,2025-06-29,T. Harrowby,2014-05-12
PIPE-1156,DAV,166,150,84,Min/max,2024-05-12,A. Whitcombe,2016-09-02
PIPE-1165,BRS,75,150,42,Manual buyer judgement,2025-09-27,T. Harrowby,2024-07-01
PIPE-1165,DAV,114,208,76,Periodic review,2025-09-23,R. Deakin,2012-08-21
PIPE-1165,LIV,206,279,167,Min/max,2024-03-03,T. Harrowby,2019-09-02
PIPE-1165,WAR,86,187,53,Periodic review,2025-03-08,R. Deakin,2014-05-12
PIPE-1168,BRS,125,360,55,Min/max,2025-05-15,R. Deakin,2024-07-01
PIPE-1168,DAV,281,910,118,Min/max,2025-04-29,T. Harrowby,2023-08-02
PIPE-1168,LIV,375,1162,213,Periodic review,2023-09-30,R. Deakin,2023-08-02
PIPE-1168,WAR,223,797,84,Min/max,2024-05-11,A. Whitcombe,2023-08-02
PIPE-1175,DAV,133,150,76,Manual buyer judgement,2025-03-27,R. Deakin,2011-03-07
PIPE-1186,DAV,96,150,76,Min/max,2025-10-07,T. Harrowby,2021-12-15
PIPE-1186,WAR,75,150,53,Min/max,2025-08-19,A. Whitcombe,2021-12-15
PIPE-1189,BRS,75,150,42,Manual buyer judgement,2023-08-09,T. Harrowby,2024-07-01
PIPE-1189,DAV,104,154,76,Manual buyer judgement,2024-12-05,S. Nkemelu,2018-02-22
PIPE-1189,WAR,76,150,53,Periodic review,2025-03-09,R. Deakin,2018-02-22
PIPE-1201,BRS,228,763,81,Min/max,2025-04-16,S. Nkemelu,2024-07-01
PIPE-1201,DAV,521,1941,173,Periodic review,2024-12-30,R. Deakin,2012-02-05
PIPE-1201,LIV,640,2399,306,Periodic review,2025-12-06,A. Whitcombe,2019-09-02
PIPE-1201,WAR,406,1639,121,Periodic review,2024-03-05,A. Whitcombe,2014-05-12
PIPE-1206,BRS,75,150,42,Min/max,2025-07-05,S. Nkemelu,2024-07-01
PIPE-1206,DAV,111,195,76,Min/max,2024-05-26,T. Harrowby,2012-03-31
PIPE-1206,LIV,201,239,167,Manual buyer judgement,2025-06-01,R. Deakin,2019-09-02
PIPE-1206,WAR,82,166,53,Min/max,2025-03-09,M. Castleford,2014-05-12
PIPE-1214,BRS,75,150,42,Min/max,2024-02-08,T. Harrowby,2024-07-01
PIPE-1214,DAV,98,150,76,Min/max,2025-07-26,S. Nkemelu,2012-07-08
PIPE-1214,WAR,75,150,53,Min/max,2025-11-10,R. Deakin,2014-05-12
RENW-1000,BRS,4,8,2,Periodic review,2025-08-21,A. Whitcombe,2024-07-01
RENW-1000,DAV,7,19,3,Min/max,2025-01-05,A. Whitcombe,2014-08-20
RENW-1000,LIV,9,23,5,Periodic review,2025-03-19,T. Harrowby,2019-09-02
RENW-1000,WAR,5,16,2,Periodic review,2025-10-05,T. Harrowby,2014-08-20
RENW-1010,DAV,4,7,2,Min/max,2024-12-08,S. Nkemelu,2020-07-28
RENW-1018,DAV,3,3,2,Manual buyer judgement,2024-08-15,M. Castleford,2011-12-10
RENW-1022,DAV,3,5,2,Periodic review,2024-05-26,T. Harrowby,2018-05-01
RENW-1031,DAV,4,8,2,Min/max,2025-03-25,R. Deakin,2019-07-18
RENW-1035,DAV,7,9,3,Min/max,2024-12-25,T. Harrowby,2018-11-26
RENW-1042,DAV,4,6,2,Manual buyer judgement,2025-05-28,T. Harrowby,2019-09-16
RENW-1053,DAV,9,15,3,Manual buyer judgement,2025-02-04,M. Castleford,2021-03-16
RENW-1061,DAV,4,8,2,Periodic review,2025-03-24,M. Castleford,2016-03-03
RENW-1068,DAV,3,3,2,Min/max,2025-06-20,M. Castleford,2014-05-08
RENW-1070,DAV,3,3,2,Periodic review,2024-12-16,T. Harrowby,2011-03-30
RENW-1081,DAV,4,3,2,Periodic review,2023-08-12,T. Harrowby,2014-07-26
RENW-1087,BRS,4,9,2,Min/max,2024-11-30,M. Castleford,2024-07-01
RENW-1087,DAV,7,18,3,Min/max,2024-04-02,A. Whitcombe,2011-04-14
