purchase_order_number,line_number,sku,quantity_ordered,unit_cost_gbp,line_status
PO-2024-00040,1,DRAIN-1158,264,60.94,Part received
PO-2024-00040,2,DRAIN-1095,144,87.36,Part received
PO-2024-00040,3,PIPE-1150,791,0.29,Part received
PO-2024-00040,4,TOOL-1031,147,11.24,Part received
PO-2024-00041,1,HEAT-1064,5,273.15,Received in full
PO-2024-00041,2,PIPE-1119,600,6.76,Part received
PO-2024-00041,3,RENW-1000,16,1717.85,Received in full
PO-2024-00041,4,TOOL-1175,36,2.78,Received in full
PO-2024-00042,1,TOOL-1087,42,2.22,Received in full
PO-2024-00042,2,PIPE-1186,152,0.92,Received in full
PO-2024-00042,3,ELEC-1025,54,28.95,Received in full
PO-2024-00042,4,HEAT-1142,10,442.8,Received in full
PO-2024-00043,1,VALV-1102,84,49.41,Part received
PO-2024-00043,2,ELEC-1088,348,10.48,Part received
PO-2024-00043,3,PIPE-1044,1666,11.02,Part received
PO-2024-00043,4,TOOL-1071,364,2.73,Part received
PO-2024-00044,1,HEAT-1089,5,484.02,Received in full
PO-2024-00044,2,DRAIN-1047,81,169.7,Received in full
PO-2024-00044,3,ELEC-1171,54,48.87,Received in full
PO-2024-00044,4,VENT-1060,6,119.95,Received in full
PO-2024-00045,1,HEAT-1182,5,444.63,Received in full
PO-2024-00045,2,RENW-1127,3,1245.85,Received in full
PO-2024-00045,3,PIPE-1186,152,0.91,Part received
PO-2024-00045,4,PIPE-1165,208,14.34,Received in full
PO-2024-00046,1,RENW-1095,4,2142.88,Received in full
PO-2024-00046,2,ELEC-1008,171,4.47,Received in full
PO-2024-00047,1,TOOL-1144,90,1.05,Received in full
PO-2024-00047,2,TOOL-1182,90,1.88,Part received
PO-2024-00047,3,RENW-1053,24,1889.75,Part received
PO-2024-00047,4,TOOL-1051,77,0.82,Received in full
PO-2024-00048,1,TOOL-1182,37,2.38,Received in full
PO-2024-00048,2,DRAIN-1158,112,79.92,Part received
PO-2024-00048,3,DRAIN-1098,24,36.56,Received in full
PO-2024-00048,4,RENW-1031,8,2036.27,Received in full
PO-2024-00049,1,TOOL-1021,76,1.68,Received in full
PO-2024-00049,2,DRAIN-1047,69,169.59,Received in full
PO-2024-00050,1,ELEC-1081,54,14.59,Received in full
PO-2024-00051,1,TOOL-1047,36,1.01,Received in full
PO-2024-00051,2,PIPE-1038,468,1.07,Part received
PO-2024-00052,1,HEAT-1124,8,650.48,Received in full
PO-2024-00052,2,HEAT-1082,14,209.05,Received in full
PO-2024-00053,1,HEAT-1039,5,259.07,Received in full
PO-2024-00053,2,HEAT-1200,8,953.71,Received in full
PO-2024-00053,3,DRAIN-1122,24,38.22,Received in full
PO-2024-00053,4,TOOL-1067,112,7.53,Received in full
PO-2024-00054,1,VENT-1214,49,123.81,Received in full
PO-2024-00054,2,VENT-1168,24,150.51,Part received
PO-2024-00054,3,VALV-1172,36,53.28,Received in full
PO-2024-00054,4,TOOL-1205,48,1.2,Part received
PO-2024-00055,1,ELEC-1217,182,102.63,Part received
PO-2024-00055,2,HEAT-1211,7,408.66,Received in full
PO-2024-00055,3,ELEC-1184,91,106.04,Part received
PO-2024-00055,4,DRAIN-1204,36,6.91,Received in full
PO-2024-00056,1,DRAIN-1106,47,9.56,Received in full
PO-2024-00056,2,PIPE-1142,156,0.42,Received in full
PO-2024-00056,3,ELEC-1049,338,34.14,Part received
PO-2024-00057,1,HEAT-1200,6,939.67,Part received
PO-2024-00057,2,TOOL-1067,104,7.39,Part received
PO-2024-00057,3,VENT-1019,25,58.52,Part received
PO-2024-00057,4,TOOL-1155,36,36.13,Part received
PO-2024-00058,1,HEAT-1016,14,471.51,Received in full
PO-2024-00058,2,VENT-1205,7,24.88,Received in full
PO-2024-00058,3,TOOL-1175,45,2.74,Received in full
PO-2024-00058,4,VENT-1084,21,39.89,Received in full
PO-2024-00059,1,RENW-1158,7,2165.95,Received in full
PO-2024-00059,2,PIPE-1156,154,0.38,Part received
PO-2024-00059,3,VALV-1102,84,49.25,Part received
PO-2024-00059,4,PIPE-1011,168,0.41,Part received
PO-2024-00060,1,PIPE-1064,232,8.29,Part received
PO-2024-00061,1,VALV-1024,15,115.44,Received in full
PO-2024-00062,1,HEAT-1151,8,633.6,Received in full
PO-2024-00062,2,PIPE-1150,300,0.39,Part received
PO-2024-00062,3,VENT-1028,6,394.37,Received in full
PO-2024-00063,1,ELEC-1005,54,27.51,Part received
PO-2024-00063,2,DRAIN-1056,24,23.38,Received in full
PO-2024-00063,3,DRAIN-1084,24,7.41,Received in full
PO-2024-00064,1,HEAT-1064,5,276.1,Received in full
PO-2024-00064,2,HEAT-1016,29,469.63,Part received
PO-2024-00064,3,HEAT-1203,11,582.55,Received in full
PO-2024-00065,1,PIPE-1214,152,0.42,Received in full
PO-2024-00065,2,ELEC-1025,54,28.88,Received in full
PO-2024-00065,3,TOOL-1128,510,2.54,Received in full
PO-2024-00065,4,HEAT-1130,10,656.04,Received in full
PO-2024-00066,1,VALV-1215,48,17.03,Received in full
PO-2024-00066,2,TOOL-1047,36,1.01,Part received
PO-2024-00067,1,ELEC-1134,104,86.65,Received in full
PO-2024-00068,1,PIPE-1201,1984,11.54,Part received
PO-2024-00068,2,VENT-1158,6,115.56,Received in full
PO-2024-00069,1,VALV-1121,42,82.02,Received in full
PO-2024-00070,1,TOOL-1031,147,11.11,Received in full
PO-2024-00070,2,DRAIN-1095,144,86.93,Part received
PO-2024-00071,1,ELEC-1143,104,16.18,Received in full
PO-2024-00071,2,ELEC-1008,171,4.45,Part received
PO-2024-00072,1,VALV-1152,66,6.54,Received in full
PO-2024-00073,1,ELEC-1107,228,2.43,Part received
PO-2024-00073,2,TOOL-1077,126,2.6,Part received
PO-2024-00074,1,ELEC-1134,144,87.32,Part received
PO-2024-00075,1,RENW-1100,26,666.84,Received in full
PO-2024-00075,2,HEAT-1161,6,769.39,Received in full
PO-2024-00075,3,TOOL-1219,44,0.87,Received in full
PO-2024-00075,4,VENT-1053,6,31.75,Received in full
PO-2024-00076,1,ELEC-1143,288,12.73,Part received
PO-2024-00076,2,PIPE-1017,858,0.49,Part received
PO-2024-00076,3,HEAT-1004,8,182.59,Received in full
PO-2024-00076,4,VALV-1175,16,27.59,Part received
PO-2024-00077,1,VENT-1119,26,626.41,Received in full
PO-2024-00077,2,RENW-1145,7,2483.96,Received in full
PO-2024-00077,3,DRAIN-1051,24,127.42,Part received
PO-2024-00077,4,HEAT-1158,5,1027.7,Received in full
PO-2024-00078,1,TOOL-1214,36,9.92,Received in full
PO-2024-00078,2,DRAIN-1138,24,151.8,Received in full
PO-2024-00078,3,HEAT-1047,5,418.32,Received in full
PO-2024-00079,1,VALV-1121,38,83.42,Part received
PO-2024-00080,1,HEAT-1094,5,535.8,Received in full
PO-2024-00081,1,HEAT-1142,11,441.44,Received in full
PO-2024-00081,2,PIPE-1135,180,4.13,Part received
PO-2024-00081,3,VALV-1002,15,50.01,Received in full
PO-2024-00081,4,VALV-1007,32,11.52,Received in full
PO-2024-00082,1,RENW-1018,3,1827.63,Received in full
PO-2024-00082,2,VENT-1115,6,40.68,Received in full
PO-2024-00082,3,ELEC-1214,168,1.41,Received in full
PO-2024-00083,1,VALV-1030,15,25.19,Received in full
PO-2024-00084,1,ELEC-1217,210,102.86,Received in full
PO-2024-00084,2,ELEC-1150,85,14.87,Part received
PO-2024-00084,3,RENW-1122,5,1106.78,Received in full
PO-2024-00084,4,TOOL-1092,70,30.45,Part received
PO-2024-00085,1,VENT-1075,6,180.32,Received in full
PO-2024-00085,2,PIPE-1126,150,7.45,Received in full
PO-2024-00085,3,PIPE-1029,465,4.38,Part received
PO-2024-00085,4,ELEC-1119,54,68.11,Received in full
PO-2024-00086,1,PIPE-1017,858,0.5,Part received
PO-2024-00087,1,PIPE-1165,192,14.13,Received in full
PO-2024-00087,2,PIPE-1101,260,1.78,Received in full
PO-2024-00087,3,HEAT-1130,8,665.66,Received in full
PO-2024-00087,4,VENT-1214,16,160.17,Received in full
PO-2024-00088,1,PIPE-1142,180,0.43,Part received
PO-2024-00089,1,TOOL-1115,36,1.04,Part received
PO-2024-00089,2,PIPE-1101,290,1.78,Received in full
PO-2024-00089,3,HEAT-1022,6,217.46,Received in full
PO-2024-00089,4,HEAT-1182,5,444.45,Received in full
PO-2024-00090,1,HEAT-1142,28,358.74,Received in full
PO-2024-00090,2,PIPE-1088,308,0.27,Part received
PO-2024-00090,3,TOOL-1077,240,1.95,Part received
PO-2024-00091,1,HEAT-1073,7,405.9,Received in full
PO-2024-00091,2,VENT-1019,26,58.15,Received in full
PO-2024-00091,3,PIPE-1061,406,2.08,Received in full
PO-2024-00091,4,DRAIN-1122,24,38.21,Received in full
PO-2024-00092,1,HEAT-1124,10,648.37,Part received
PO-2024-00092,2,HEAT-1082,15,204.84,Received in full
PO-2024-00093,1,VALV-1113,15,9.05,Received in full
PO-2024-00093,2,VALV-1110,23,11.89,Received in full
PO-2024-00094,1,VENT-1043,12,47.58,Received in full
PO-2024-00095,1,DRAIN-1016,53,73.13,Received in full
PO-2024-00096,1,PIPE-1201,1664,11.77,Part received
PO-2024-00096,2,ELEC-1088,125,13.09,Received in full
PO-2024-00097,1,DRAIN-1145,38,14.23,Received in full
PO-2024-00098,1,TOOL-1182,36,2.38,Received in full
PO-2024-00099,1,VALV-1130,19,18.47,Received in full
PO-2024-00099,2,TOOL-1110,64,20.33,Received in full
PO-2024-00100,1,ELEC-1134,112,86.11,Part received
PO-2024-00101,1,DRAIN-1179,120,104.63,Received in full
PO-2024-00101,2,TOOL-1018,66,1.12,Received in full
PO-2024-00101,3,VALV-1007,25,11.68,Received in full
PO-2024-00102,1,ELEC-1214,144,1.4,Received in full
PO-2024-00103,1,PIPE-1038,468,1.08,Part received
PO-2024-00104,1,HEAT-1103,7,200.64,Received in full
PO-2024-00104,2,ELEC-1075,54,28.8,Received in full
PO-2024-00104,3,TOOL-1137,52,21.16,Received in full
PO-2024-00105,1,PIPE-1029,405,4.36,Part received
PO-2024-00105,2,PIPE-1126,150,7.62,Received in full
PO-2024-00106,1,VALV-1056,78,19.29,Part received
PO-2024-00106,2,PIPE-1109,1400,2.72,Part received
PO-2024-00106,3,PIPE-1061,990,1.49,Part received
PO-2024-00106,4,TOOL-1163,108,5.49,Part received
PO-2024-00107,1,HEAT-1033,7,788.98,Received in full
PO-2024-00107,2,RENW-1018,3,1782.72,Received in full
PO-2024-00108,1,ELEC-1036,76,2.33,Received in full
PO-2024-00108,2,VALV-1187,17,11.24,Received in full
PO-2024-00108,3,HEAT-1161,6,761.57,Received in full
PO-2024-00109,1,VENT-1141,6,165.38,Received in full
PO-2024-00109,2,HEAT-1151,8,632.36,Received in full
PO-2024-00109,3,RENW-1212,4,1985.58,Received in full
PO-2024-00110,1,ELEC-1214,204,1.38,Part received
PO-2024-00111,1,HEAT-1142,28,352.81,Part received
PO-2024-00111,2,TOOL-1067,258,5.92,Part received
PO-2024-00112,1,HEAT-1094,5,541.21,Received in full
PO-2024-00113,1,VALV-1084,37,112.7,Received in full
PO-2024-00113,2,VALV-1192,55,38.42,Part received
PO-2024-00113,3,VALV-1080,22,129.87,Received in full
PO-2024-00113,4,VALV-1065,24,92.27,Received in full
PO-2024-00114,1,ELEC-1107,156,2.48,Part received
PO-2024-00115,1,ELEC-1131,130,19.81,Part received
PO-2024-00115,2,HEAT-1082,14,208.84,Received in full
PO-2024-00115,3,HEAT-1124,8,646.5,Received in full
PO-2024-00116,1,TOOL-1175,36,2.8,Received in full
PO-2024-00117,1,TOOL-1021,87,1.67,Received in full
PO-2024-00118,1,VALV-1192,138,28.12,Part received
PO-2024-00119,1,PIPE-1064,200,8.22,Received in full
PO-2024-00120,1,VALV-1110,20,11.83,Received in full
PO-2024-00121,1,VALV-1024,15,117.88,Received in full
PO-2024-00122,1,RENW-1180,20,1521.99,Received in full
PO-2024-00122,2,PIPE-1119,1876,5.25,Part received
PO-2024-00122,3,VALV-1042,48,9.14,Received in full
PO-2024-00122,4,PIPE-1168,2118,0.71,Part received
PO-2024-00123,1,TOOL-1163,40,6.83,Part received
PO-2024-00123,2,TOOL-1087,42,2.18,Part received
PO-2024-00123,3,VENT-1095,18,142.99,Received in full
PO-2024-00124,1,RENW-1035,9,1411.06,Received in full
PO-2024-00125,1,VALV-1084,32,111.14,Received in full
PO-2024-00125,2,VALV-1204,19,37.69,Part received
PO-2024-00125,3,VALV-1065,20,91.76,Received in full
PO-2024-00125,4,VALV-1091,37,69.77,Received in full
PO-2024-00126,1,HEAT-1016,66,376.59,Part received
PO-2024-00126,2,ELEC-1143,288,12.7,Part received
PO-2024-00127,1,VALV-1121,55,82.45,Part received
PO-2024-00128,1,TOOL-1077,126,2.58,Received in full
PO-2024-00128,2,PIPE-1025,1007,2.29,Part received
PO-2024-00129,1,PIPE-1101,666,1.43,Part received
PO-2024-00129,2,ELEC-1008,630,3.5,Part received
PO-2024-00130,1,HEAT-1016,14,471.99,Received in full
PO-2024-00130,2,RENW-1000,19,1683.72,Received in full
PO-2024-00131,1,VALV-1204,21,38.29,Received in full
PO-2024-00131,2,VENT-1026,6,59.41,Received in full
PO-2024-00131,3,VALV-1014,24,38.33,Received in full
PO-2024-00132,1,HEAT-1064,5,276.02,Received in full
PO-2024-00132,2,PIPE-1119,600,6.8,Received in full
PO-2024-00133,1,ELEC-1150,75,14.74,Received in full
PO-2024-00133,2,HEAT-1211,7,408.72,Received in full
PO-2024-00134,1,PIPE-1186,152,0.93,Received in full
PO-2024-00134,2,ELEC-1036,63,2.32,Part received
PO-2024-00134,3,TOOL-1128,425,2.53,Part received
PO-2024-00135,1,HEAT-1064,8,272.92,Part received
PO-2024-00135,2,HEAT-1112,5,311.81,Received in full
PO-2024-00136,1,PIPE-1038,468,1.06,Part received
PO-2024-00137,1,PIPE-1126,150,7.5,Received in full
PO-2024-00138,1,HEAT-1009,5,646.73,Received in full
PO-2024-00139,1,RENW-1171,6,729.74,Received in full
PO-2024-00139,2,DRAIN-1009,24,7.29,Received in full
PO-2024-00140,1,ELEC-1088,140,13.02,Received in full
PO-2024-00140,2,ELEC-1204,145,17.21,Received in full
PO-2024-00140,3,VALV-1130,19,18.3,Received in full
PO-2024-00141,1,ELEC-1094,156,3.23,Received in full
PO-2024-00141,2,DRAIN-1214,29,35.19,Received in full
PO-2024-00142,1,PIPE-1189,150,1.11,Received in full
PO-2024-00143,1,HEAT-1094,5,530.46,Received in full
PO-2024-00143,2,VENT-1066,8,42.58,Received in full
PO-2024-00144,1,RENW-1061,8,1696.46,Received in full
PO-2024-00145,1,DRAIN-1158,112,78.33,Part received
PO-2024-00145,2,DRAIN-1106,54,9.7,Received in full
PO-2024-00145,3,ELEC-1049,364,34.12,Received in full
PO-2024-00145,4,VENT-1002,18,58.71,Received in full
PO-2024-00146,1,ELEC-1143,104,16.57,Received in full
PO-2024-00147,1,VALV-1215,18,21.04,Part received
PO-2024-00148,1,RENW-1192,8,1178.84,Received in full
PO-2024-00148,2,PIPE-1004,248,1.61,Received in full
PO-2024-00148,3,ELEC-1102,54,11.31,Part received
PO-2024-00148,4,TOOL-1018,80,1.09,Received in full
PO-2024-00149,1,VALV-1056,33,24.73,Received in full
PO-2024-00149,2,DRAIN-1130,25,57.33,Received in full
PO-2024-00150,1,PIPE-1165,510,10.79,Part received
PO-2024-00150,2,HEAT-1203,30,473.63,Part received
PO-2024-00150,3,VALV-1152,66,6.47,Part received
PO-2024-00151,1,HEAT-1137,7,595.93,Received in full
PO-2024-00151,2,VENT-1129,9,53.51,Received in full
PO-2024-00152,1,ELEC-1162,54,23.41,Received in full
PO-2024-00153,1,VENT-1040,6,25.7,Received in full
PO-2024-00153,2,PIPE-1165,208,14.04,Received in full
PO-2024-00153,3,RENW-1068,3,2807.11,Received in full
PO-2024-00153,4,RENW-1201,3,983.48,Received in full
PO-2024-00154,1,ELEC-1117,224,2.54,Part received
PO-2024-00154,2,TOOL-1071,364,2.78,Part received
PO-2024-00154,3,TOOL-1155,72,26.2,Part received
PO-2024-00154,4,TOOL-1051,77,0.84,Part received
PO-2024-00155,1,VALV-1007,32,11.72,Received in full
PO-2024-00155,2,TOOL-1137,62,21.32,Received in full
PO-2024-00155,3,TOOL-1018,98,1.11,Received in full
PO-2024-00155,4,TOOL-1087,61,2.2,Received in full
PO-2024-00156,1,HEAT-1168,5,483.15,Received in full
PO-2024-00156,2,VENT-1080,6,81.06,Received in full
PO-2024-00156,3,PIPE-1206,198,0.55,Received in full
PO-2024-00156,4,ELEC-1197,71,55.68,Received in full
PO-2024-00157,1,HEAT-1200,8,946.85,Received in full
PO-2024-00157,2,HEAT-1073,7,399.78,Received in full
PO-2024-00157,3,TOOL-1155,36,35.8,Received in full
PO-2024-00158,1,DRAIN-1037,24,22.76,Received in full
PO-2024-00159,1,ELEC-1134,104,87.1,Received in full
PO-2024-00160,1,DRAIN-1113,43,15.62,Received in full
PO-2024-00161,1,RENW-1081,3,2045.95,Received in full
PO-2024-00161,2,RENW-1042,6,776.99,Received in full
PO-2024-00161,3,VENT-1043,12,46.88,Received in full
PO-2024-00162,1,PIPE-1109,504,3.39,Part received
PO-2024-00163,1,DRAIN-1106,132,7.6,Part received
PO-2024-00163,2,TOOL-1182,90,1.87,Part received
PO-2024-00164,1,HEAT-1022,6,217.06,Received in full
PO-2024-00164,2,RENW-1100,26,654.28,Received in full
PO-2024-00164,3,VENT-1185,6,71.58,Received in full
PO-2024-00164,4,RENW-1087,18,1022.34,Received in full
PO-2024-00165,1,TOOL-1021,87,1.7,Received in full
PO-2024-00165,2,ELEC-1171,54,48.09,Received in full
PO-2024-00165,3,HEAT-1089,5,482.67,Received in full
PO-2024-00165,4,VENT-1103,8,183.34,Received in full
PO-2024-00166,1,TOOL-1003,36,28.69,Received in full
PO-2024-00166,2,PIPE-1135,150,4.1,Received in full
PO-2024-00166,3,VALV-1102,27,61.2,Received in full
PO-2024-00166,4,PIPE-1004,208,1.62,Received in full
PO-2024-00167,1,PIPE-1029,570,4.34,Part received
PO-2024-00168,1,HEAT-1124,10,660.03,Received in full
PO-2024-00168,2,RENW-1161,9,687.74,Received in full
PO-2024-00168,3,HEAT-1082,15,208.49,Received in full
PO-2024-00169,1,RENW-1186,4,1449.63,Received in full
PO-2024-00170,1,VALV-1152,66,6.67,Part received
PO-2024-00170,2,PIPE-1070,372,10.82,Part received
PO-2024-00171,1,ELEC-1057,54,3.97,Received in full
PO-2024-00171,2,DRAIN-1199,24,5.59,Received in full
PO-2024-00171,3,ELEC-1107,180,2.47,Part received
PO-2024-00171,4,PIPE-1025,795,2.34,Part received
PO-2024-00172,1,VENT-1105,6,158.68,Received in full
PO-2024-00172,2,ELEC-1008,171,4.4,Received in full
PO-2024-00172,3,DRAIN-1113,47,15.44,Received in full
PO-2024-00173,1,VALV-1121,38,81.9,Received in full
PO-2024-00174,1,ELEC-1217,266,101.86,Part received
PO-2024-00175,1,RENW-1000,16,1705.07,Received in full
PO-2024-00175,2,HEAT-1064,5,275.04,Received in full
PO-2024-00176,1,TOOL-1110,56,20.4,Received in full
PO-2024-00176,2,ELEC-1088,125,13.19,Part received
PO-2024-00177,1,VALV-1215,18,21.19,Received in full
PO-2024-00178,1,ELEC-1046,55,50.16,Received in full
PO-2024-00179,1,HEAT-1182,5,439.35,Received in full
PO-2024-00179,2,RENW-1022,5,1185.29,Received in full
PO-2024-00179,3,RENW-1070,3,990.51,Received in full
PO-2024-00179,4,DRAIN-1075,25,62.62,Received in full
PO-2024-00180,1,RENW-1152,6,1893.87,Received in full
PO-2024-00180,2,ELEC-1194,68,51.51,Part received
PO-2024-00180,3,RENW-1035,9,1431.64,Received in full
PO-2024-00180,4,DRAIN-1145,46,14.61,Part received
PO-2024-00181,1,PIPE-1088,308,0.27,Part received
PO-2024-00181,2,HEAT-1161,12,604.74,Part received
PO-2024-00182,1,DRAIN-1192,29,116.35,Received in full
PO-2024-00183,1,HEAT-1064,24,213.16,Received in full
PO-2024-00183,2,TOOL-1051,77,0.82,Part received
PO-2024-00183,3,DRAIN-1005,72,5.08,Part received
PO-2024-00183,4,HEAT-1047,9,330.98,Received in full
PO-2024-00184,1,VALV-1121,42,82.45,Received in full
PO-2024-00185,1,VALV-1163,15,73.24,Received in full
PO-2024-00185,2,VALV-1024,15,117.71,Received in full
PO-2024-00186,1,TOOL-1087,51,2.21,Received in full
PO-2024-00186,2,ELEC-1102,54,11.44,Received in full
PO-2024-00186,3,VALV-1196,15,35.79,Received in full
