receipt_reference,line_number,purchase_order_number,purchase_order_line_number,warehouse_code,receipt_date,quantity_received,quantity_rejected
GRN-2024-00147,1,PO-2024-00078,2,DAV,2024-01-29,24,0
GRN-2024-00148,1,PO-2024-00078,3,DAV,2024-01-29,5,0
GRN-2024-00149,1,PO-2024-00081,1,DAV,2024-01-29,11,0
GRN-2024-00150,1,PO-2024-00081,4,DAV,2024-01-29,19,0
GRN-2024-00151,1,PO-2024-00082,1,DAV,2024-01-29,3,0
GRN-2024-00152,1,PO-2024-00085,3,DAV,2024-01-29,464,1
GRN-2024-00153,1,PO-2024-00007,4,DAV,2024-01-30,27,0
GRN-2024-00154,1,PO-2024-00073,1,LIV,2024-01-30,227,1
GRN-2024-00155,1,PO-2024-00080,1,DAV,2024-01-30,5,0
GRN-2024-00156,1,PO-2024-00081,2,DAV,2024-01-30,179,1
GRN-2024-00157,1,PO-2024-00081,3,DAV,2024-01-30,15,0
GRN-2024-00158,1,PO-2024-00082,2,DAV,2024-01-30,3,0
GRN-2024-00159,1,PO-2024-00082,3,DAV,2024-01-30,168,0
GRN-2024-00160,1,PO-2024-00083,1,DAV,2024-01-30,15,0
GRN-2024-00161,1,PO-2024-00085,1,DAV,2024-01-30,6,0
GRN-2024-00162,1,PO-2024-00085,4,DAV,2024-01-30,54,0
GRN-2024-00163,1,PO-2024-00087,1,WAR,2024-01-30,146,0
GRN-2024-00164,1,PO-2024-00087,3,WAR,2024-01-30,4,0
GRN-2024-00165,1,PO-2024-00087,4,WAR,2024-01-30,16,0
GRN-2024-00166,1,PO-2024-00052,1,WAR,2024-01-31,5,0
GRN-2024-00167,1,PO-2024-00053,2,DAV,2024-01-31,8,0
GRN-2024-00168,1,PO-2024-00057,4,WAR,2024-01-31,35,1
GRN-2024-00169,1,PO-2024-00064,3,WAR,2024-01-31,3,0
GRN-2024-00170,1,PO-2024-00088,1,DAV,2024-01-31,179,1
GRN-2024-00171,1,PO-2024-00089,1,DAV,2024-01-31,35,1
GRN-2024-00172,1,PO-2024-00089,2,DAV,2024-01-31,290,0
GRN-2024-00173,1,PO-2024-00089,3,DAV,2024-01-31,6,0
GRN-2024-00174,1,PO-2024-00089,4,DAV,2024-01-31,5,0
GRN-2024-00175,1,PO-2024-00006,3,DAV,2024-02-01,112,0
GRN-2024-00176,1,PO-2024-00007,2,DAV,2024-02-01,15,0
GRN-2024-00177,1,PO-2024-00013,3,DAV,2024-02-01,3,0
GRN-2024-00178,1,PO-2024-00025,1,DAV,2024-02-01,15,0
GRN-2024-00179,1,PO-2024-00027,2,DAV,2024-02-01,24,0
GRN-2024-00180,1,PO-2024-00053,1,DAV,2024-02-01,5,0
GRN-2024-00181,1,PO-2024-00053,3,DAV,2024-02-01,14,0
GRN-2024-00182,1,PO-2024-00055,2,WAR,2024-02-01,7,0
GRN-2024-00183,1,PO-2024-00055,4,WAR,2024-02-01,36,0
GRN-2024-00184,1,PO-2024-00057,1,WAR,2024-02-01,5,1
GRN-2024-00185,1,PO-2024-00057,2,WAR,2024-02-01,103,1
GRN-2024-00186,1,PO-2024-00062,1,DAV,2024-02-01,8,0
GRN-2024-00187,1,PO-2024-00095,1,DAV,2024-02-01,53,0
GRN-2024-00188,1,PO-2024-00096,1,WAR,2024-02-01,1663,1
GRN-2024-00189,1,PO-2024-00096,2,WAR,2024-02-01,125,0
GRN-2024-00190,1,PO-2024-00098,1,WAR,2024-02-01,36,0
GRN-2024-00191,1,PO-2024-00013,1,DAV,2024-02-02,24,0
GRN-2024-00192,1,PO-2024-00087,3,WAR,2024-02-02,4,0
GRN-2024-00193,1,PO-2024-00099,1,DAV,2024-02-02,13,0
GRN-2024-00194,1,PO-2024-00099,2,DAV,2024-02-02,64,0
GRN-2024-00195,1,PO-2024-00101,1,WAR,2024-02-02,120,0
GRN-2024-00196,1,PO-2024-00101,2,WAR,2024-02-02,48,0
GRN-2024-00197,1,PO-2024-00101,3,WAR,2024-02-02,25,0
GRN-2024-00198,1,PO-2024-00102,1,WAR,2024-02-02,144,0
GRN-2024-00199,1,PO-2024-00105,2,WAR,2024-02-02,150,0
GRN-2024-00200,1,PO-2024-00027,1,DAV,2024-02-05,15,0
GRN-2024-00201,1,PO-2024-00027,4,DAV,2024-02-05,43,0
GRN-2024-00202,1,PO-2024-00062,2,DAV,2024-02-05,299,1
GRN-2024-00203,1,PO-2024-00063,1,DAV,2024-02-05,53,1
GRN-2024-00204,1,PO-2024-00063,3,DAV,2024-02-05,24,0
GRN-2024-00205,1,PO-2024-00065,2,DAV,2024-02-05,13,0
GRN-2024-00206,1,PO-2024-00077,3,DAV,2024-02-05,23,1
GRN-2024-00207,1,PO-2024-00104,1,DAV,2024-02-05,7,0
GRN-2024-00208,1,PO-2024-00104,2,DAV,2024-02-05,54,0
GRN-2024-00209,1,PO-2024-00104,3,DAV,2024-02-05,52,0
GRN-2024-00210,1,PO-2024-00105,1,WAR,2024-02-05,231,0
GRN-2024-00211,1,PO-2024-00107,2,DAV,2024-02-05,3,0
GRN-2024-00212,1,PO-2024-00108,2,DAV,2024-02-05,17,0
GRN-2024-00213,1,PO-2024-00003,3,DAV,2024-02-06,22,0
GRN-2024-00214,1,PO-2024-00003,4,DAV,2024-02-06,3,0
GRN-2024-00215,1,PO-2024-00037,3,DAV,2024-02-06,3,0
GRN-2024-00216,1,PO-2024-00077,4,DAV,2024-02-06,5,0
GRN-2024-00217,1,PO-2024-00107,1,DAV,2024-02-06,7,0
GRN-2024-00218,1,PO-2024-00108,1,DAV,2024-02-06,76,0
GRN-2024-00219,1,PO-2024-00108,3,DAV,2024-02-06,6,0
GRN-2024-00220,1,PO-2024-00041,1,WAR,2024-02-07,3,0
GRN-2024-00221,1,PO-2024-00062,3,DAV,2024-02-07,4,0
GRN-2024-00222,1,PO-2024-00063,2,DAV,2024-02-07,24,0
GRN-2024-00223,1,PO-2024-00074,1,LIV,2024-02-07,142,2
GRN-2024-00224,1,PO-2024-00077,2,DAV,2024-02-07,7,0
GRN-2024-00225,1,PO-2024-00087,1,WAR,2024-02-07,46,0
GRN-2024-00226,1,PO-2024-00112,1,DAV,2024-02-07,5,0
GRN-2024-00227,1,PO-2024-00116,1,WAR,2024-02-07,36,0
GRN-2024-00228,1,PO-2024-00067,1,WAR,2024-02-08,104,0
GRN-2024-00229,1,PO-2024-00117,1,DAV,2024-02-08,87,0
GRN-2024-00230,1,PO-2024-00119,1,WAR,2024-02-08,200,0
GRN-2024-00231,1,PO-2024-00121,1,WAR,2024-02-08,15,0
GRN-2024-00232,1,PO-2024-00006,3,DAV,2024-02-09,68,0
GRN-2024-00233,1,PO-2024-00007,3,DAV,2024-02-09,11,0
GRN-2024-00234,1,PO-2024-00084,1,DAV,2024-02-09,210,0
GRN-2024-00235,1,PO-2024-00084,2,DAV,2024-02-09,84,1
GRN-2024-00236,1,PO-2024-00084,3,DAV,2024-02-09,5,0
GRN-2024-00237,1,PO-2024-00084,4,DAV,2024-02-09,69,1
GRN-2024-00238,1,PO-2024-00091,2,DAV,2024-02-09,26,0
GRN-2024-00239,1,PO-2024-00094,1,DAV,2024-02-09,12,0
GRN-2024-00240,1,PO-2024-00123,1,WAR,2024-02-09,39,1
GRN-2024-00241,1,PO-2024-00123,2,WAR,2024-02-09,41,1
GRN-2024-00242,1,PO-2024-00123,3,WAR,2024-02-09,18,0
GRN-2024-00243,1,PO-2024-00073,2,LIV,2024-02-12,123,3
GRN-2024-00244,1,PO-2024-00077,1,DAV,2024-02-12,26,0
GRN-2024-00245,1,PO-2024-00082,2,DAV,2024-02-12,3,0
GRN-2024-00246,1,PO-2024-00091,3,DAV,2024-02-12,312,0
GRN-2024-00247,1,PO-2024-00109,2,DAV,2024-02-12,8,0
GRN-2024-00248,1,PO-2024-00110,1,LIV,2024-02-12,203,1
GRN-2024-00249,1,PO-2024-00120,1,WAR,2024-02-12,20,0
GRN-2024-00250,1,PO-2024-00091,1,DAV,2024-02-13,7,0
GRN-2024-00251,1,PO-2024-00091,4,DAV,2024-02-13,24,0
GRN-2024-00252,1,PO-2024-00092,1,DAV,2024-02-13,9,1
GRN-2024-00253,1,PO-2024-00097,1,WAR,2024-02-13,38,0
GRN-2024-00254,1,PO-2024-00115,1,WAR,2024-02-13,127,3
GRN-2024-00255,1,PO-2024-00130,1,DAV,2024-02-13,14,0
GRN-2024-00256,1,PO-2024-00130,2,DAV,2024-02-13,19,0
GRN-2024-00257,1,PO-2024-00132,1,WAR,2024-02-13,5,0
GRN-2024-00258,1,PO-2024-00132,2,WAR,2024-02-13,600,0
GRN-2024-00259,1,PO-2024-00134,1,WAR,2024-02-13,152,0
GRN-2024-00260,1,PO-2024-00134,2,WAR,2024-02-13,62,1
GRN-2024-00261,1,PO-2024-00134,3,WAR,2024-02-13,424,1
GRN-2024-00262,1,PO-2024-00100,1,DAV,2024-02-14,111,1
GRN-2024-00263,1,PO-2024-00135,1,DAV,2024-02-14,7,1
GRN-2024-00264,1,PO-2024-00135,2,DAV,2024-02-14,5,0
GRN-2024-00265,1,PO-2024-00137,1,WAR,2024-02-14,150,0
GRN-2024-00266,1,PO-2024-00027,3,DAV,2024-02-15,9,0
GRN-2024-00267,1,PO-2024-00069,1,DAV,2024-02-15,42,0
GRN-2024-00268,1,PO-2024-00075,4,DAV,2024-02-15,2,0
GRN-2024-00269,1,PO-2024-00081,4,DAV,2024-02-15,13,0
GRN-2024-00270,1,PO-2024-00131,3,DAV,2024-02-15,24,0
GRN-2024-00271,1,PO-2024-00133,1,WAR,2024-02-15,75,0
GRN-2024-00272,1,PO-2024-00133,2,WAR,2024-02-15,5,0
GRN-2024-00273,1,PO-2024-00140,1,DAV,2024-02-15,140,0
GRN-2024-00274,1,PO-2024-00140,2,DAV,2024-02-15,145,0
GRN-2024-00275,1,PO-2024-00140,3,DAV,2024-02-15,19,0
GRN-2024-00276,1,PO-2024-00142,1,WAR,2024-02-15,150,0
GRN-2024-00277,1,PO-2024-00145,3,DAV,2024-02-15,364,0
GRN-2024-00278,1,PO-2024-00007,1,DAV,2024-02-16,22,0
GRN-2024-00279,1,PO-2024-00079,1,WAR,2024-02-16,22,1
GRN-2024-00280,1,PO-2024-00099,1,DAV,2024-02-16,6,0
GRN-2024-00281,1,PO-2024-00109,1,DAV,2024-02-16,6,0
GRN-2024-00282,1,PO-2024-00109,3,DAV,2024-02-16,4,0
GRN-2024-00283,1,PO-2024-00143,1,DAV,2024-02-16,5,0
GRN-2024-00284,1,PO-2024-00143,2,DAV,2024-02-16,8,0
GRN-2024-00285,1,PO-2024-00144,1,DAV,2024-02-16,8,0
GRN-2024-00286,1,PO-2024-00145,1,DAV,2024-02-16,111,1
GRN-2024-00287,1,PO-2024-00145,2,DAV,2024-02-16,54,0
GRN-2024-00288,1,PO-2024-00145,4,DAV,2024-02-16,18,0
GRN-2024-00289,1,PO-2024-00146,1,WAR,2024-02-16,104,0
GRN-2024-00290,1,PO-2024-00147,1,WAR,2024-02-16,17,1
GRN-2024-00291,1,PO-2024-00065,1,DAV,2024-02-19,56,0
GRN-2024-00292,1,PO-2024-00115,3,WAR,2024-02-19,8,0
GRN-2024-00293,1,PO-2024-00148,1,DAV,2024-02-19,8,0
GRN-2024-00294,1,PO-2024-00148,2,DAV,2024-02-19,248,0
GRN-2024-00295,1,PO-2024-00148,3,DAV,2024-02-19,53,1
GRN-2024-00296,1,PO-2024-00148,4,DAV,2024-02-19,80,0
GRN-2024-00297,1,PO-2024-00149,1,DAV,2024-02-19,33,0
GRN-2024-00298,1,PO-2024-00149,2,DAV,2024-02-19,25,0
GRN-2024-00299,1,PO-2024-00153,1,DAV,2024-02-19,6,0
GRN-2024-00300,1,PO-2024-00053,3,DAV,2024-02-20,10,0
GRN-2024-00301,1,PO-2024-00092,2,DAV,2024-02-20,15,0
GRN-2024-00302,1,PO-2024-00093,2,DAV,2024-02-20,23,0
GRN-2024-00303,1,PO-2024-00141,2,WAR,2024-02-20,20,0
GRN-2024-00304,1,PO-2024-00153,2,DAV,2024-02-20,208,0
GRN-2024-00305,1,PO-2024-00153,3,DAV,2024-02-20,3,0
GRN-2024-00306,1,PO-2024-00153,4,DAV,2024-02-20,3,0
GRN-2024-00307,1,PO-2024-00155,1,LIV,2024-02-20,32,0
GRN-2024-00308,1,PO-2024-00155,2,LIV,2024-02-20,62,0
GRN-2024-00309,1,PO-2024-00155,4,LIV,2024-02-20,61,0
GRN-2024-00310,1,PO-2024-00027,3,DAV,2024-02-21,8,0
GRN-2024-00311,1,PO-2024-00055,1,WAR,2024-02-21,181,1
GRN-2024-00312,1,PO-2024-00093,1,DAV,2024-02-21,15,0
GRN-2024-00313,1,PO-2024-00114,1,WAR,2024-02-21,155,1
GRN-2024-00314,1,PO-2024-00115,2,WAR,2024-02-21,10,0
GRN-2024-00315,1,PO-2024-00156,1,DAV,2024-02-21,5,0
GRN-2024-00316,1,PO-2024-00156,2,DAV,2024-02-21,6,0
GRN-2024-00317,1,PO-2024-00156,3,DAV,2024-02-21,198,0
GRN-2024-00318,1,PO-2024-00156,4,DAV,2024-02-21,71,0
GRN-2024-00319,1,PO-2024-00158,1,DAV,2024-02-21,24,0
GRN-2024-00320,1,PO-2024-00160,1,WAR,2024-02-21,43,0
GRN-2024-00321,1,PO-2024-00101,2,WAR,2024-02-22,18,0
GRN-2024-00322,1,PO-2024-00105,1,WAR,2024-02-22,173,1
GRN-2024-00323,1,PO-2024-00124,1,DAV,2024-02-22,9,0
GRN-2024-00324,1,PO-2024-00128,2,LIV,2024-02-22,1000,7
GRN-2024-00325,1,PO-2024-00162,1,DAV,2024-02-22,305,0
GRN-2024-00326,1,PO-2024-00052,1,WAR,2024-02-23,3,0
GRN-2024-00327,1,PO-2024-00079,1,WAR,2024-02-23,15,0
GRN-2024-00328,1,PO-2024-00113,3,DAV,2024-02-23,22,0
GRN-2024-00329,1,PO-2024-00139,1,DAV,2024-02-23,6,0
GRN-2024-00330,1,PO-2024-00139,2,DAV,2024-02-23,24,0
GRN-2024-00331,1,PO-2024-00164,1,DAV,2024-02-23,6,0
GRN-2024-00332,1,PO-2024-00169,1,DAV,2024-02-23,4,0
GRN-2024-00333,1,PO-2024-00091,3,DAV,2024-02-26,94,0
GRN-2024-00334,1,PO-2024-00113,4,DAV,2024-02-26,24,0
GRN-2024-00335,1,PO-2024-00128,1,LIV,2024-02-26,126,0
GRN-2024-00336,1,PO-2024-00138,1,DAV,2024-02-26,5,0
GRN-2024-00337,1,PO-2024-00155,3,LIV,2024-02-26,98,0
GRN-2024-00338,1,PO-2024-00164,2,DAV,2024-02-26,26,0
GRN-2024-00339,1,PO-2024-00164,3,DAV,2024-02-26,6,0
GRN-2024-00340,1,PO-2024-00164,4,DAV,2024-02-26,18,0
GRN-2024-00341,1,PO-2024-00165,1,DAV,2024-02-26,69,0
GRN-2024-00342,1,PO-2024-00165,2,DAV,2024-02-26,54,0
GRN-2024-00343,1,PO-2024-00165,3,DAV,2024-02-26,5,0
GRN-2024-00344,1,PO-2024-00165,4,DAV,2024-02-26,8,0
GRN-2024-00345,1,PO-2024-00166,1,WAR,2024-02-26,36,0
GRN-2024-00346,1,PO-2024-00166,3,WAR,2024-02-26,27,0
GRN-2024-00347,1,PO-2024-00166,4,WAR,2024-02-26,208,0
GRN-2024-00348,1,PO-2024-00167,1,LIV,2024-02-26,569,1
GRN-2024-00349,1,PO-2024-00168,3,DAV,2024-02-26,15,0
GRN-2024-00350,1,PO-2024-00062,3,DAV,2024-02-27,2,0
GRN-2024-00351,1,PO-2024-00141,1,WAR,2024-02-27,94,0
GRN-2024-00352,1,PO-2024-00152,1,DAV,2024-02-27,54,0
GRN-2024-00353,1,PO-2024-00157,3,DAV,2024-02-27,36,0
GRN-2024-00354,1,PO-2024-00172,1,DAV,2024-02-27,6,0
GRN-2024-00355,1,PO-2024-00172,2,DAV,2024-02-27,171,0
GRN-2024-00356,1,PO-2024-00007,3,DAV,2024-02-28,4,0
GRN-2024-00357,1,PO-2024-00040,1,WAR,2024-02-28,261,3
GRN-2024-00358,1,PO-2024-00141,2,WAR,2024-02-28,9,0
GRN-2024-00359,1,PO-2024-00166,2,WAR,2024-02-28,150,0
GRN-2024-00360,1,PO-2024-00175,1,WAR,2024-02-28,16,0
GRN-2024-00361,1,PO-2024-00175,2,WAR,2024-02-28,5,0
GRN-2024-00362,1,PO-2024-00176,1,WAR,2024-02-28,56,0
GRN-2024-00363,1,PO-2024-00176,2,WAR,2024-02-28,124,1
GRN-2024-00364,1,PO-2024-00177,1,WAR,2024-02-28,18,0
GRN-2024-00365,1,PO-2024-00113,1,DAV,2024-02-29,37,0
