sku,supplier_code,is_primary_source,quoted_lead_time_days,minimum_order_quantity,order_multiple,agreed_unit_cost_gbp,price_agreed_date
ELEC-1184,PENRT,True,14,42,7,104.72,2023-02-07
ELEC-1184,TANFD,False,55,273,39,79.73,2023-12-17
ELEC-1194,NEWLY,True,14,28,4,51.11,2024-02-17
ELEC-1197,ARDEN,True,7,14,1,65.02,2025-03-01
ELEC-1204,HALDN,True,7,30,5,17.41,2023-02-05
ELEC-1214,GRANH,True,7,36,6,1.39,2024-04-05
ELEC-1217,PENRT,True,14,98,14,102.94,2023-08-08
HEAT-1004,ARDEN,True,7,1,1,273.1,2025-03-01
HEAT-1004,UPTON,False,55,8,1,181.86,2024-05-07
HEAT-1009,RAVNS,True,14,1,1,638.29,2023-02-18
HEAT-1016,EASTN,True,7,6,1,466.42,2023-06-03
HEAT-1016,UPTON,False,55,66,11,380.45,2023-11-08
HEAT-1022,ARDEN,True,7,1,1,253.29,2025-03-01
HEAT-1033,GRANH,True,7,1,1,787.62,2024-03-15
HEAT-1039,MARSD,True,14,2,1,262.13,2023-11-18
HEAT-1047,EASTN,True,7,1,1,414.49,2024-01-18
HEAT-1047,MERID,False,55,9,1,334.36,2023-03-25
HEAT-1054,BRAMW,True,7,1,1,495.75,2023-05-16
HEAT-1059,IRWEL,True,14,2,1,271.46,2024-01-25
HEAT-1059,WROXH,False,55,10,1,197.51,2023-05-30
HEAT-1064,EASTN,True,7,2,1,272.89,2023-02-23
HEAT-1064,MERID,False,55,24,4,215.14,2023-09-13
HEAT-1073,MARSD,True,14,3,1,400.95,2023-02-16
HEAT-1082,IRWEL,True,14,9,1,207.45,2023-09-19
HEAT-1089,DERWT,True,7,1,1,483.18,2023-05-31
HEAT-1094,BRAMW,True,7,1,1,536.95,2023-02-03
HEAT-1103,ARDEN,True,7,1,1,236.39,2025-03-01
HEAT-1109,ARDEN,True,7,1,1,284.65,2025-03-01
HEAT-1112,EASTN,True,7,1,1,309.0,2024-01-03
HEAT-1124,IRWEL,True,14,4,1,652.39,2024-04-30
HEAT-1124,TANFD,False,55,24,4,493.33,2023-10-04
HEAT-1130,ARDEN,True,7,2,1,781.49,2025-03-01
HEAT-1137,JARVS,True,14,3,1,603.83,2023-06-28
HEAT-1142,ARDEN,True,7,2,1,515.57,2025-03-01
HEAT-1142,YARLT,False,55,28,4,353.85,2023-02-03
HEAT-1151,QUEND,True,14,3,1,631.86,2023-07-12
HEAT-1158,PENRT,True,14,1,1,1027.64,2023-01-26
HEAT-1161,ARDEN,True,7,1,1,906.72,2025-03-01
HEAT-1161,YARLT,False,55,12,1,602.68,2023-08-18
HEAT-1168,ARDEN,True,7,1,1,573.86,2025-03-01
HEAT-1175,MERID,False,55,2,1,203.81,2024-02-11
HEAT-1175,RAVNS,True,14,1,1,270.44,2023-04-03
HEAT-1182,ARDEN,True,7,1,1,518.66,2025-03-01
HEAT-1192,KENTM,True,14,3,1,260.16,2023-09-18
HEAT-1200,MARSD,True,14,3,1,945.17,2024-05-12
HEAT-1203,EASTN,True,7,2,1,589.06,2023-08-23
HEAT-1203,VERND,False,55,30,5,471.6,2023-03-10
HEAT-1211,PENRT,True,14,3,1,408.03,2023-05-16
PIPE-1004,ARDEN,True,7,48,8,1.9,2025-03-01
PIPE-1011,MERID,True,55,168,28,0.41,2023-02-07
PIPE-1017,UPTON,True,55,858,143,0.5,2024-02-01
PIPE-1025,MERID,True,55,2079,297,1.78,2023-03-17
PIPE-1025,ORMSK,False,14,318,53,2.32,2023-06-13
PIPE-1029,CHARN,True,7,105,15,4.32,2024-03-24
PIPE-1038,SELBY,True,55,468,78,1.07,2023-06-06
PIPE-1044,MARSD,False,14,294,42,14.83,2023-05-10
PIPE-1044,MERID,True,55,1666,238,11.07,2023-08-25
PIPE-1054,ARDEN,True,7,7,1,0.54,2025-03-01
PIPE-1061,KELSO,False,21,126,18,2.11,2023-06-13
PIPE-1061,MARSD,False,14,203,29,2.05,2024-03-28
PIPE-1061,MERID,True,55,990,165,1.5,2024-01-11
PIPE-1064,BRAMW,True,7,48,8,8.19,2023-09-19
PIPE-1070,EASTN,True,7,36,6,13.17,2023-07-20
PIPE-1070,VERND,False,55,372,62,10.76,2023-02-08
PIPE-1079,UPTON,True,55,168,28,0.71,2023-07-17
PIPE-1088,YARLT,True,55,308,44,0.27,2023-03-03
PIPE-1094,TANFD,True,55,198,33,7.75,2024-02-20
PIPE-1101,ARDEN,True,7,60,10,2.11,2025-03-01
PIPE-1101,TANFD,False,55,666,111,1.42,2023-10-14
PIPE-1109,EASTN,True,7,108,18,3.42,2023-01-05
PIPE-1109,MERID,False,55,1400,200,2.72,2023-04-13
PIPE-1117,TANFD,True,55,48,8,5.56,2023-12-24
PIPE-1119,EASTN,True,7,144,24,6.85,2023-07-06
PIPE-1119,MERID,False,55,1876,268,5.27,2023-07-13
PIPE-1126,CHARN,True,7,19,1,7.51,2023-04-04
PIPE-1135,ARDEN,True,7,42,6,4.81,2025-03-01
PIPE-1142,FOXLY,True,7,42,6,0.43,2023-12-09
PIPE-1150,QUEND,False,14,140,20,0.39,2023-12-11
PIPE-1150,WROXH,True,55,791,113,0.29,2024-01-20
PIPE-1156,JARVS,False,14,24,4,0.53,2023-07-24
PIPE-1156,MERID,True,55,154,22,0.38,2023-11-21
PIPE-1165,ARDEN,True,7,48,8,16.72,2025-03-01
PIPE-1165,VERND,False,55,510,85,10.91,2023-07-08
PIPE-1168,ARDEN,True,7,217,31,1.04,2025-03-01
PIPE-1168,MERID,False,55,2118,353,0.7,2023-01-19
PIPE-1175,MERID,True,55,96,16,0.28,2023-10-13
PIPE-1186,ARDEN,True,7,24,4,1.09,2025-03-01
PIPE-1186,MERID,False,55,315,45,0.69,2024-01-18
PIPE-1189,GRANH,True,7,30,5,1.11,2023-10-31
PIPE-1189,MERID,False,55,342,57,0.89,2024-03-01
PIPE-1201,HALDN,True,7,448,64,11.63,2024-04-09
PIPE-1201,TANFD,False,55,5061,723,9.66,2023-09-03
PIPE-1206,ARDEN,True,7,42,6,0.65,2025-03-01
PIPE-1214,ARDEN,True,7,28,4,0.5,2025-03-01
RENW-1000,EASTN,True,7,4,1,1701.45,2024-01-12
RENW-1000,SELBY,False,55,42,7,1337.2,2023-11-22
RENW-1010,EASTN,True,7,1,1,2798.47,2023-12-26
RENW-1018,GRANH,True,7,1,1,1803.63,2024-03-31
RENW-1022,ARDEN,True,7,1,1,1413.32,2025-03-01
RENW-1031,FOXLY,True,7,1,1,2059.28,2024-05-10
RENW-1035,NEWLY,True,14,3,1,1420.67,2023-11-11
RENW-1042,KENTM,True,14,2,1,780.83,2023-06-24
RENW-1042,SELBY,False,55,13,1,587.54,2023-06-16
RENW-1053,MARSD,True,14,4,1,2557.73,2023-05-10
RENW-1053,MERID,False,55,24,4,1900.95,2023-10-09
RENW-1061,CHARN,True,7,1,1,1684.21,2023-11-24
RENW-1061,VERND,False,55,10,1,1401.82,2023-11-20
RENW-1068,ARDEN,True,7,1,1,3328.05,2025-03-01
RENW-1070,ARDEN,True,7,1,1,1167.85,2025-03-01
RENW-1070,WROXH,False,55,4,1,801.09,2023-07-01
RENW-1081,KENTM,True,14,1,1,2061.85,2023-10-05
RENW-1087,ARDEN,True,7,3,1,1192.47,2025-03-01
RENW-1087,MERID,False,55,36,6,787.4,2023-07-04
RENW-1095,BRAMW,True,7,1,1,2144.31,2023-07-12
RENW-1095,UPTON,False,55,9,1,1740.29,2023-05-03
RENW-1100,ARDEN,True,7,6,1,775.67,2025-03-01
RENW-1105,ARDEN,True,7,1,1,3164.84,2025-03-01
RENW-1112,RAVNS,True,14,2,1,708.97,2023-02-09
RENW-1122,MERID,False,55,5,1,856.89,2023-11-24
RENW-1122,PENRT,True,14,1,1,1121.92,2023-09-28
RENW-1127,ARDEN,True,7,1,1,1456.32,2025-03-01
RENW-1134,ORMSK,True,14,1,1,693.44,2023-03-08
RENW-1145,PENRT,True,14,2,1,2474.9,2023-05-12
RENW-1152,NEWLY,True,14,2,1,1916.33,2023-01-19
RENW-1158,ARDEN,True,7,1,1,3317.84,2025-03-01
RENW-1158,MERID,False,55,7,1,2187.59,2023-05-28
RENW-1161,IRWEL,True,14,2,1,695.44,2023-07-27
RENW-1161,MERID,False,55,11,1,510.35,2024-01-21
RENW-1171,LANGD,True,14,2,1,720.33,2023-01-20
RENW-1180,ARDEN,True,7,2,1,2265.05,2025-03-01
RENW-1180,MERID,False,55,20,1,1506.81,2023-03-30
RENW-1186,HALDN,True,7,1,1,1433.28,2023-11-25
RENW-1192,ARDEN,True,7,1,1,1383.17,2025-03-01
RENW-1201,ARDEN,True,7,1,1,1175.69,2025-03-01
RENW-1203,RAVNS,True,14,1,1,766.38,2024-02-28
RENW-1212,QUEND,True,14,1,1,1965.92,2023-04-19
TOOL-1003,ARDEN,True,7,6,1,33.52,2025-03-01
TOOL-1007,BRAMW,True,7,4,1,1.89,2023-03-23
TOOL-1018,ARDEN,True,7,16,1,1.31,2025-03-01
TOOL-1018,SELBY,False,55,180,30,0.85,2023-10-09
TOOL-1021,DERWT,True,7,18,1,1.69,2023-01-10
TOOL-1021,MERID,False,55,238,34,1.36,2023-03-17
TOOL-1031,WROXH,True,55,147,21,11.23,2023-10-28
TOOL-1037,ARDEN,True,7,2,1,2.25,2025-03-01
TOOL-1047,SELBY,True,55,36,6,1.01,2023-08-25
TOOL-1051,MERID,True,55,77,11,0.83,2023-03-11
TOOL-1056,MERID,True,55,17,1,9.33,2023-07-26
TOOL-1067,MARSD,False,14,48,8,7.43,2023-11-19
TOOL-1067,YARLT,True,55,258,43,5.85,2024-01-26
TOOL-1071,MERID,True,55,364,52,2.76,2023-08-03
TOOL-1077,ORMSK,False,14,42,7,2.58,2024-01-05
TOOL-1077,YARLT,True,55,240,40,1.95,2024-04-23
TOOL-1087,ARDEN,True,7,10,1,2.6,2025-03-01
TOOL-1092,MERID,True,55,182,26,22.98,2023-05-24
TOOL-1092,PENRT,False,14,30,5,30.61,2023-01-10
TOOL-1100,BRAMW,True,7,4,1,22.5,2024-02-25
TOOL-1110,HALDN,True,7,13,1,20.44,2023-12-03
TOOL-1110,MERID,False,55,144,24,16.22,2023-09-05
TOOL-1115,ARDEN,True,7,4,1,1.22,2025-03-01
TOOL-1124,ARDEN,True,7,5,1,25.91,2025-03-01
TOOL-1128,ARDEN,True,7,102,17,2.99,2025-03-01
TOOL-1128,SELBY,False,55,1140,190,2.07,2023-09-29
TOOL-1137,ARDEN,True,7,11,1,25.17,2025-03-01
TOOL-1144,MERID,True,55,90,15,1.05,2023-08-22
TOOL-1149,LANGD,False,14,16,1,3.24,2023-09-30
TOOL-1149,MERID,True,55,90,15,2.43,2023-07-21
TOOL-1155,MARSD,False,14,12,1,36.02,2023-12-29
TOOL-1155,MERID,True,55,72,12,26.52,2023-12-02
TOOL-1163,ARDEN,True,7,9,1,8.02,2025-03-01
TOOL-1163,MERID,False,55,108,18,5.46,2023-07-03
TOOL-1171,ARDEN,True,7,5,1,19.88,2025-03-01
TOOL-1175,EASTN,True,7,9,1,2.78,2023-06-09
TOOL-1175,YARLT,False,55,102,17,2.22,2023-10-21
TOOL-1182,FOXLY,True,7,8,1,2.38,2023-12-21
TOOL-1182,MERID,False,55,90,15,1.89,2024-04-05
TOOL-1192,HALDN,True,7,3,1,4.12,2024-02-01
TOOL-1201,CHARN,True,7,6,1,11.89,2023-08-21
TOOL-1205,MERID,True,55,48,8,1.19,2023-07-19
TOOL-1214,EASTN,True,7,5,1,9.88,2024-03-25
TOOL-1219,ARDEN,True,7,9,1,1.01,2025-03-01
VALV-1002,ARDEN,True,7,2,1,58.88,2025-03-01
VALV-1007,ARDEN,True,7,10,1,13.7,2025-03-01
VALV-1014,KELSO,True,21,5,1,38.68,2024-04-21
VALV-1024,CHARN,True,7,4,1,116.26,2023-03-03
VALV-1030,EASTN,True,7,3,1,25.0,2023-12-22
VALV-1037,DUNKD,True,21,2,1,33.19,2023-05-07
VALV-1042,KELSO,True,21,5,1,12.88,2023-06-27
VALV-1042,MERID,False,55,48,8,9.23,2023-06-16
VALV-1052,KELSO,True,21,1,1,11.34,2024-04-11
VALV-1056,EASTN,True,7,7,1,24.8,2023-10-12
VALV-1056,MERID,False,55,78,13,19.27,2023-08-08
VALV-1065,KELSO,True,21,6,1,93.03,2023-05-29
VALV-1075,ARDEN,True,7,2,1,31.79,2025-03-01
VALV-1075,DUNKD,False,21,2,1,30.6,2023-11-28
VALV-1075,MERID,False,55,20,1,21.41,2023-04-30
VALV-1080,KELSO,True,21,5,1,129.5,2023-07-16
VALV-1084,KELSO,True,21,9,1,111.53,2024-03-07
VALV-1084,MERID,False,55,84,14,81.35,2024-01-03
VALV-1091,KELSO,True,21,11,1,68.9,2023-12-30
VALV-1091,SELBY,False,55,112,16,49.14,2023-10-31
VALV-1102,ARDEN,True,7,7,1,71.89,2025-03-01
VALV-1102,MERID,False,55,84,12,48.96,2024-04-01
VALV-1110,CROMR,True,21,6,1,11.75,2024-05-13
VALV-1113,CROMR,True,21,2,1,8.97,2023-05-29
VALV-1121,BEWLY,True,21,11,1,82.89,2023-07-31
VALV-1130,HALDN,True,7,4,1,18.44,2023-12-16
VALV-1137,DUNKD,True,21,5,1,65.47,2024-05-12
VALV-1137,YARLT,False,55,42,7,45.88,2023-07-11
VALV-1140,KELSO,True,21,3,1,19.22,2024-04-18
VALV-1152,CROMR,False,21,7,1,9.58,2024-02-20
VALV-1152,KELSO,True,21,7,1,9.18,2024-03-16
VALV-1152,VERND,False,55,66,11,6.57,2023-12-16
VALV-1154,DUNKD,True,21,3,1,68.53,2023-08-14
VALV-1154,MERID,False,55,28,4,47.2,2023-04-11
VALV-1163,CHARN,True,7,2,1,73.37,2023-03-24
VALV-1172,DERWT,True,7,3,1,65.73,2023-08-07
VALV-1172,MERID,False,55,36,6,53.34,2023-12-12
VALV-1175,KELSO,True,21,2,1,41.15,2023-08-15
VALV-1175,UPTON,False,55,16,1,27.92,2023-07-14
VALV-1187,ARDEN,True,7,3,1,13.15,2025-03-01
VALV-1192,KELSO,True,21,15,1,38.16,2023-07-02
VALV-1192,WROXH,False,55,138,23,27.88,2023-02-27
VALV-1196,ARDEN,True,7,1,1,41.87,2025-03-01
VALV-1204,KELSO,True,21,6,1,38.05,2023-09-08
VALV-1215,GRANH,True,7,4,1,21.05,2023-04-01
VALV-1215,SELBY,False,55,48,8,16.84,2023-02-03
VENT-1002,FOXLY,True,7,3,1,58.52,2023-09-11
VENT-1009,ARDEN,True,7,2,1,502.63,2025-03-01
VENT-1019,MARSD,True,14,11,1,58.87,2023-04-28
VENT-1019,VERND,False,55,66,11,42.92,2023-05-12
VENT-1026,ARDEN,True,7,1,1,62.35,2025-03-01
VENT-1026,KELSO,False,21,1,1,58.58,2024-04-14
VENT-1026,UPTON,False,55,9,1,41.95,2023-08-30
VENT-1028,QUEND,True,14,1,1,394.12,2023-10-01
VENT-1040,ARDEN,True,7,1,1,30.6,2025-03-01
VENT-1043,KENTM,True,14,5,1,47.35,2023-07-16
VENT-1053,ARDEN,True,7,1,1,37.15,2025-03-01
VENT-1060,DERWT,True,7,1,1,120.35,2023-11-08
VENT-1066,BRAMW,True,7,2,1,42.84,2024-05-07
VENT-1075,CHARN,True,7,1,1,178.39,2023-10-13
VENT-1080,ARDEN,True,7,1,1,95.77,2025-03-01
VENT-1084,EASTN,True,7,4,1,39.46,2024-04-08
VENT-1084,WROXH,False,55,48,8,31.01,2023-11-28
VENT-1095,ARDEN,True,7,4,1,169.45,2025-03-01
VENT-1103,DERWT,True,7,2,1,181.23,2023-01-12
VENT-1105,BRAMW,True,7,1,1,159.65,2023-11-12
VENT-1115,GRANH,True,7,1,1,40.96,2023-10-18
VENT-1115,TANFD,False,55,12,1,31.69,2024-05-06
VENT-1119,PENRT,True,14,10,1,630.03,2023-01-08
VENT-1129,JARVS,True,14,3,1,53.72,2023-05-21
VENT-1134,LANGD,True,14,3,1,46.82,2023-09-11
VENT-1141,QUEND,True,14,2,1,165.4,2023-07-01
VENT-1149,ARDEN,True,7,2,1,56.63,2025-03-01
VENT-1158,HALDN,True,7,1,1,113.89,2023-02-13
VENT-1158,VERND,False,55,14,1,89.66,2024-02-28
VENT-1161,HALDN,True,7,1,1,345.44,2024-02-05
VENT-1168,KELSO,False,21,2,1,214.0,2023-09-21
VENT-1168,MERID,False,55,24,4,151.14,2023-01-23
VENT-1168,PENRT,True,14,4,1,212.57,2023-12-04
VENT-1176,ARDEN,True,7,1,1,51.71,2025-03-01
VENT-1176,SELBY,False,55,11,1,35.18,2023-10-07
VENT-1185,ARDEN,True,7,1,1,83.96,2025-03-01
VENT-1192,ARDEN,True,7,1,1,592.53,2025-03-01
VENT-1199,BRAMW,True,7,2,1,65.33,2023-12-13
VENT-1205,EASTN,True,7,1,1,24.55,2023-06-09
VENT-1214,ARDEN,True,7,4,1,187.87,2025-03-01
VENT-1214,MERID,False,55,49,7,123.17,2023-12-03
