movement_id,sku,warehouse_code,movement_date,movement_type,quantity,unit_cost_gbp,source_document
77,PIPE-1101,DAV,2024-01-01,Opening balance,332,1.79,OPEN-DAV-2024-01-01
78,PIPE-1109,DAV,2024-01-01,Opening balance,636,3.42,OPEN-DAV-2024-01-01
79,PIPE-1117,DAV,2024-01-01,Opening balance,192,5.56,OPEN-DAV-2024-01-01
80,PIPE-1119,DAV,2024-01-01,Opening balance,671,6.85,OPEN-DAV-2024-01-01
81,PIPE-1126,DAV,2024-01-01,Opening balance,143,7.51,OPEN-DAV-2024-01-01
82,PIPE-1135,DAV,2024-01-01,Opening balance,116,4.08,OPEN-DAV-2024-01-01
83,PIPE-1142,DAV,2024-01-01,Opening balance,226,0.43,OPEN-DAV-2024-01-01
84,PIPE-1150,DAV,2024-01-01,Opening balance,847,0.29,OPEN-DAV-2024-01-01
85,PIPE-1156,DAV,2024-01-01,Opening balance,213,0.38,OPEN-DAV-2024-01-01
86,PIPE-1165,DAV,2024-01-01,Opening balance,271,14.17,OPEN-DAV-2024-01-01
87,PIPE-1168,DAV,2024-01-01,Opening balance,1106,0.88,OPEN-DAV-2024-01-01
88,PIPE-1175,DAV,2024-01-01,Opening balance,139,0.28,OPEN-DAV-2024-01-01
89,PIPE-1186,DAV,2024-01-01,Opening balance,171,0.92,OPEN-DAV-2024-01-01
90,PIPE-1189,DAV,2024-01-01,Opening balance,255,1.11,OPEN-DAV-2024-01-01
91,PIPE-1201,DAV,2024-01-01,Opening balance,1001,11.63,OPEN-DAV-2024-01-01
92,PIPE-1206,DAV,2024-01-01,Opening balance,196,0.55,OPEN-DAV-2024-01-01
93,PIPE-1214,DAV,2024-01-01,Opening balance,217,0.42,OPEN-DAV-2024-01-01
94,VALV-1002,DAV,2024-01-01,Opening balance,19,49.9,OPEN-DAV-2024-01-01
95,VALV-1007,DAV,2024-01-01,Opening balance,39,11.61,OPEN-DAV-2024-01-01
96,VALV-1014,DAV,2024-01-01,Opening balance,36,38.68,OPEN-DAV-2024-01-01
97,VALV-1024,DAV,2024-01-01,Opening balance,15,116.26,OPEN-DAV-2024-01-01
98,VALV-1030,DAV,2024-01-01,Opening balance,20,25.0,OPEN-DAV-2024-01-01
99,VALV-1037,DAV,2024-01-01,Opening balance,18,33.19,OPEN-DAV-2024-01-01
100,VALV-1042,DAV,2024-01-01,Opening balance,22,12.88,OPEN-DAV-2024-01-01
101,VALV-1052,DAV,2024-01-01,Opening balance,12,11.34,OPEN-DAV-2024-01-01
102,VALV-1056,DAV,2024-01-01,Opening balance,20,24.8,OPEN-DAV-2024-01-01
103,VALV-1065,DAV,2024-01-01,Opening balance,44,93.03,OPEN-DAV-2024-01-01
104,VALV-1075,DAV,2024-01-01,Opening balance,17,26.94,OPEN-DAV-2024-01-01
105,VALV-1080,DAV,2024-01-01,Opening balance,22,129.5,OPEN-DAV-2024-01-01
106,VALV-1084,DAV,2024-01-01,Opening balance,59,111.53,OPEN-DAV-2024-01-01
107,VALV-1091,DAV,2024-01-01,Opening balance,55,68.9,OPEN-DAV-2024-01-01
108,VALV-1102,DAV,2024-01-01,Opening balance,23,60.92,OPEN-DAV-2024-01-01
109,VALV-1110,DAV,2024-01-01,Opening balance,30,11.75,OPEN-DAV-2024-01-01
110,VALV-1113,DAV,2024-01-01,Opening balance,19,8.97,OPEN-DAV-2024-01-01
111,VALV-1121,DAV,2024-01-01,Opening balance,47,82.89,OPEN-DAV-2024-01-01
112,VALV-1130,DAV,2024-01-01,Opening balance,26,18.44,OPEN-DAV-2024-01-01
113,VALV-1137,DAV,2024-01-01,Opening balance,37,65.47,OPEN-DAV-2024-01-01
114,VALV-1140,DAV,2024-01-01,Opening balance,16,19.22,OPEN-DAV-2024-01-01
115,VALV-1152,DAV,2024-01-01,Opening balance,31,9.18,OPEN-DAV-2024-01-01
116,VALV-1154,DAV,2024-01-01,Opening balance,14,68.53,OPEN-DAV-2024-01-01
117,VALV-1163,DAV,2024-01-01,Opening balance,17,73.37,OPEN-DAV-2024-01-01
118,VALV-1172,DAV,2024-01-01,Opening balance,19,65.73,OPEN-DAV-2024-01-01
119,VALV-1175,DAV,2024-01-01,Opening balance,26,41.15,OPEN-DAV-2024-01-01
120,VALV-1187,DAV,2024-01-01,Opening balance,13,11.14,OPEN-DAV-2024-01-01
121,VALV-1192,DAV,2024-01-01,Opening balance,80,38.16,OPEN-DAV-2024-01-01
122,VALV-1196,DAV,2024-01-01,Opening balance,11,35.48,OPEN-DAV-2024-01-01
123,VALV-1204,DAV,2024-01-01,Opening balance,39,38.05,OPEN-DAV-2024-01-01
124,VALV-1215,DAV,2024-01-01,Opening balance,28,21.05,OPEN-DAV-2024-01-01
125,ELEC-1005,DAV,2024-01-01,Opening balance,41,27.54,OPEN-DAV-2024-01-01
126,ELEC-1008,DAV,2024-01-01,Opening balance,144,4.45,OPEN-DAV-2024-01-01
127,ELEC-1014,DAV,2024-01-01,Opening balance,47,2.59,OPEN-DAV-2024-01-01
128,ELEC-1025,DAV,2024-01-01,Opening balance,37,29.26,OPEN-DAV-2024-01-01
129,ELEC-1031,DAV,2024-01-01,Opening balance,36,1.88,OPEN-DAV-2024-01-01
130,ELEC-1036,DAV,2024-01-01,Opening balance,101,2.3,OPEN-DAV-2024-01-01
131,ELEC-1046,DAV,2024-01-01,Opening balance,63,50.76,OPEN-DAV-2024-01-01
132,ELEC-1049,DAV,2024-01-01,Opening balance,420,34.63,OPEN-DAV-2024-01-01
133,ELEC-1057,DAV,2024-01-01,Opening balance,77,4.02,OPEN-DAV-2024-01-01
134,ELEC-1067,DAV,2024-01-01,Opening balance,86,5.13,OPEN-DAV-2024-01-01
135,ELEC-1075,DAV,2024-01-01,Opening balance,44,29.04,OPEN-DAV-2024-01-01
136,ELEC-1081,DAV,2024-01-01,Opening balance,54,14.58,OPEN-DAV-2024-01-01
137,ELEC-1088,DAV,2024-01-01,Opening balance,186,13.17,OPEN-DAV-2024-01-01
138,ELEC-1094,DAV,2024-01-01,Opening balance,139,3.21,OPEN-DAV-2024-01-01
139,ELEC-1102,DAV,2024-01-01,Opening balance,59,11.43,OPEN-DAV-2024-01-01
140,ELEC-1107,DAV,2024-01-01,Opening balance,266,2.45,OPEN-DAV-2024-01-01
141,ELEC-1117,DAV,2024-01-01,Opening balance,92,3.44,OPEN-DAV-2024-01-01
142,ELEC-1119,DAV,2024-01-01,Opening balance,59,67.3,OPEN-DAV-2024-01-01
143,ELEC-1131,DAV,2024-01-01,Opening balance,191,19.89,OPEN-DAV-2024-01-01
144,ELEC-1134,DAV,2024-01-01,Opening balance,169,86.85,OPEN-DAV-2024-01-01
145,ELEC-1143,DAV,2024-01-01,Opening balance,157,16.37,OPEN-DAV-2024-01-01
146,ELEC-1150,DAV,2024-01-01,Opening balance,95,14.96,OPEN-DAV-2024-01-01
147,ELEC-1158,DAV,2024-01-01,Opening balance,64,5.07,OPEN-DAV-2024-01-01
148,ELEC-1162,DAV,2024-01-01,Opening balance,77,23.57,OPEN-DAV-2024-01-01
149,ELEC-1171,DAV,2024-01-01,Opening balance,46,48.8,OPEN-DAV-2024-01-01
150,ELEC-1176,DAV,2024-01-01,Opening balance,67,13.17,OPEN-DAV-2024-01-01
151,ELEC-1184,DAV,2024-01-01,Opening balance,157,104.72,OPEN-DAV-2024-01-01
152,ELEC-1194,DAV,2024-01-01,Opening balance,110,51.11,OPEN-DAV-2024-01-01
153,ELEC-1197,DAV,2024-01-01,Opening balance,82,55.1,OPEN-DAV-2024-01-01
154,ELEC-1204,DAV,2024-01-01,Opening balance,82,17.41,OPEN-DAV-2024-01-01
155,ELEC-1214,DAV,2024-01-01,Opening balance,203,1.39,OPEN-DAV-2024-01-01
156,ELEC-1217,DAV,2024-01-01,Opening balance,136,102.94,OPEN-DAV-2024-01-01
157,VENT-1002,DAV,2024-01-01,Opening balance,18,58.52,OPEN-DAV-2024-01-01
158,VENT-1009,DAV,2024-01-01,Opening balance,11,425.96,OPEN-DAV-2024-01-01
159,VENT-1019,DAV,2024-01-01,Opening balance,39,58.87,OPEN-DAV-2024-01-01
160,VENT-1026,DAV,2024-01-01,Opening balance,9,52.84,OPEN-DAV-2024-01-01
161,VENT-1028,DAV,2024-01-01,Opening balance,7,394.12,OPEN-DAV-2024-01-01
162,VENT-1040,DAV,2024-01-01,Opening balance,8,25.93,OPEN-DAV-2024-01-01
163,VENT-1043,DAV,2024-01-01,Opening balance,9,47.35,OPEN-DAV-2024-01-01
164,VENT-1053,DAV,2024-01-01,Opening balance,8,31.48,OPEN-DAV-2024-01-01
165,VENT-1060,DAV,2024-01-01,Opening balance,9,120.35,OPEN-DAV-2024-01-01
166,VENT-1066,DAV,2024-01-01,Opening balance,6,42.84,OPEN-DAV-2024-01-01
167,VENT-1075,DAV,2024-01-01,Opening balance,5,178.39,OPEN-DAV-2024-01-01
168,VENT-1080,DAV,2024-01-01,Opening balance,5,81.16,OPEN-DAV-2024-01-01
169,VENT-1084,DAV,2024-01-01,Opening balance,18,39.46,OPEN-DAV-2024-01-01
170,VENT-1095,DAV,2024-01-01,Opening balance,28,143.6,OPEN-DAV-2024-01-01
171,VENT-1103,DAV,2024-01-01,Opening balance,12,181.23,OPEN-DAV-2024-01-01
172,VENT-1105,DAV,2024-01-01,Opening balance,9,159.65,OPEN-DAV-2024-01-01
173,VENT-1115,DAV,2024-01-01,Opening balance,9,40.96,OPEN-DAV-2024-01-01
174,VENT-1119,DAV,2024-01-01,Opening balance,32,630.03,OPEN-DAV-2024-01-01
175,VENT-1129,DAV,2024-01-01,Opening balance,16,53.72,OPEN-DAV-2024-01-01
176,VENT-1134,DAV,2024-01-01,Opening balance,8,46.82,OPEN-DAV-2024-01-01
177,VENT-1141,DAV,2024-01-01,Opening balance,11,165.4,OPEN-DAV-2024-01-01
178,VENT-1149,DAV,2024-01-01,Opening balance,13,47.99,OPEN-DAV-2024-01-01
179,VENT-1158,DAV,2024-01-01,Opening balance,10,113.89,OPEN-DAV-2024-01-01
180,VENT-1161,DAV,2024-01-01,Opening balance,5,345.44,OPEN-DAV-2024-01-01
181,VENT-1168,DAV,2024-01-01,Opening balance,14,212.57,OPEN-DAV-2024-01-01
182,VENT-1176,DAV,2024-01-01,Opening balance,9,43.82,OPEN-DAV-2024-01-01
183,VENT-1185,DAV,2024-01-01,Opening balance,6,71.15,OPEN-DAV-2024-01-01
184,VENT-1192,DAV,2024-01-01,Opening balance,5,502.14,OPEN-DAV-2024-01-01
185,VENT-1199,DAV,2024-01-01,Opening balance,7,65.33,OPEN-DAV-2024-01-01
186,VENT-1205,DAV,2024-01-01,Opening balance,11,24.55,OPEN-DAV-2024-01-01
187,VENT-1214,DAV,2024-01-01,Opening balance,16,159.21,OPEN-DAV-2024-01-01
188,DRAIN-1005,DAV,2024-01-01,Opening balance,43,6.98,OPEN-DAV-2024-01-01
189,DRAIN-1009,DAV,2024-01-01,Opening balance,23,7.21,OPEN-DAV-2024-01-01
190,DRAIN-1016,DAV,2024-01-01,Opening balance,45,74.18,OPEN-DAV-2024-01-01
191,DRAIN-1025,DAV,2024-01-01,Opening balance,25,59.58,OPEN-DAV-2024-01-01
192,DRAIN-1033,DAV,2024-01-01,Opening balance,42,8.73,OPEN-DAV-2024-01-01
193,DRAIN-1037,DAV,2024-01-01,Opening balance,34,22.77,OPEN-DAV-2024-01-01
194,DRAIN-1047,DAV,2024-01-01,Opening balance,38,171.94,OPEN-DAV-2024-01-01
195,DRAIN-1051,DAV,2024-01-01,Opening balance,37,126.88,OPEN-DAV-2024-01-01
196,DRAIN-1056,DAV,2024-01-01,Opening balance,19,23.51,OPEN-DAV-2024-01-01
197,DRAIN-1068,DAV,2024-01-01,Opening balance,30,9.61,OPEN-DAV-2024-01-01
198,DRAIN-1075,DAV,2024-01-01,Opening balance,42,61.86,OPEN-DAV-2024-01-01
199,DRAIN-1082,DAV,2024-01-01,Opening balance,33,6.12,OPEN-DAV-2024-01-01
200,DRAIN-1084,DAV,2024-01-01,Opening balance,32,7.45,OPEN-DAV-2024-01-01
201,DRAIN-1095,DAV,2024-01-01,Opening balance,49,108.22,OPEN-DAV-2024-01-01
202,DRAIN-1098,DAV,2024-01-01,Opening balance,24,36.04,OPEN-DAV-2024-01-01
203,DRAIN-1106,DAV,2024-01-01,Opening balance,58,9.57,OPEN-DAV-2024-01-01
204,DRAIN-1113,DAV,2024-01-01,Opening balance,51,15.44,OPEN-DAV-2024-01-01
205,DRAIN-1122,DAV,2024-01-01,Opening balance,26,38.74,OPEN-DAV-2024-01-01
206,DRAIN-1130,DAV,2024-01-01,Opening balance,27,57.74,OPEN-DAV-2024-01-01
207,DRAIN-1138,DAV,2024-01-01,Opening balance,26,150.19,OPEN-DAV-2024-01-01
208,DRAIN-1145,DAV,2024-01-01,Opening balance,33,14.43,OPEN-DAV-2024-01-01
209,DRAIN-1148,DAV,2024-01-01,Opening balance,18,8.79,OPEN-DAV-2024-01-01
210,DRAIN-1158,DAV,2024-01-01,Opening balance,41,78.85,OPEN-DAV-2024-01-01
211,DRAIN-1161,DAV,2024-01-01,Opening balance,47,7.8,OPEN-DAV-2024-01-01
212,DRAIN-1173,DAV,2024-01-01,Opening balance,15,188.89,OPEN-DAV-2024-01-01
213,DRAIN-1179,DAV,2024-01-01,Opening balance,87,103.21,OPEN-DAV-2024-01-01
214,DRAIN-1186,DAV,2024-01-01,Opening balance,32,52.33,OPEN-DAV-2024-01-01
215,DRAIN-1192,DAV,2024-01-01,Opening balance,47,115.16,OPEN-DAV-2024-01-01
216,DRAIN-1199,DAV,2024-01-01,Opening balance,24,5.51,OPEN-DAV-2024-01-01
217,DRAIN-1204,DAV,2024-01-01,Opening balance,31,6.89,OPEN-DAV-2024-01-01
218,DRAIN-1214,DAV,2024-01-01,Opening balance,54,34.98,OPEN-DAV-2024-01-01
219,TOOL-1003,DAV,2024-01-01,Opening balance,28,28.41,OPEN-DAV-2024-01-01
220,TOOL-1007,DAV,2024-01-01,Opening balance,35,1.89,OPEN-DAV-2024-01-01
221,TOOL-1018,DAV,2024-01-01,Opening balance,47,1.11,OPEN-DAV-2024-01-01
222,TOOL-1021,DAV,2024-01-01,Opening balance,96,1.69,OPEN-DAV-2024-01-01
223,TOOL-1031,DAV,2024-01-01,Opening balance,146,11.23,OPEN-DAV-2024-01-01
224,TOOL-1037,DAV,2024-01-01,Opening balance,43,1.91,OPEN-DAV-2024-01-01
225,TOOL-1047,DAV,2024-01-01,Opening balance,52,1.01,OPEN-DAV-2024-01-01
226,TOOL-1051,DAV,2024-01-01,Opening balance,81,0.83,OPEN-DAV-2024-01-01
227,TOOL-1056,DAV,2024-01-01,Opening balance,54,9.33,OPEN-DAV-2024-01-01
228,TOOL-1067,DAV,2024-01-01,Opening balance,240,5.85,OPEN-DAV-2024-01-01
229,TOOL-1071,DAV,2024-01-01,Opening balance,259,2.76,OPEN-DAV-2024-01-01
230,TOOL-1077,DAV,2024-01-01,Opening balance,260,1.95,OPEN-DAV-2024-01-01
231,TOOL-1087,DAV,2024-01-01,Opening balance,70,2.2,OPEN-DAV-2024-01-01
232,TOOL-1092,DAV,2024-01-01,Opening balance,157,22.98,OPEN-DAV-2024-01-01
233,TOOL-1100,DAV,2024-01-01,Opening balance,57,22.5,OPEN-DAV-2024-01-01
234,TOOL-1110,DAV,2024-01-01,Opening balance,70,20.44,OPEN-DAV-2024-01-01
235,TOOL-1115,DAV,2024-01-01,Opening balance,42,1.03,OPEN-DAV-2024-01-01
236,TOOL-1124,DAV,2024-01-01,Opening balance,24,21.96,OPEN-DAV-2024-01-01
237,TOOL-1128,DAV,2024-01-01,Opening balance,452,2.53,OPEN-DAV-2024-01-01
238,TOOL-1137,DAV,2024-01-01,Opening balance,34,21.33,OPEN-DAV-2024-01-01
239,TOOL-1144,DAV,2024-01-01,Opening balance,115,1.05,OPEN-DAV-2024-01-01
240,TOOL-1149,DAV,2024-01-01,Opening balance,121,2.43,OPEN-DAV-2024-01-01
241,TOOL-1155,DAV,2024-01-01,Opening balance,80,26.52,OPEN-DAV-2024-01-01
242,TOOL-1163,DAV,2024-01-01,Opening balance,32,6.8,OPEN-DAV-2024-01-01
243,TOOL-1171,DAV,2024-01-01,Opening balance,24,16.85,OPEN-DAV-2024-01-01
244,TOOL-1175,DAV,2024-01-01,Opening balance,57,2.78,OPEN-DAV-2024-01-01
245,TOOL-1182,DAV,2024-01-01,Opening balance,59,2.38,OPEN-DAV-2024-01-01
246,TOOL-1192,DAV,2024-01-01,Opening balance,51,4.12,OPEN-DAV-2024-01-01
247,TOOL-1201,DAV,2024-01-01,Opening balance,30,11.89,OPEN-DAV-2024-01-01
248,TOOL-1205,DAV,2024-01-01,Opening balance,85,1.19,OPEN-DAV-2024-01-01
249,TOOL-1214,DAV,2024-01-01,Opening balance,40,9.88,OPEN-DAV-2024-01-01
250,TOOL-1219,DAV,2024-01-01,Opening balance,64,0.86,OPEN-DAV-2024-01-01
251,TOOL-1128,WAR,2024-01-01,Opening balance,408,2.53,OPEN-WAR-2024-01-01
252,PIPE-1201,WAR,2024-01-01,Opening balance,919,11.63,OPEN-WAR-2024-01-01
253,RENW-1100,WAR,2024-01-01,Opening balance,58,657.35,OPEN-WAR-2024-01-01
254,ELEC-1049,WAR,2024-01-01,Opening balance,162,34.63,OPEN-WAR-2024-01-01
255,HEAT-1016,WAR,2024-01-01,Opening balance,31,466.42,OPEN-WAR-2024-01-01
256,PIPE-1168,WAR,2024-01-01,Opening balance,312,0.88,OPEN-WAR-2024-01-01
257,RENW-1000,WAR,2024-01-01,Opening balance,8,1701.45,OPEN-WAR-2024-01-01
258,DRAIN-1179,WAR,2024-01-01,Opening balance,92,103.21,OPEN-WAR-2024-01-01
259,PIPE-1025,WAR,2024-01-01,Opening balance,1236,1.78,OPEN-WAR-2024-01-01
260,RENW-1087,WAR,2024-01-01,Opening balance,7,1010.57,OPEN-WAR-2024-01-01
261,ELEC-1008,WAR,2024-01-01,Opening balance,187,4.45,OPEN-WAR-2024-01-01
262,DRAIN-1158,WAR,2024-01-01,Opening balance,41,78.85,OPEN-WAR-2024-01-01
263,HEAT-1082,WAR,2024-01-01,Opening balance,16,207.45,OPEN-WAR-2024-01-01
264,VENT-1019,WAR,2024-01-01,Opening balance,27,58.87,OPEN-WAR-2024-01-01
265,PIPE-1119,WAR,2024-01-01,Opening balance,305,6.85,OPEN-WAR-2024-01-01
266,VENT-1119,WAR,2024-01-01,Opening balance,27,630.03,OPEN-WAR-2024-01-01
267,PIPE-1044,WAR,2024-01-01,Opening balance,947,11.07,OPEN-WAR-2024-01-01
268,VALV-1192,WAR,2024-01-01,Opening balance,82,38.16,OPEN-WAR-2024-01-01
269,ELEC-1217,WAR,2024-01-01,Opening balance,126,102.94,OPEN-WAR-2024-01-01
270,TOOL-1071,WAR,2024-01-01,Opening balance,290,2.76,OPEN-WAR-2024-01-01
271,DRAIN-1047,WAR,2024-01-01,Opening balance,38,171.94,OPEN-WAR-2024-01-01
272,PIPE-1109,WAR,2024-01-01,Opening balance,472,3.42,OPEN-WAR-2024-01-01
273,VENT-1095,WAR,2024-01-01,Opening balance,14,143.6,OPEN-WAR-2024-01-01
274,VENT-1084,WAR,2024-01-01,Opening balance,24,39.46,OPEN-WAR-2024-01-01
275,VALV-1007,WAR,2024-01-01,Opening balance,13,11.61,OPEN-WAR-2024-01-01
276,ELEC-1094,WAR,2024-01-01,Opening balance,196,3.21,OPEN-WAR-2024-01-01
277,ELEC-1107,WAR,2024-01-01,Opening balance,204,2.45,OPEN-WAR-2024-01-01
278,VENT-1214,WAR,2024-01-01,Opening balance,19,159.21,OPEN-WAR-2024-01-01
279,TOOL-1067,WAR,2024-01-01,Opening balance,235,5.85,OPEN-WAR-2024-01-01
280,PIPE-1029,WAR,2024-01-01,Opening balance,402,4.32,OPEN-WAR-2024-01-01
281,ELEC-1214,WAR,2024-01-01,Opening balance,126,1.39,OPEN-WAR-2024-01-01
282,VALV-1121,WAR,2024-01-01,Opening balance,42,82.89,OPEN-WAR-2024-01-01
283,TOOL-1077,WAR,2024-01-01,Opening balance,197,1.95,OPEN-WAR-2024-01-01
284,PIPE-1061,WAR,2024-01-01,Opening balance,785,1.5,OPEN-WAR-2024-01-01
