week_ending_date,sku,warehouse_code,quantity_on_hand,quantity_allocated,quantity_on_order,days_at_zero_in_week,weighted_average_cost_gbp,stock_value_gbp
2024-01-07,PIPE-1061,DAV,899,0,406,0,1.5,1348.5
2024-01-07,PIPE-1064,DAV,225,0,0,0,8.19,1842.75
2024-01-07,PIPE-1070,DAV,138,0,162,0,13.17,1817.46
2024-01-07,PIPE-1079,DAV,343,0,0,0,0.71,243.53
2024-01-07,PIPE-1088,DAV,326,0,0,0,0.27,88.02
2024-01-07,PIPE-1094,DAV,320,0,0,0,7.75,2480.0
2024-01-07,PIPE-1101,DAV,289,0,0,0,1.79,517.31
2024-01-07,PIPE-1109,DAV,636,0,0,0,3.42,2175.12
2024-01-07,PIPE-1117,DAV,192,0,0,0,5.56,1067.52
2024-01-07,PIPE-1119,DAV,590,0,0,0,6.85,4041.5
2024-01-07,PIPE-1126,DAV,143,0,0,0,7.51,1073.93
2024-01-07,PIPE-1135,DAV,116,0,180,0,4.08,473.28
2024-01-07,PIPE-1142,DAV,226,0,0,0,0.43,97.18
2024-01-07,PIPE-1150,DAV,847,0,0,0,0.29,245.63
2024-01-07,PIPE-1156,DAV,213,0,0,0,0.38,80.94
2024-01-07,PIPE-1165,DAV,202,0,0,0,14.17,2862.34
2024-01-07,PIPE-1168,DAV,999,0,0,0,0.88,879.12
2024-01-07,PIPE-1175,DAV,139,0,160,0,0.28,38.92
2024-01-07,PIPE-1186,DAV,129,0,0,0,0.92,118.68
2024-01-07,PIPE-1189,DAV,255,0,0,0,1.11,283.05
2024-01-07,PIPE-1201,DAV,860,0,0,0,11.63,10001.8
2024-01-07,PIPE-1206,DAV,196,0,0,0,0.55,107.8
2024-01-07,PIPE-1214,DAV,164,0,0,0,0.42,68.88
2024-01-07,RENW-1000,DAV,6,0,19,0,1701.45,10208.7
2024-01-07,RENW-1010,DAV,5,0,7,0,2798.47,13992.35
2024-01-07,RENW-1018,DAV,5,0,0,0,1803.63,9018.15
2024-01-07,RENW-1022,DAV,4,0,0,0,1197.73,4790.92
2024-01-07,RENW-1031,DAV,7,0,0,0,2059.28,14414.96
2024-01-07,RENW-1035,DAV,12,0,0,0,1420.67,17048.04
2024-01-07,RENW-1042,DAV,4,0,6,0,780.83,3123.32
2024-01-07,RENW-1053,DAV,12,0,0,0,2557.73,30692.76
2024-01-07,RENW-1061,DAV,10,0,0,0,1684.21,16842.1
2024-01-07,RENW-1068,DAV,3,0,3,0,2820.38,8461.14
2024-01-07,RENW-1070,DAV,2,0,3,0,989.7,1979.4
2024-01-07,RENW-1081,DAV,4,0,3,0,2061.85,8247.4
2024-01-07,RENW-1087,DAV,7,5,18,0,1010.57,7073.99
2024-01-07,RENW-1095,DAV,5,0,0,0,2144.31,10721.55
2024-01-07,RENW-1100,DAV,22,0,0,0,657.35,14461.7
2024-01-07,RENW-1105,DAV,2,0,5,0,2682.07,5364.14
2024-01-07,RENW-1112,DAV,16,0,0,0,708.97,11343.52
2024-01-07,RENW-1122,DAV,8,0,0,0,1121.92,8975.36
2024-01-07,RENW-1127,DAV,5,0,0,0,1234.17,6170.85
2024-01-07,RENW-1134,DAV,4,0,3,0,693.44,2773.76
2024-01-07,RENW-1145,DAV,9,0,0,0,2474.9,22274.1
2024-01-07,RENW-1152,DAV,7,0,0,0,1916.33,13414.31
2024-01-07,RENW-1158,DAV,5,0,0,0,2811.73,14058.65
2024-01-07,RENW-1161,DAV,15,0,0,0,695.44,10431.6
2024-01-07,RENW-1171,DAV,8,0,0,0,720.33,5762.64
2024-01-07,RENW-1180,DAV,11,0,0,0,1919.53,21114.83
2024-01-07,RENW-1186,DAV,6,0,0,0,1433.28,8599.68
2024-01-07,RENW-1192,DAV,11,0,0,0,1172.18,12893.98
2024-01-07,RENW-1201,DAV,4,0,0,0,996.35,3985.4
2024-01-07,RENW-1203,DAV,7,0,0,0,766.38,5364.66
2024-01-07,RENW-1212,DAV,7,0,0,0,1965.92,13761.44
2024-01-07,TOOL-1003,DAV,14,0,36,0,28.41,397.74
2024-01-07,TOOL-1007,DAV,35,0,0,0,1.89,66.15
2024-01-07,TOOL-1018,DAV,29,0,80,0,1.11,32.19
2024-01-07,TOOL-1021,DAV,84,0,0,0,1.69,141.96
2024-01-07,TOOL-1031,DAV,126,0,0,0,11.23,1414.98
2024-01-07,TOOL-1037,DAV,43,0,0,0,1.91,82.13
2024-01-07,TOOL-1047,DAV,52,0,0,0,1.01,52.52
2024-01-07,TOOL-1051,DAV,81,0,0,0,0.83,67.23
2024-01-07,TOOL-1056,DAV,54,0,0,0,9.33,503.82
2024-01-07,TOOL-1067,DAV,240,0,112,0,5.85,1404.0
2024-01-07,TOOL-1071,DAV,226,0,364,0,2.76,623.76
2024-01-07,TOOL-1077,DAV,260,0,105,0,1.95,507.0
2024-01-07,TOOL-1087,DAV,70,0,0,0,2.2,154.0
2024-01-07,TOOL-1092,DAV,148,0,70,0,22.98,3401.04
2024-01-07,TOOL-1100,DAV,56,0,0,0,22.5,1260.0
2024-01-07,TOOL-1110,DAV,56,0,0,0,20.44,1144.64
2024-01-07,TOOL-1115,DAV,42,0,0,0,1.03,43.26
2024-01-07,TOOL-1124,DAV,13,0,36,0,21.96,285.48
2024-01-07,TOOL-1128,DAV,379,27,0,0,2.53,958.87
2024-01-07,TOOL-1137,DAV,34,28,52,0,21.33,725.22
2024-01-07,TOOL-1144,DAV,115,0,0,0,1.05,120.75
2024-01-07,TOOL-1149,DAV,121,0,0,0,2.43,294.03
2024-01-07,TOOL-1155,DAV,80,0,36,0,26.52,2121.6
2024-01-07,TOOL-1163,DAV,32,0,46,0,6.8,217.6
2024-01-07,TOOL-1171,DAV,60,0,0,0,16.73,1003.8
2024-01-07,TOOL-1175,DAV,45,0,0,0,2.78,125.1
2024-01-07,TOOL-1182,DAV,38,0,0,0,2.38,90.44
2024-01-07,TOOL-1192,DAV,51,0,0,0,4.12,210.12
2024-01-07,TOOL-1201,DAV,30,16,36,0,11.89,356.7
2024-01-07,TOOL-1205,DAV,85,0,0,0,1.19,101.15
2024-01-07,TOOL-1214,DAV,40,0,0,0,9.88,395.2
2024-01-07,TOOL-1219,DAV,64,0,0,0,0.86,55.04
2024-01-07,VALV-1002,DAV,19,12,0,0,49.9,948.1
2024-01-07,VALV-1007,DAV,39,0,0,0,11.61,452.79
2024-01-07,VALV-1014,DAV,29,0,24,0,38.68,1121.72
2024-01-07,VALV-1024,DAV,15,0,15,0,116.26,1743.9
2024-01-07,VALV-1030,DAV,20,0,0,0,25.0,500.0
2024-01-07,VALV-1037,DAV,0,0,15,4,33.19,0.0
2024-01-07,VALV-1042,DAV,22,0,17,0,12.88,283.36
2024-01-07,VALV-1052,DAV,12,0,15,0,11.34,136.08
2024-01-07,VALV-1056,DAV,20,0,33,0,24.8,496.0
2024-01-07,VALV-1065,DAV,44,0,0,0,93.03,4093.32
2024-01-07,VALV-1075,DAV,17,0,0,0,26.94,457.98
2024-01-07,VALV-1080,DAV,22,0,22,0,129.5,2849.0
2024-01-07,VALV-1084,DAV,59,0,0,0,111.53,6580.27
2024-01-07,VALV-1091,DAV,55,0,43,0,68.9,3789.5
2024-01-07,VALV-1102,DAV,23,0,0,0,60.92,1401.16
2024-01-07,VALV-1110,DAV,30,5,0,0,11.75,352.5
2024-01-07,VALV-1113,DAV,19,0,0,0,8.97,170.43
2024-01-07,VALV-1121,DAV,13,0,42,0,82.89,1077.57
2024-01-07,VALV-1130,DAV,26,0,0,0,18.44,479.44
2024-01-07,VALV-1137,DAV,37,0,0,0,65.47,2422.39
2024-01-07,VALV-1140,DAV,16,0,15,0,19.22,307.52
2024-01-07,VALV-1152,DAV,31,0,27,0,9.18,284.58
2024-01-07,VALV-1154,DAV,14,0,28,0,68.53,959.42
2024-01-07,VALV-1163,DAV,17,0,0,0,73.37,1247.29
2024-01-07,VALV-1172,DAV,19,0,0,0,65.73,1248.87
2024-01-07,VALV-1175,DAV,3,0,15,0,41.15,123.45
2024-01-07,VALV-1187,DAV,13,0,17,0,11.14,144.82
2024-01-07,VALV-1192,DAV,78,0,0,0,38.16,2976.48
2024-01-07,VALV-1196,DAV,11,0,15,0,35.48,390.28
2024-01-07,VALV-1204,DAV,30,0,0,0,38.05,1141.5
2024-01-07,VALV-1215,DAV,28,0,0,0,21.05,589.4
2024-01-07,VENT-1002,DAV,18,0,0,0,58.52,1053.36
2024-01-07,VENT-1009,DAV,11,0,0,0,425.96,4685.56
2024-01-07,VENT-1019,DAV,31,0,0,0,58.87,1824.97
2024-01-07,VENT-1026,DAV,9,0,0,0,52.84,475.56
2024-01-07,VENT-1028,DAV,7,0,0,0,394.12,2758.84
2024-01-07,VENT-1040,DAV,8,0,0,0,25.93,207.44
2024-01-07,VENT-1043,DAV,9,0,12,0,47.35,426.15
2024-01-07,VENT-1053,DAV,8,0,0,0,31.48,251.84
2024-01-07,VENT-1060,DAV,9,0,0,0,120.35,1083.15
2024-01-07,VENT-1066,DAV,4,0,8,0,42.84,171.36
2024-01-07,VENT-1075,DAV,1,0,6,0,178.39,178.39
2024-01-07,VENT-1080,DAV,5,0,6,0,81.16,405.8
2024-01-07,VENT-1084,DAV,18,0,0,0,39.46,710.28
2024-01-07,VENT-1095,DAV,28,0,0,0,143.6,4020.8
2024-01-07,VENT-1103,DAV,12,0,0,0,181.23,2174.76
2024-01-07,VENT-1105,DAV,9,0,0,0,159.65,1436.85
2024-01-07,VENT-1115,DAV,9,0,0,0,40.96,368.64
2024-01-07,VENT-1119,DAV,30,0,0,0,630.03,18900.9
2024-01-07,VENT-1129,DAV,16,0,0,0,53.72,859.52
2024-01-07,VENT-1134,DAV,8,0,0,0,46.82,374.56
2024-01-07,VENT-1141,DAV,11,0,0,0,165.4,1819.4
2024-01-07,VENT-1149,DAV,13,0,0,0,47.99,623.87
2024-01-07,VENT-1158,DAV,10,0,0,0,113.89,1138.9
2024-01-07,VENT-1161,DAV,5,0,6,0,345.44,1727.2
2024-01-07,VENT-1168,DAV,14,0,0,0,212.57,2975.98
2024-01-07,VENT-1176,DAV,9,0,0,0,43.82,394.38
2024-01-07,VENT-1185,DAV,5,0,6,0,71.15,355.75
2024-01-07,VENT-1192,DAV,5,0,6,0,502.14,2510.7
2024-01-07,VENT-1199,DAV,7,0,9,0,65.33,457.31
2024-01-07,VENT-1205,DAV,11,0,0,0,24.55,270.05
2024-01-07,VENT-1214,DAV,12,0,0,0,159.21,1910.52
2024-01-07,DRAIN-1016,LIV,102,0,0,0,74.18,7566.36
2024-01-07,DRAIN-1047,LIV,110,0,0,0,171.94,18913.4
2024-01-07,DRAIN-1095,LIV,50,0,144,0,108.22,5411.0
2024-01-07,DRAIN-1106,LIV,76,0,0,0,9.57,727.32
2024-01-07,DRAIN-1158,LIV,135,0,0,0,78.85,10644.75
2024-01-07,DRAIN-1161,LIV,117,0,0,0,7.8,912.6
2024-01-07,DRAIN-1179,LIV,202,0,0,0,103.21,20848.42
2024-01-07,ELEC-1008,LIV,163,0,0,0,4.45,725.35
2024-01-07,ELEC-1049,LIV,326,0,0,0,34.63,11289.38
2024-01-07,ELEC-1088,LIV,113,0,0,0,13.17,1488.21
2024-01-07,ELEC-1094,LIV,125,0,408,0,3.21,401.25
2024-01-07,ELEC-1107,LIV,176,0,0,0,2.45,431.2
2024-01-07,ELEC-1131,LIV,250,0,0,0,19.89,4972.5
2024-01-07,ELEC-1134,LIV,113,0,0,0,86.85,9814.05
2024-01-07,ELEC-1143,LIV,160,0,0,0,16.37,2619.2
2024-01-07,ELEC-1184,LIV,211,0,0,0,104.72,22095.92
2024-01-07,ELEC-1204,LIV,250,0,0,0,17.41,4352.5
2024-01-07,ELEC-1214,LIV,144,0,0,0,1.39,200.16
2024-01-07,ELEC-1217,LIV,208,0,0,0,102.94,21411.52
2024-01-07,HEAT-1016,LIV,29,0,0,0,466.42,13526.18
2024-01-07,HEAT-1064,LIV,8,0,24,0,272.89,2183.12
2024-01-07,HEAT-1082,LIV,3,0,20,0,207.45,622.35
2024-01-07,HEAT-1130,LIV,10,0,13,0,662.28,6622.8
2024-01-07,HEAT-1142,LIV,16,0,0,0,436.92,6990.72
2024-01-07,HEAT-1203,LIV,18,0,0,0,589.06,10603.08
2024-01-07,PIPE-1004,LIV,354,0,0,0,1.61,569.94
2024-01-07,PIPE-1017,LIV,1212,0,858,0,0.5,606.0
2024-01-07,PIPE-1025,LIV,2467,0,0,0,1.78,4391.26
2024-01-07,PIPE-1029,LIV,644,0,0,0,4.32,2782.08
2024-01-07,PIPE-1038,LIV,641,0,0,0,1.07,685.87
2024-01-07,PIPE-1044,LIV,1821,0,0,0,11.07,20158.47
2024-01-07,PIPE-1061,LIV,1409,0,0,0,1.5,2113.5
2024-01-07,PIPE-1064,LIV,169,0,272,0,8.19,1384.11
2024-01-07,PIPE-1101,LIV,486,0,0,0,1.79,869.94
2024-01-07,PIPE-1109,LIV,530,0,0,0,3.42,1812.6
2024-01-07,PIPE-1119,LIV,645,0,0,0,6.85,4418.25
2024-01-07,PIPE-1142,LIV,360,0,0,0,0.43,154.8
2024-01-07,PIPE-1150,LIV,925,0,791,0,0.29,268.25
2024-01-07,PIPE-1165,LIV,388,0,0,0,14.17,5497.96
2024-01-07,PIPE-1168,LIV,1498,0,0,0,0.88,1318.24
2024-01-07,PIPE-1201,LIV,2903,0,0,0,11.63,33761.89
2024-01-07,PIPE-1206,LIV,201,0,240,0,0.55,110.55
2024-01-07,RENW-1000,LIV,26,0,0,0,1701.45,44237.7
2024-01-07,RENW-1087,LIV,33,0,0,0,1010.57,33348.81
2024-01-07,RENW-1100,LIV,35,0,0,0,657.35,23007.25
2024-01-07,TOOL-1018,LIV,118,0,0,0,1.11,130.98
2024-01-07,TOOL-1021,LIV,109,0,0,0,1.69,184.21
2024-01-07,TOOL-1031,LIV,178,0,147,0,11.23,1998.94
2024-01-07,TOOL-1067,LIV,383,0,0,0,5.85,2240.55
2024-01-07,TOOL-1071,LIV,413,0,0,0,2.76,1139.88
2024-01-07,TOOL-1077,LIV,253,0,0,0,1.95,493.35
2024-01-07,TOOL-1087,LIV,90,0,0,0,2.2,198.0
2024-01-07,TOOL-1092,LIV,191,0,182,0,22.98,4389.18
2024-01-07,TOOL-1110,LIV,54,0,144,0,20.44,1103.76
2024-01-07,TOOL-1128,LIV,708,0,0,0,2.53,1791.24
2024-01-07,TOOL-1137,LIV,95,0,0,0,21.33,2026.35
2024-01-07,TOOL-1163,LIV,81,0,0,0,6.8,550.8
2024-01-07,TOOL-1219,LIV,97,0,0,0,0.86,83.42
2024-01-07,VALV-1007,LIV,39,0,0,0,11.61,452.79
2024-01-07,VALV-1056,LIV,42,0,0,0,24.8,1041.6
2024-01-07,VALV-1084,LIV,44,0,84,0,111.53,4907.32
2024-01-07,VALV-1091,LIV,78,0,0,0,68.9,5374.2
2024-01-07,VALV-1102,LIV,40,0,0,0,60.92,2436.8
2024-01-07,VALV-1121,LIV,87,0,0,0,82.89,7211.43
2024-01-07,VALV-1152,LIV,50,0,0,0,9.18,459.0
2024-01-07,VALV-1192,LIV,118,0,0,0,38.16,4502.88
2024-01-07,VENT-1019,LIV,48,0,0,0,58.87,2825.76
2024-01-07,VENT-1084,LIV,10,0,48,0,39.46,394.6
2024-01-07,VENT-1095,LIV,31,0,0,0,143.6,4451.6
2024-01-07,VENT-1119,LIV,40,0,0,0,630.03,25201.2
2024-01-07,DRAIN-1016,WAR,56,0,0,0,74.18,4154.08
2024-01-07,DRAIN-1047,WAR,38,7,0,0,171.94,6533.72
2024-01-07,DRAIN-1095,WAR,22,0,0,0,108.22,2380.84
2024-01-07,DRAIN-1106,WAR,51,0,0,0,9.57,488.07
2024-01-07,DRAIN-1113,WAR,54,0,0,0,15.44,833.76
2024-01-07,DRAIN-1145,WAR,40,0,0,0,14.43,577.2
2024-01-07,DRAIN-1158,WAR,41,11,0,0,78.85,3232.85
2024-01-07,DRAIN-1161,WAR,77,0,0,0,7.8,600.6
2024-01-07,DRAIN-1179,WAR,84,11,0,0,103.21,8669.64
2024-01-07,DRAIN-1204,WAR,52,0,0,0,6.89,358.28
2024-01-07,DRAIN-1214,WAR,19,0,29,0,34.98,664.62
2024-01-07,ELEC-1008,WAR,187,0,0,0,4.45,832.15
2024-01-07,ELEC-1025,WAR,41,0,0,0,29.26,1199.66
2024-01-07,ELEC-1036,WAR,48,0,0,0,2.3,110.4
2024-01-07,ELEC-1046,WAR,59,0,0,0,50.76,2994.84
2024-01-07,ELEC-1049,WAR,138,0,0,0,34.63,4778.94
2024-01-07,ELEC-1088,WAR,92,0,0,0,13.17,1211.64
2024-01-07,ELEC-1094,WAR,185,27,0,0,3.21,593.85
2024-01-07,ELEC-1107,WAR,181,0,0,0,2.45,443.45
2024-01-07,ELEC-1117,WAR,121,0,0,0,3.44,416.24
2024-01-07,ELEC-1131,WAR,70,0,130,0,19.89,1392.3
2024-01-07,ELEC-1134,WAR,97,0,0,0,86.85,8424.45
2024-01-07,ELEC-1143,WAR,93,0,0,0,16.37,1522.41
2024-01-07,ELEC-1150,WAR,104,0,0,0,14.96,1555.84
2024-01-07,ELEC-1184,WAR,68,0,0,0,104.72,7120.96
2024-01-07,ELEC-1197,WAR,85,0,0,0,55.1,4683.5
2024-01-07,ELEC-1204,WAR,167,0,0,0,17.41,2907.47
2024-01-07,ELEC-1214,WAR,89,0,0,0,1.39,123.71
2024-01-07,ELEC-1217,WAR,126,0,0,0,102.94,12970.44
2024-01-07,HEAT-1016,WAR,27,0,0,0,466.42,12593.34
2024-01-07,HEAT-1064,WAR,4,0,0,0,272.89,1091.56
2024-01-07,HEAT-1082,WAR,14,0,0,0,207.45,2904.3
2024-01-07,HEAT-1124,WAR,8,0,0,0,652.39,5219.12
2024-01-07,HEAT-1130,WAR,9,0,0,0,662.28,5960.52
2024-01-07,HEAT-1142,WAR,6,0,0,0,436.92,2621.52
2024-01-07,HEAT-1200,WAR,8,0,0,0,945.17,7561.36
2024-01-07,HEAT-1203,WAR,7,0,0,0,589.06,4123.42
2024-01-07,HEAT-1211,WAR,10,0,0,0,408.03,4080.3
2024-01-07,PIPE-1004,WAR,44,0,208,0,1.61,70.84
2024-01-07,PIPE-1017,WAR,649,0,0,0,0.5,324.5
2024-01-07,PIPE-1025,WAR,1181,0,2079,0,1.78,2102.18
2024-01-07,PIPE-1029,WAR,402,0,0,0,4.32,1736.64
2024-01-07,PIPE-1038,WAR,363,0,0,0,1.07,388.41
2024-01-07,PIPE-1044,WAR,834,0,1666,0,11.07,9232.38
2024-01-07,PIPE-1061,WAR,428,0,990,0,1.5,642.0
2024-01-07,PIPE-1064,WAR,245,0,0,0,8.19,2006.55
2024-01-07,PIPE-1070,WAR,155,0,0,0,13.17,2041.35
2024-01-07,PIPE-1088,WAR,272,0,0,0,0.27,73.44
2024-01-07,PIPE-1094,WAR,273,0,0,0,7.75,2115.75
2024-01-07,PIPE-1101,WAR,311,0,0,0,1.79,556.69
2024-01-07,PIPE-1109,WAR,472,133,0,0,3.42,1614.24
2024-01-07,PIPE-1119,WAR,239,40,0,0,6.85,1637.15
2024-01-07,PIPE-1126,WAR,158,0,0,0,7.51,1186.58
2024-01-07,PIPE-1135,WAR,206,0,0,0,4.08,840.48
2024-01-07,PIPE-1142,WAR,87,0,0,0,0.43,37.41
2024-01-07,PIPE-1150,WAR,640,0,0,0,0.29,185.6
2024-01-07,PIPE-1165,WAR,248,0,0,0,14.17,3514.16
2024-01-07,PIPE-1168,WAR,260,33,2118,0,0.88,228.8
2024-01-07,PIPE-1186,WAR,102,0,0,0,0.92,93.84
2024-01-07,PIPE-1189,WAR,146,0,0,0,1.11,162.06
2024-01-07,PIPE-1201,WAR,808,23,0,0,11.63,9397.04
2024-01-07,PIPE-1206,WAR,102,0,168,0,0.55,56.1
2024-01-07,PIPE-1214,WAR,75,0,152,0,0.42,31.5
2024-01-07,RENW-1000,WAR,7,1,0,0,1701.45,11910.15
2024-01-07,RENW-1087,WAR,6,0,21,0,1010.57,6063.42
2024-01-07,RENW-1100,WAR,56,0,0,0,657.35,36811.6
2024-01-07,TOOL-1003,WAR,33,0,0,0,28.41,937.53
2024-01-07,TOOL-1018,WAR,9,0,66,0,1.11,9.99
2024-01-07,TOOL-1021,WAR,37,0,0,0,1.69,62.53
