sales_order_number,line_number,sku,quantity_ordered,quantity_despatched,unit_price_gbp,line_discount_pct,line_status
SO-2024-00019,1,TOOL-1128,19,19,3.7,9.57,Despatched in full
SO-2024-00019,2,PIPE-1061,40,40,2.24,27.12,Despatched in full
SO-2024-00019,3,HEAT-1211,2,2,507.43,9.87,Despatched in full
SO-2024-00019,4,VALV-1014,3,3,48.92,7.05,Despatched in full
SO-2024-00020,1,HEAT-1016,2,2,571.57,18.23,Despatched in full
SO-2024-00020,2,DRAIN-1130,4,4,73.13,21.58,Despatched in full
SO-2024-00020,3,VALV-1002,12,12,60.71,25.18,Despatched in full
SO-2024-00021,1,TOOL-1031,20,20,19.69,14.75,Despatched in full
SO-2024-00021,2,DRAIN-1161,12,12,8.79,21.29,Despatched in full
SO-2024-00021,3,TOOL-1092,9,9,38.62,21.5,Despatched in full
SO-2024-00021,4,HEAT-1082,1,1,251.93,17.4,Despatched in full
SO-2024-00021,5,PIPE-1214,53,53,0.53,26.34,Despatched in full
SO-2024-00022,1,RENW-1035,1,0,1708.77,4.91,Cancelled
SO-2024-00022,2,ELEC-1194,15,15,64.59,8.53,Despatched in full
SO-2024-00022,3,RENW-1100,1,1,815.9,12.08,Despatched in full
SO-2024-00023,1,HEAT-1047,1,1,606.86,6.78,Despatched in full
SO-2024-00024,1,VENT-1075,4,4,269.06,7.22,Despatched in full
SO-2024-00024,2,TOOL-1003,5,5,42.01,8.05,Despatched in full
SO-2024-00025,1,PIPE-1201,19,19,17.63,12.05,Despatched in full
SO-2024-00025,2,HEAT-1016,2,2,553.89,20.76,Despatched in full
SO-2024-00025,3,DRAIN-1106,7,7,12.94,15.27,Despatched in full
SO-2024-00025,4,HEAT-1203,1,1,857.95,4.14,Despatched in full
SO-2024-00026,1,HEAT-1142,2,2,599.59,11.04,Despatched in full
SO-2024-00027,1,TOOL-1144,8,8,2.26,0.0,Despatched in full
SO-2024-00028,1,TOOL-1128,13,13,3.81,6.93,Despatched in full
SO-2024-00028,2,TOOL-1110,10,10,29.13,16.14,Despatched in full
SO-2024-00029,1,VENT-1084,2,2,47.15,19.4,Despatched in full
SO-2024-00029,2,ELEC-1131,24,24,25.15,4.98,Despatched in full
SO-2024-00029,3,RENW-1087,1,1,1285.08,5.23,Despatched in full
SO-2024-00029,4,HEAT-1203,2,2,726.92,18.78,Despatched in full
SO-2024-00029,5,RENW-1100,1,1,830.19,10.54,Despatched in full
SO-2024-00029,6,HEAT-1064,1,1,369.58,8.52,Despatched in full
SO-2024-00030,1,VALV-1192,3,3,54.26,0.0,Despatched in full
SO-2024-00030,2,PIPE-1201,23,23,16.27,18.85,Despatched in full
SO-2024-00030,3,TOOL-1087,30,30,3.49,9.31,Despatched in full
SO-2024-00030,4,DRAIN-1179,11,11,135.13,12.25,Despatched in full
SO-2024-00030,5,PIPE-1109,87,87,4.57,19.36,Despatched in full
SO-2024-00031,1,PIPE-1038,28,28,1.59,27.61,Despatched in full
SO-2024-00031,2,TOOL-1077,51,51,3.02,23.97,Despatched in full
SO-2024-00031,3,RENW-1000,1,1,1815.29,27.85,Despatched in full
SO-2024-00032,1,PIPE-1186,42,42,1.41,0.0,Despatched in full
SO-2024-00032,2,PIPE-1119,56,56,10.13,4.09,Despatched in full
SO-2024-00033,1,HEAT-1168,2,2,612.5,19.83,Despatched in full
SO-2024-00033,2,HEAT-1211,1,1,445.11,20.94,Despatched in full
SO-2024-00033,3,VALV-1121,7,7,89.68,24.64,Despatched in full
SO-2024-00033,4,VALV-1037,18,18,35.99,21.07,Despatched in full
SO-2024-00033,5,ELEC-1049,54,54,38.7,19.7,Despatched in full
SO-2024-00034,1,VALV-1121,10,10,99.46,16.42,Despatched in full
SO-2024-00035,1,VENT-1214,4,4,197.88,18.23,Despatched in full
SO-2024-00036,1,HEAT-1064,1,1,263.73,34.72,Despatched in full
SO-2024-00036,2,RENW-1105,2,2,2737.9,30.28,Despatched in full
SO-2024-00036,3,DRAIN-1095,2,2,110.56,33.4,Despatched in full
SO-2024-00036,4,TOOL-1182,16,16,2.57,36.33,Despatched in full
SO-2024-00036,5,TOOL-1175,12,12,3.31,30.69,Despatched in full
SO-2024-00036,6,VENT-1019,4,4,56.06,32.65,Despatched in full
SO-2024-00036,7,HEAT-1203,1,1,587.39,34.37,Despatched in full
SO-2024-00036,8,RENW-1070,1,1,806.2,42.0,Despatched in full
SO-2024-00037,1,VALV-1192,2,2,52.16,3.87,Despatched in full
SO-2024-00037,2,VENT-1019,4,4,65.94,20.77,Despatched in full
SO-2024-00037,3,VENT-1185,1,1,83.48,24.79,Despatched in full
SO-2024-00037,4,ELEC-1194,51,51,63.27,10.4,Despatched in full
SO-2024-00038,1,HEAT-1016,2,2,593.31,15.12,Despatched in full
SO-2024-00038,2,TOOL-1018,18,18,1.85,0.84,Despatched in full
SO-2024-00038,3,ELEC-1088,12,12,15.81,20.72,Despatched in full
SO-2024-00039,1,VENT-1066,2,2,53.66,21.16,Despatched in full
SO-2024-00040,1,PIPE-1201,105,105,19.28,3.82,Despatched in full
SO-2024-00040,2,ELEC-1134,17,17,90.4,20.0,Despatched in full
SO-2024-00040,3,DRAIN-1179,5,5,122.68,20.34,Despatched in full
SO-2024-00040,4,TOOL-1128,4,4,3.81,6.91,Despatched in full
SO-2024-00041,1,PIPE-1025,55,55,3.37,4.12,Despatched in full
SO-2024-00041,2,ELEC-1049,17,17,48.2,0.0,Despatched in full
SO-2024-00042,1,TOOL-1071,12,12,4.62,16.14,Despatched in full
SO-2024-00042,2,PIPE-1168,33,33,1.2,16.03,Despatched in full
SO-2024-00043,1,TOOL-1071,6,6,5.2,5.68,Despatched in full
SO-2024-00043,2,PIPE-1061,94,94,2.77,9.75,Despatched in full
SO-2024-00043,3,TOOL-1087,21,21,3.66,5.01,Despatched in full
SO-2024-00043,4,PIPE-1201,35,35,16.75,16.48,Despatched in full
SO-2024-00044,1,TOOL-1110,18,18,27.69,20.3,Despatched in full
SO-2024-00044,2,ELEC-1214,23,23,1.71,14.83,Despatched in full
SO-2024-00044,3,ELEC-1088,18,18,18.76,5.91,Despatched in full
SO-2024-00044,4,PIPE-1142,38,38,0.64,4.73,Despatched in full
SO-2024-00044,5,VALV-1204,4,4,47.25,12.52,Despatched in full
SO-2024-00044,6,ELEC-1134,20,20,91.48,19.04,Despatched in full
SO-2024-00045,1,DRAIN-1047,7,7,244.59,14.48,Despatched in full
SO-2024-00045,2,VALV-1007,3,2,15.7,16.29,Short shipped
SO-2024-00046,1,TOOL-1018,32,32,1.55,17.11,Despatched in full
SO-2024-00046,2,RENW-1100,1,1,765.88,17.47,Despatched in full
SO-2024-00047,1,TOOL-1021,7,7,2.38,18.88,Despatched in full
SO-2024-00048,1,VENT-1095,1,1,219.0,0.0,Despatched in full
SO-2024-00048,2,HEAT-1130,2,2,999.41,2.97,Despatched in full
SO-2024-00049,1,RENW-1100,2,2,648.3,30.14,Despatched in full
SO-2024-00049,2,TOOL-1021,36,36,2.01,31.28,Despatched in full
SO-2024-00049,3,PIPE-1029,56,56,4.44,38.4,Despatched in full
SO-2024-00049,4,HEAT-1082,1,1,183.76,39.75,Despatched in full
SO-2024-00050,1,ELEC-1134,18,18,91.84,18.73,Despatched in full
SO-2024-00050,2,TOOL-1163,6,6,10.25,7.46,Despatched in full
SO-2024-00050,3,PIPE-1119,38,38,9.25,12.38,Despatched in full
SO-2024-00050,4,RENW-1087,1,1,1334.58,1.58,Despatched in full
SO-2024-00050,5,TOOL-1031,17,17,19.06,17.51,Despatched in full
SO-2024-00050,6,VENT-1095,2,2,205.25,6.28,Despatched in full
SO-2024-00050,7,ELEC-1094,42,42,4.21,8.09,Despatched in full
SO-2024-00050,8,RENW-1100,1,1,783.42,15.58,Despatched in full
SO-2024-00051,1,TOOL-1021,13,13,2.36,19.43,Returned
SO-2024-00051,2,HEAT-1082,2,2,264.01,13.44,Despatched in full
SO-2024-00051,3,HEAT-1016,1,1,520.89,25.48,Despatched in full
SO-2024-00051,4,RENW-1000,2,2,2111.93,16.06,Despatched in full
SO-2024-00052,1,PIPE-1101,43,43,2.8,2.6,Despatched in full
SO-2024-00052,2,VALV-1121,15,15,118.69,0.26,Despatched in full
SO-2024-00053,1,ELEC-1049,20,20,42.41,12.02,Despatched in full
SO-2024-00053,2,HEAT-1047,1,1,643.97,1.08,Despatched in full
SO-2024-00054,1,ELEC-1075,19,19,36.35,13.49,Despatched in full
SO-2024-00054,2,ELEC-1204,20,20,21.12,16.21,Despatched in full
SO-2024-00055,1,VALV-1110,5,5,14.99,10.99,Despatched in full
SO-2024-00055,2,HEAT-1082,1,1,246.53,19.17,Despatched in full
SO-2024-00055,3,RENW-1087,1,1,1252.81,7.61,Despatched in full
SO-2024-00056,1,ELEC-1008,23,23,5.28,21.64,Despatched in full
SO-2024-00056,2,DRAIN-1199,8,7,6.76,16.6,Short shipped
SO-2024-00057,1,TOOL-1124,11,11,35.99,5.22,Despatched in full
SO-2024-00057,2,TOOL-1128,9,9,4.09,0.0,Despatched in full
SO-2024-00057,3,RENW-1180,1,1,2320.8,15.33,Despatched in full
SO-2024-00057,4,RENW-1100,1,1,896.91,3.35,Despatched in full
SO-2024-00058,1,TOOL-1128,27,27,3.5,14.34,Despatched in full
SO-2024-00058,2,RENW-1087,4,4,1229.76,9.31,Despatched in full
SO-2024-00058,3,TOOL-1137,28,28,28.69,15.23,Despatched in full
SO-2024-00058,4,TOOL-1201,16,16,13.33,31.72,Despatched in full
SO-2024-00058,5,ELEC-1217,20,20,114.58,21.52,Despatched in full
SO-2024-00059,1,VALV-1204,9,9,51.42,4.79,Despatched in full
SO-2024-00059,2,HEAT-1016,2,2,664.82,4.89,Despatched in full
SO-2024-00059,3,RENW-1042,2,2,893.18,13.03,Despatched in full
SO-2024-00059,4,TOOL-1182,5,5,3.74,7.47,Despatched in full
SO-2024-00060,1,TOOL-1021,12,12,2.92,0.39,Despatched in full
SO-2024-00060,2,PIPE-1088,81,81,0.48,10.42,Despatched in full
SO-2024-00060,3,HEAT-1124,3,3,838.1,13.33,Despatched in full
SO-2024-00061,1,VENT-1119,1,1,813.96,9.86,Despatched in full
SO-2024-00061,2,ELEC-1049,17,17,45.77,5.05,Despatched in full
SO-2024-00061,3,PIPE-1029,91,91,7.21,0.0,Despatched in full
SO-2024-00062,1,HEAT-1124,1,1,788.1,18.5,Despatched in full
SO-2024-00063,1,TOOL-1110,14,14,25.45,26.73,Despatched in full
SO-2024-00063,2,VALV-1121,2,2,77.49,34.88,Despatched in full
SO-2024-00063,3,RENW-1022,6,0,1047.06,37.86,Cancelled
SO-2024-00064,1,TOOL-1144,12,12,2.04,9.62,Despatched in full
SO-2024-00064,2,PIPE-1168,52,52,1.22,14.6,Despatched in full
SO-2024-00064,3,TOOL-1163,14,14,9.57,13.59,Despatched in full
SO-2024-00064,4,HEAT-1124,3,3,959.46,0.78,Despatched in full
SO-2024-00065,1,PIPE-1061,263,263,2.75,10.45,Despatched in full
SO-2024-00065,2,VALV-1007,5,5,16.04,14.49,Despatched in full
SO-2024-00065,3,HEAT-1203,2,2,851.23,4.89,Despatched in full
SO-2024-00065,4,TOOL-1128,4,4,3.18,22.2,Despatched in full
SO-2024-00065,5,DRAIN-1161,5,5,11.1,0.61,Despatched in full
SO-2024-00065,6,ELEC-1150,11,11,19.33,7.38,Despatched in full
SO-2024-00066,1,VENT-1214,5,5,212.33,12.26,Despatched in full
SO-2024-00066,2,PIPE-1119,14,14,9.43,10.73,Despatched in full
SO-2024-00067,1,HEAT-1016,2,2,622.6,10.93,Despatched in full
SO-2024-00067,2,ELEC-1214,14,14,1.85,8.15,Despatched in full
SO-2024-00068,1,DRAIN-1158,11,11,94.62,21.8,Despatched in full
SO-2024-00069,1,ELEC-1094,27,27,4.23,7.73,Despatched in full
SO-2024-00069,2,PIPE-1109,46,46,4.52,20.26,Despatched in full
SO-2024-00069,3,VENT-1119,3,3,749.22,17.03,Despatched in full
SO-2024-00070,1,PIPE-1119,26,26,9.72,8.0,Despatched in full
SO-2024-00070,2,VALV-1192,14,14,48.69,10.27,Despatched in full
SO-2024-00070,3,RENW-1000,1,1,2301.39,8.53,Despatched in full
SO-2024-00070,4,VALV-1121,7,7,110.11,7.47,Despatched in full
SO-2024-00071,1,TOOL-1128,8,8,3.54,13.41,Despatched in full
SO-2024-00071,2,VALV-1007,6,6,17.06,9.07,Despatched in full
SO-2024-00071,3,HEAT-1082,2,2,254.31,16.62,Despatched in full
SO-2024-00071,4,VENT-1019,1,1,78.04,6.23,Despatched in full
SO-2024-00072,1,PIPE-1109,18,18,4.52,20.24,Despatched in full
SO-2024-00072,2,VALV-1056,5,5,31.47,15.41,Despatched in full
SO-2024-00073,1,PIPE-1029,63,63,5.84,19.02,Despatched in full
SO-2024-00073,2,PIPE-1109,29,29,5.48,3.39,Despatched in full
SO-2024-00073,3,PIPE-1064,73,73,12.65,8.0,Despatched in full
SO-2024-00073,4,VENT-1084,2,2,52.4,10.42,Despatched in full
SO-2024-00073,5,PIPE-1119,30,30,10.16,3.83,Despatched in full
SO-2024-00073,6,RENW-1087,1,1,1156.53,14.71,Despatched in full
SO-2024-00074,1,VENT-1158,2,2,150.98,14.7,Despatched in full
SO-2024-00074,2,HEAT-1016,1,1,593.66,15.07,Despatched in full
SO-2024-00074,3,ELEC-1158,25,25,5.59,18.15,Despatched in full
SO-2024-00075,1,RENW-1061,1,1,2025.0,17.11,Despatched in full
SO-2024-00075,2,HEAT-1082,1,1,278.83,8.58,Despatched in full
SO-2024-00075,3,RENW-1042,1,1,935.29,8.93,Despatched in full
SO-2024-00075,4,VENT-1119,1,1,809.72,10.33,Despatched in full
SO-2024-00075,5,DRAIN-1179,9,9,129.79,15.72,Despatched in full
SO-2024-00075,6,RENW-1100,1,1,842.62,9.2,Despatched in full
SO-2024-00075,7,RENW-1201,1,1,1251.19,12.32,Despatched in full
SO-2024-00076,1,PIPE-1064,46,46,13.75,0.0,Returned
SO-2024-00076,2,RENW-1000,1,1,2255.59,10.35,Despatched in full
SO-2024-00077,1,ELEC-1214,15,15,1.98,1.58,Despatched in full
SO-2024-00078,1,TOOL-1128,9,9,3.93,3.91,Despatched in full
SO-2024-00078,2,HEAT-1064,2,2,359.88,10.92,Despatched in full
SO-2024-00078,3,PIPE-1168,24,24,1.28,10.71,Despatched in full
SO-2024-00078,4,HEAT-1203,3,3,748.67,16.35,Despatched in full
SO-2024-00079,1,RENW-1095,1,1,2419.16,23.25,Despatched in full
SO-2024-00080,1,PIPE-1201,77,77,18.41,8.17,Despatched in full
SO-2024-00080,2,PIPE-1168,26,26,1.26,11.73,Despatched in full
SO-2024-00080,3,PIPE-1061,59,59,2.64,13.86,Despatched in full
SO-2024-00081,1,ELEC-1214,11,11,1.74,13.63,Despatched in full
SO-2024-00081,2,PIPE-1061,47,47,2.56,16.67,Despatched in full
SO-2024-00082,1,DRAIN-1130,6,6,89.55,3.97,Despatched in full
SO-2024-00082,2,RENW-1127,1,1,1430.23,15.17,Despatched in full
SO-2024-00082,3,RENW-1122,1,1,1248.16,17.45,Despatched in full
SO-2024-00083,1,ELEC-1049,12,12,41.48,13.94,Despatched in full
SO-2024-00083,2,PIPE-1168,41,41,1.16,19.09,Despatched in full
SO-2024-00083,3,VALV-1215,8,8,29.19,12.32,Despatched in full
SO-2024-00083,4,TOOL-1128,7,7,3.78,7.63,Despatched in full
SO-2024-00084,1,VALV-1056,13,4,28.22,24.14,Short shipped
SO-2024-00084,2,VENT-1019,6,6,70.91,14.8,Despatched in full
SO-2024-00084,3,RENW-1100,1,1,771.54,16.86,Despatched in full
SO-2024-00084,4,DRAIN-1016,5,5,86.23,26.3,Despatched in full
SO-2024-00085,1,DRAIN-1113,9,9,22.17,10.15,Despatched in full
SO-2024-00085,2,ELEC-1131,19,19,25.72,2.83,Despatched in full
SO-2024-00085,3,HEAT-1064,3,3,392.32,2.89,Despatched in full
SO-2024-00086,1,VALV-1215,4,4,29.44,11.56,Despatched in full
SO-2024-00086,2,VALV-1084,4,4,128.35,21.26,Despatched in full
SO-2024-00087,1,RENW-1100,2,2,724.95,21.88,Despatched in full
SO-2024-00087,2,ELEC-1143,27,27,18.83,19.01,Despatched in full
SO-2024-00087,3,VENT-1019,2,0,64.28,22.77,Cancelled
SO-2024-00088,1,VALV-1084,2,2,137.78,15.47,Despatched in full
SO-2024-00088,2,HEAT-1211,2,2,436.55,22.46,Despatched in full
SO-2024-00088,3,TOOL-1021,8,8,2.4,17.99,Despatched in full
SO-2024-00088,4,RENW-1100,2,2,803.93,13.37,Despatched in full
SO-2024-00088,5,ELEC-1049,9,9,48.2,0.0,Despatched in full
SO-2024-00088,6,VALV-1007,6,0,16.25,13.37,Not available
SO-2024-00088,7,PIPE-1101,30,30,2.65,7.83,Despatched in full
SO-2024-00089,1,DRAIN-1113,8,8,24.14,2.19,Despatched in full
SO-2024-00090,1,PIPE-1061,32,32,2.85,7.19,Despatched in full
SO-2024-00090,2,HEAT-1016,1,1,618.34,11.54,Despatched in full
SO-2024-00090,3,TOOL-1077,9,9,3.2,19.31,Despatched in full
SO-2024-00090,4,HEAT-1082,1,1,223.99,26.56,Despatched in full
SO-2024-00090,5,ELEC-1214,11,11,1.76,12.29,Despatched in full
SO-2024-00090,6,VENT-1214,2,2,222.42,8.09,Despatched in full
SO-2024-00090,7,TOOL-1067,9,9,10.87,13.06,Despatched in full
SO-2024-00091,1,RENW-1100,1,1,883.83,4.76,Despatched in full
SO-2024-00091,2,ELEC-1217,10,10,131.36,10.03,Despatched in full
SO-2024-00092,1,VALV-1056,3,0,32.25,13.31,Not available
SO-2024-00092,2,VALV-1007,7,0,13.46,28.24,Not available
SO-2024-00092,3,ELEC-1008,13,13,5.68,15.79,Despatched in full
SO-2024-00092,4,DRAIN-1113,27,0,20.27,17.88,Cancelled
SO-2024-00092,5,VENT-1019,2,2,78.63,5.53,Despatched in full
SO-2024-00093,1,ELEC-1184,25,25,130.82,9.78,Despatched in full
SO-2024-00093,2,ELEC-1131,21,21,23.45,11.41,Despatched in full
SO-2024-00093,3,RENW-1100,1,1,860.63,7.26,Despatched in full
SO-2024-00093,4,TOOL-1128,8,8,3.44,15.99,Despatched in full
SO-2024-00093,5,ELEC-1217,24,24,133.4,8.63,Despatched in full
SO-2024-00093,6,DRAIN-1047,4,4,246.56,13.79,Despatched in full
SO-2024-00093,7,ELEC-1088,15,15,19.37,2.84,Despatched in full
SO-2024-00093,8,HEAT-1142,2,2,626.55,7.04,Despatched in full
SO-2024-00094,1,ELEC-1049,18,18,45.46,5.69,Despatched in full
SO-2024-00094,2,HEAT-1142,1,1,571.55,15.2,Despatched in full
SO-2024-00094,3,HEAT-1203,1,1,767.82,14.21,Despatched in full
SO-2024-00095,1,HEAT-1082,2,2,208.32,31.7,Despatched in full
SO-2024-00095,2,ELEC-1094,41,41,3.33,27.21,Despatched in full
SO-2024-00095,3,HEAT-1016,1,1,464.77,33.51,Returned
SO-2024-00095,4,DRAIN-1161,10,10,8.55,23.47,Despatched in full
SO-2024-00095,5,RENW-1000,2,2,1943.11,22.77,Despatched in full
SO-2024-00095,6,VALV-1102,22,22,71.12,27.18,Despatched in full
SO-2024-00096,1,ELEC-1008,17,17,5.48,18.73,Despatched in full
SO-2024-00096,2,HEAT-1089,2,2,630.06,11.88,Despatched in full
SO-2024-00096,3,VALV-1192,5,5,44.17,18.59,Despatched in full
SO-2024-00096,4,VENT-1095,1,1,196.33,10.35,Despatched in full
SO-2024-00097,1,RENW-1031,1,1,2802.53,6.27,Despatched in full
SO-2024-00097,2,PIPE-1165,39,39,15.72,28.25,Despatched in full
SO-2024-00097,3,TOOL-1021,20,20,2.5,14.67,Despatched in full
SO-2024-00098,1,HEAT-1142,2,2,615.16,8.73,Despatched in full
SO-2024-00098,2,VALV-1130,5,5,26.62,6.99,Despatched in full
SO-2024-00098,3,RENW-1095,1,1,2676.36,15.09,Despatched in full
SO-2024-00099,1,RENW-1158,1,1,2992.5,24.47,Despatched in full
SO-2024-00099,2,PIPE-1101,67,67,2.66,7.35,Despatched in full
SO-2024-00099,3,TOOL-1137,9,6,30.07,11.16,Short shipped
SO-2024-00099,4,HEAT-1073,2,2,528.14,7.99,Despatched in full
SO-2024-00100,1,DRAIN-1204,15,15,8.01,20.5,Despatched in full
SO-2024-00100,2,HEAT-1033,1,1,950.81,23.26,Despatched in full
SO-2024-00100,3,HEAT-1082,1,1,231.89,23.97,Despatched in full
SO-2024-00100,4,TOOL-1182,22,22,2.9,28.32,Despatched in full
SO-2024-00100,5,DRAIN-1179,6,6,117.9,23.44,Despatched in full
SO-2024-00101,1,ELEC-1217,45,45,102.35,29.9,Despatched in full
SO-2024-00101,2,VENT-1149,2,2,59.88,20.09,Despatched in full
SO-2024-00101,3,PIPE-1109,40,40,4.12,27.33,Despatched in full
SO-2024-00101,4,RENW-1161,2,2,774.27,13.97,Despatched in full
SO-2024-00101,5,TOOL-1205,19,19,2.1,14.98,Despatched in full
SO-2024-00101,6,TOOL-1219,10,10,1.13,24.4,Despatched in full
SO-2024-00101,7,HEAT-1200,1,1,1046.27,21.51,Despatched in full
SO-2024-00102,1,TOOL-1110,7,7,23.43,32.57,Despatched in full
SO-2024-00102,2,PIPE-1126,33,33,8.64,24.67,Despatched in full
SO-2024-00102,3,RENW-1053,1,1,2488.68,25.91,Despatched in full
SO-2024-00103,1,TOOL-1175,7,7,3.56,25.37,Despatched in full
SO-2024-00103,2,TOOL-1128,30,30,3.67,10.27,Despatched in full
SO-2024-00103,3,PIPE-1201,42,42,15.77,21.35,Despatched in full
SO-2024-00103,4,RENW-1053,1,1,2788.64,16.98,Despatched in full
SO-2024-00103,5,ELEC-1049,9,9,37.64,21.91,Despatched in full
SO-2024-00103,6,ELEC-1214,13,13,1.54,23.26,Despatched in full
SO-2024-00104,1,VENT-1019,2,2,70.12,15.75,Despatched in full
SO-2024-00104,2,PIPE-1201,38,38,17.96,10.4,Despatched in full
SO-2024-00104,3,HEAT-1182,2,2,647.0,0.0,Despatched in full
SO-2024-00105,1,PIPE-1119,56,56,10.49,0.63,Despatched in full
SO-2024-00105,2,RENW-1042,1,1,862.99,15.97,Despatched in full
SO-2024-00105,3,TOOL-1092,10,10,44.92,8.69,Despatched in full
SO-2024-00106,1,HEAT-1009,2,2,792.99,15.46,Despatched in full
SO-2024-00106,2,TOOL-1144,35,35,2.18,3.52,Despatched in full
SO-2024-00106,3,RENW-1053,1,1,2668.05,20.57,Despatched in full
SO-2024-00107,1,VALV-1080,3,3,179.0,0.0,Despatched in full
SO-2024-00108,1,HEAT-1200,2,2,1275.41,4.32,Despatched in full
SO-2024-00108,2,RENW-1161,2,2,727.83,19.13,Despatched in full
SO-2024-00108,3,ELEC-1217,16,16,120.29,17.61,Despatched in full
SO-2024-00108,4,HEAT-1142,1,1,574.38,14.78,Despatched in full
SO-2024-00108,5,ELEC-1150,10,10,17.99,13.8,Despatched in full
SO-2024-00109,1,DRAIN-1161,6,6,10.6,5.07,Despatched in full
