sales_order_number,customer_account,warehouse_code,order_date,requested_delivery_date,despatch_date,order_channel,order_status
SO-2024-00023,C1457,DAV,2024-01-03,2024-01-08,2024-01-03,Telephone,Despatched
SO-2024-00024,C1795,DAV,2024-01-03,2024-01-04,2024-01-04,Trade counter,Despatched
SO-2024-00025,C1057,WAR,2024-01-03,2024-01-09,2024-01-03,Web,Despatched
SO-2024-00026,C1264,WAR,2024-01-03,2024-01-08,2024-01-03,Trade counter,Despatched
SO-2024-00027,C1174,WAR,2024-01-03,2024-01-05,2024-01-03,Telephone,Despatched
SO-2024-00028,C1090,WAR,2024-01-03,2024-01-08,2024-01-05,Telephone,Despatched
SO-2024-00029,C1234,WAR,2024-01-03,2024-01-08,2024-01-03,Web,Despatched
SO-2024-00030,C1790,WAR,2024-01-03,2024-01-05,2024-01-08,Trade counter,Despatched
SO-2024-00031,C1726,LIV,2024-01-03,2024-01-09,2024-01-03,Trade counter,Despatched
SO-2024-00032,C1800,DAV,2024-01-04,2024-01-10,2024-01-04,Web,Despatched
SO-2024-00033,C1605,DAV,2024-01-04,2024-01-08,2024-01-04,Web,Despatched
SO-2024-00034,C1429,DAV,2024-01-04,2024-01-08,2024-01-04,Web,Despatched
SO-2024-00035,C1270,DAV,2024-01-04,2024-01-10,2024-01-04,Telephone,Despatched
SO-2024-00036,C1636,DAV,2024-01-04,2024-01-09,2024-01-04,Web,Despatched
SO-2024-00037,C1429,DAV,2024-01-04,2024-01-05,2024-01-05,Telephone,Despatched
SO-2024-00038,C1078,DAV,2024-01-04,2024-01-10,2024-01-04,Trade counter,Despatched
SO-2024-00039,C1255,DAV,2024-01-04,2024-01-08,2024-01-05,Telephone,Despatched
SO-2024-00040,C1389,DAV,2024-01-04,2024-01-08,2024-01-04,Trade counter,Despatched
SO-2024-00041,C1560,WAR,2024-01-04,2024-01-10,2024-01-04,Account manager,Despatched
SO-2024-00042,C1346,WAR,2024-01-04,2024-01-10,2024-01-08,Trade counter,Despatched
SO-2024-00043,C1568,WAR,2024-01-04,2024-01-08,2024-01-05,Telephone,Despatched
SO-2024-00044,C1558,WAR,2024-01-04,2024-01-08,2024-01-04,Web,Despatched
SO-2024-00045,C1597,WAR,2024-01-04,2024-01-09,2024-01-08,Web,Part despatched
SO-2024-00046,C1651,WAR,2024-01-04,2024-01-10,2024-01-05,Telephone,Despatched
SO-2024-00047,C1848,WAR,2024-01-04,2024-01-08,2024-01-04,Trade counter,Despatched
SO-2024-00048,C1349,WAR,2024-01-04,2024-01-10,2024-01-04,Trade counter,Despatched
SO-2024-00049,C1168,LIV,2024-01-04,2024-01-05,2024-01-04,Account manager,Despatched
SO-2024-00050,C1124,LIV,2024-01-04,2024-01-09,2024-01-04,Telephone,Despatched
SO-2024-00051,C1159,LIV,2024-01-04,2024-01-09,2024-01-04,Telephone,Despatched
SO-2024-00052,C1094,DAV,2024-01-05,2024-01-09,2024-01-05,Web,Despatched
SO-2024-00053,C1708,DAV,2024-01-05,2024-01-08,2024-01-08,Account manager,Despatched
SO-2024-00054,C1800,DAV,2024-01-05,2024-01-08,2024-01-05,Trade counter,Despatched
SO-2024-00055,C1728,DAV,2024-01-05,2024-01-10,2024-01-08,Trade counter,Despatched
SO-2024-00056,C1890,DAV,2024-01-05,2024-01-11,2024-01-05,Telephone,Part despatched
SO-2024-00057,C1531,DAV,2024-01-05,2024-01-09,2024-01-05,Trade counter,Despatched
SO-2024-00058,C1401,DAV,2024-01-05,2024-01-10,2024-01-08,Trade counter,Despatched
SO-2024-00059,C1881,DAV,2024-01-05,2024-01-08,2024-01-05,Account manager,Despatched
SO-2024-00060,C1184,DAV,2024-01-05,2024-01-10,2024-01-05,Trade counter,Despatched
SO-2024-00061,C1366,DAV,2024-01-05,2024-01-10,2024-01-05,Telephone,Despatched
SO-2024-00062,C1795,DAV,2024-01-05,2024-01-08,2024-01-08,Telephone,Despatched
SO-2024-00063,C1940,DAV,2024-01-05,2024-01-10,2024-01-05,Web,Despatched
SO-2024-00064,C1750,WAR,2024-01-05,2024-01-11,2024-01-05,Account manager,Despatched
SO-2024-00065,C1651,WAR,2024-01-05,2024-01-11,2024-01-05,Telephone,Despatched
SO-2024-00066,C1460,WAR,2024-01-05,2024-01-09,2024-01-08,Trade counter,Despatched
SO-2024-00067,C1059,WAR,2024-01-05,2024-01-09,2024-01-05,Account manager,Despatched
SO-2024-00068,C1032,WAR,2024-01-05,2024-01-09,2024-01-08,Trade counter,Despatched
SO-2024-00069,C1948,WAR,2024-01-05,2024-01-11,2024-01-10,Web,Despatched
SO-2024-00070,C1032,WAR,2024-01-05,2024-01-09,2024-01-08,Web,Despatched
SO-2024-00071,C1208,WAR,2024-01-05,2024-01-08,2024-01-05,Account manager,Despatched
SO-2024-00072,C1691,LIV,2024-01-05,2024-01-09,2024-01-05,Web,Despatched
SO-2024-00073,C1085,LIV,2024-01-05,2024-01-10,2024-01-05,Web,Despatched
SO-2024-00074,C1335,DAV,2024-01-08,2024-01-09,2024-01-08,Web,Despatched
SO-2024-00075,C1262,DAV,2024-01-08,2024-01-12,2024-01-08,Trade counter,Despatched
SO-2024-00076,C1299,DAV,2024-01-08,2024-01-09,2024-01-08,Trade counter,Despatched
SO-2024-00077,C1765,DAV,2024-01-08,2024-01-12,2024-01-09,Web,Despatched
SO-2024-00078,C1179,DAV,2024-01-08,2024-01-09,2024-01-08,Telephone,Despatched
SO-2024-00079,C1169,DAV,2024-01-08,2024-01-11,2024-01-08,Web,Despatched
SO-2024-00080,C1429,DAV,2024-01-08,2024-01-11,2024-01-08,Telephone,Despatched
SO-2024-00081,C1056,DAV,2024-01-08,2024-01-10,2024-01-08,Telephone,Despatched
SO-2024-00082,C1278,DAV,2024-01-08,2024-01-09,2024-01-08,Trade counter,Despatched
SO-2024-00083,C1389,DAV,2024-01-08,2024-01-10,2024-01-09,Telephone,Despatched
SO-2024-00084,C1802,WAR,2024-01-08,2024-01-12,2024-01-08,Trade counter,Part despatched
SO-2024-00085,C1032,WAR,2024-01-08,2024-01-10,2024-01-08,Web,Despatched
SO-2024-00086,C1924,WAR,2024-01-08,2024-01-12,2024-01-08,Trade counter,Despatched
SO-2024-00087,C1398,WAR,2024-01-08,2024-01-12,2024-01-08,Trade counter,Despatched
SO-2024-00088,C1391,WAR,2024-01-08,2024-01-10,2024-01-08,Telephone,Part despatched
SO-2024-00089,C1482,WAR,2024-01-08,2024-01-09,2024-01-09,Telephone,Despatched
SO-2024-00090,C1010,WAR,2024-01-08,2024-01-12,2024-01-10,Telephone,Despatched
SO-2024-00091,C1702,WAR,2024-01-08,2024-01-10,2024-01-08,Telephone,Despatched
SO-2024-00092,C1885,WAR,2024-01-08,2024-01-09,2024-01-08,Account manager,Part despatched
SO-2024-00093,C1878,LIV,2024-01-08,2024-01-12,2024-01-09,Web,Despatched
SO-2024-00094,C1435,LIV,2024-01-08,2024-01-12,2024-01-08,Web,Despatched
SO-2024-00095,C1607,LIV,2024-01-08,2024-01-09,2024-01-08,Account manager,Despatched
SO-2024-00096,C1104,DAV,2024-01-09,2024-01-12,2024-01-09,Trade counter,Despatched
SO-2024-00097,C1527,DAV,2024-01-09,2024-01-12,2024-01-09,Web,Despatched
SO-2024-00098,C1278,DAV,2024-01-09,2024-01-12,2024-01-09,Trade counter,Despatched
SO-2024-00099,C1947,DAV,2024-01-09,2024-01-11,2024-01-12,Trade counter,Part despatched
SO-2024-00100,C1447,DAV,2024-01-09,2024-01-11,2024-01-09,Trade counter,Despatched
SO-2024-00101,C1512,DAV,2024-01-09,2024-01-11,2024-01-09,Web,Despatched
SO-2024-00102,C1648,DAV,2024-01-09,2024-01-15,2024-01-10,Trade counter,Despatched
SO-2024-00103,C1669,DAV,2024-01-09,2024-01-15,2024-01-09,Trade counter,Despatched
SO-2024-00104,C1744,DAV,2024-01-09,2024-01-10,2024-01-09,Trade counter,Despatched
SO-2024-00105,C1366,DAV,2024-01-09,2024-01-10,2024-01-09,Telephone,Despatched
SO-2024-00106,C1145,DAV,2024-01-09,2024-01-10,2024-01-09,Trade counter,Despatched
SO-2024-00107,C1710,DAV,2024-01-09,2024-01-10,2024-01-10,Web,Despatched
SO-2024-00108,C1486,DAV,2024-01-09,2024-01-10,2024-01-11,Trade counter,Despatched
SO-2024-00109,C1952,DAV,2024-01-09,2024-01-10,2024-01-09,Trade counter,Despatched
SO-2024-00110,C1051,WAR,2024-01-09,2024-01-12,2024-01-10,Trade counter,Despatched
SO-2024-00111,C1398,WAR,2024-01-09,2024-01-12,2024-01-09,Web,Despatched
SO-2024-00112,C1724,WAR,2024-01-09,2024-01-15,2024-01-10,Account manager,Despatched
SO-2024-00113,C1234,WAR,2024-01-09,2024-01-10,2024-01-09,Account manager,Despatched
SO-2024-00114,C1803,LIV,2024-01-09,2024-01-10,2024-01-09,Account manager,Despatched
SO-2024-00115,C1128,LIV,2024-01-09,2024-01-12,2024-01-09,Trade counter,Despatched
SO-2024-00116,C1821,LIV,2024-01-09,2024-01-10,2024-01-11,Account manager,Part despatched
SO-2024-00117,C1512,DAV,2024-01-10,2024-01-12,2024-01-12,Telephone,Despatched
SO-2024-00118,C1194,DAV,2024-01-10,2024-01-12,2024-01-10,Telephone,Despatched
SO-2024-00119,C1183,DAV,2024-01-10,2024-01-15,2024-01-10,Trade counter,Despatched
SO-2024-00120,C1389,DAV,2024-01-10,2024-01-15,2024-01-10,Telephone,Despatched
SO-2024-00121,C1512,DAV,2024-01-10,2024-01-11,2024-01-10,Web,Despatched
SO-2024-00122,C1952,DAV,2024-01-10,2024-01-16,2024-01-10,Telephone,Despatched
SO-2024-00123,C1947,DAV,2024-01-10,2024-01-12,2024-01-12,Account manager,Part despatched
SO-2024-00124,C1010,WAR,2024-01-10,2024-01-16,2024-01-10,Web,Despatched
SO-2024-00125,C1032,WAR,2024-01-10,2024-01-11,2024-01-10,Telephone,Despatched
SO-2024-00126,C1051,WAR,2024-01-10,2024-01-16,2024-01-12,Trade counter,Despatched
SO-2024-00127,C1032,WAR,2024-01-10,2024-01-15,2024-01-10,Trade counter,Despatched
SO-2024-00128,C1207,WAR,2024-01-10,2024-01-16,2024-01-10,Trade counter,Despatched
SO-2024-00129,C1215,WAR,2024-01-10,2024-01-11,2024-01-11,Trade counter,Despatched
SO-2024-00130,C1168,LIV,2024-01-10,2024-01-15,2024-01-11,Trade counter,Despatched
SO-2024-00131,C1821,LIV,2024-01-10,2024-01-12,2024-01-10,Telephone,Despatched
SO-2024-00132,C1663,LIV,2024-01-10,2024-01-16,2024-01-10,Telephone,Part despatched
SO-2024-00133,C1554,DAV,2024-01-11,2024-01-17,2024-01-16,Web,Part despatched
SO-2024-00134,C1605,DAV,2024-01-11,2024-01-17,2024-01-12,Telephone,Despatched
SO-2024-00135,C1187,DAV,2024-01-11,2024-01-17,2024-01-11,Web,Despatched
SO-2024-00136,C1928,DAV,2024-01-11,2024-01-15,2024-01-11,Web,Despatched
SO-2024-00137,C1251,DAV,2024-01-11,2024-01-16,2024-01-11,Telephone,Despatched
SO-2024-00138,C1120,DAV,2024-01-11,2024-01-17,2024-01-11,Telephone,Despatched
SO-2024-00139,C1800,DAV,2024-01-11,2024-01-12,2024-01-12,Account manager,Despatched
SO-2024-00140,C1292,WAR,2024-01-11,2024-01-16,2024-01-11,Account manager,Despatched
SO-2024-00141,C1497,WAR,2024-01-11,2024-01-15,2024-01-15,Telephone,Despatched
SO-2024-00142,C1450,WAR,2024-01-11,2024-01-15,2024-01-11,Web,Despatched
SO-2024-00143,C1234,WAR,2024-01-11,2024-01-17,2024-01-11,Telephone,Despatched
SO-2024-00144,C1430,LIV,2024-01-11,2024-01-12,2024-01-11,Trade counter,Despatched
SO-2024-00145,C1900,LIV,2024-01-11,2024-01-15,2024-01-11,Trade counter,Despatched
SO-2024-00146,C1554,DAV,2024-01-12,2024-01-17,2024-01-12,Telephone,Despatched
SO-2024-00147,C1610,DAV,2024-01-12,2024-01-15,2024-01-12,Telephone,Despatched
SO-2024-00148,C1795,DAV,2024-01-12,2024-01-18,2024-01-17,Telephone,Despatched
SO-2024-00149,C1227,DAV,2024-01-12,2024-01-16,2024-01-12,Telephone,Despatched
SO-2024-00150,C1890,DAV,2024-01-12,2024-01-16,,Web,Cancelled
SO-2024-00151,C1270,DAV,2024-01-12,2024-01-17,2024-01-15,Web,Despatched
SO-2024-00152,C1218,DAV,2024-01-12,2024-01-16,2024-01-12,Web,Despatched
SO-2024-00153,C1366,DAV,2024-01-12,2024-01-17,2024-01-12,Web,Despatched
SO-2024-00154,C1447,DAV,2024-01-12,2024-01-16,2024-01-12,Trade counter,Part despatched
SO-2024-00155,C1032,WAR,2024-01-12,2024-01-15,2024-01-17,Trade counter,Despatched
SO-2024-00156,C1234,WAR,2024-01-12,2024-01-17,2024-01-12,Telephone,Despatched
SO-2024-00157,C1215,WAR,2024-01-12,2024-01-18,2024-01-12,Telephone,Despatched
SO-2024-00158,C1215,WAR,2024-01-12,2024-01-16,2024-01-12,Account manager,Despatched
SO-2024-00159,C1454,WAR,2024-01-12,2024-01-17,2024-01-12,Web,Despatched
SO-2024-00160,C1730,WAR,2024-01-12,2024-01-17,2024-01-12,Account manager,Despatched
SO-2024-00161,C1026,WAR,2024-01-12,2024-01-17,2024-01-12,Telephone,Despatched
SO-2024-00162,C1215,WAR,2024-01-12,2024-01-16,2024-01-15,Web,Despatched
SO-2024-00163,C1398,WAR,2024-01-12,2024-01-17,2024-01-12,Telephone,Despatched
SO-2024-00164,C1651,WAR,2024-01-12,2024-01-18,2024-01-12,Trade counter,Despatched
SO-2024-00165,C1234,WAR,2024-01-12,2024-01-17,2024-01-12,Web,Despatched
SO-2024-00166,C1168,LIV,2024-01-12,2024-01-18,2024-01-12,Web,Part despatched
SO-2024-00167,C1168,LIV,2024-01-12,2024-01-16,2024-01-12,Web,Despatched
SO-2024-00168,C1278,DAV,2024-01-15,2024-01-19,2024-01-15,Trade counter,Despatched
SO-2024-00169,C1563,DAV,2024-01-15,2024-01-16,2024-01-15,Telephone,Despatched
SO-2024-00170,C1145,DAV,2024-01-15,2024-01-19,2024-01-15,Trade counter,Despatched
SO-2024-00171,C1134,DAV,2024-01-15,2024-01-19,2024-01-15,Telephone,Despatched
SO-2024-00172,C1854,DAV,2024-01-15,2024-01-17,2024-01-15,Account manager,Despatched
SO-2024-00173,C1890,DAV,2024-01-15,2024-01-16,2024-01-15,Telephone,Despatched
SO-2024-00174,C1728,DAV,2024-01-15,2024-01-18,2024-01-15,Account manager,Despatched
SO-2024-00175,C1056,DAV,2024-01-15,2024-01-16,2024-01-16,Telephone,Despatched
SO-2024-00176,C1010,WAR,2024-01-15,2024-01-18,2024-01-16,Web,Despatched
SO-2024-00177,C1871,WAR,2024-01-15,2024-01-16,2024-01-15,Web,Despatched
SO-2024-00178,C1679,WAR,2024-01-15,2024-01-17,2024-01-15,Account manager,Despatched
SO-2024-00179,C1831,WAR,2024-01-15,2024-01-16,2024-01-15,Telephone,Part despatched
SO-2024-00180,C1844,WAR,2024-01-15,2024-01-17,2024-01-15,Trade counter,Despatched
SO-2024-00181,C1802,WAR,2024-01-15,2024-01-17,2024-01-15,Telephone,Part despatched
SO-2024-00182,C1702,WAR,2024-01-15,2024-01-18,2024-01-15,Account manager,Despatched
SO-2024-00183,C1802,WAR,2024-01-15,2024-01-16,2024-01-15,Telephone,Despatched
SO-2024-00184,C1215,WAR,2024-01-15,2024-01-16,2024-01-15,Telephone,Despatched
SO-2024-00185,C1434,DAV,2024-01-16,2024-01-18,2024-01-16,Telephone,Despatched
SO-2024-00186,C1429,DAV,2024-01-16,2024-01-22,2024-01-16,Trade counter,Despatched
SO-2024-00187,C1416,DAV,2024-01-16,2024-01-22,2024-01-16,Account manager,Despatched
SO-2024-00188,C1201,DAV,2024-01-16,2024-01-19,2024-01-16,Telephone,Despatched
SO-2024-00189,C1593,DAV,2024-01-16,2024-01-18,2024-01-18,Trade counter,Part despatched
SO-2024-00190,C1201,DAV,2024-01-16,2024-01-18,2024-01-16,Telephone,Despatched
SO-2024-00191,C1385,DAV,2024-01-16,2024-01-18,2024-01-16,Telephone,Part despatched
SO-2024-00192,C1201,DAV,2024-01-16,2024-01-19,2024-01-16,Account manager,Despatched
SO-2024-00193,C1255,DAV,2024-01-16,2024-01-18,2024-01-16,Web,Despatched
SO-2024-00194,C1098,DAV,2024-01-16,2024-01-19,2024-01-16,Trade counter,Part despatched
SO-2024-00195,C1335,DAV,2024-01-16,2024-01-22,2024-01-16,Trade counter,Despatched
SO-2024-00196,C1947,DAV,2024-01-16,2024-01-19,2024-01-16,Web,Despatched
SO-2024-00197,C1307,DAV,2024-01-16,2024-01-22,2024-01-16,Trade counter,Despatched
SO-2024-00198,C1581,WAR,2024-01-16,2024-01-17,2024-01-16,Trade counter,Despatched
SO-2024-00199,C1059,WAR,2024-01-16,2024-01-19,2024-01-16,Telephone,Despatched
SO-2024-00200,C1168,LIV,2024-01-16,2024-01-17,2024-01-18,Telephone,Part despatched
SO-2024-00201,C1610,DAV,2024-01-17,2024-01-23,2024-01-17,Telephone,Part despatched
SO-2024-00202,C1145,DAV,2024-01-17,2024-01-18,2024-01-17,Web,Despatched
SO-2024-00203,C1307,DAV,2024-01-17,2024-01-22,2024-01-17,Telephone,Despatched
SO-2024-00204,C1389,DAV,2024-01-17,2024-01-23,2024-01-17,Telephone,Despatched
SO-2024-00205,C1032,WAR,2024-01-17,2024-01-23,2024-01-17,Account manager,Despatched
SO-2024-00206,C1802,WAR,2024-01-17,2024-01-19,2024-01-19,Account manager,Despatched
SO-2024-00207,C1010,WAR,2024-01-17,2024-01-18,2024-01-17,Trade counter,Despatched
SO-2024-00208,C1032,WAR,2024-01-17,2024-01-23,2024-01-17,Web,Despatched
SO-2024-00209,C1055,WAR,2024-01-17,2024-01-19,2024-01-17,Telephone,Despatched
SO-2024-00210,C1844,WAR,2024-01-17,2024-01-19,2024-01-18,Account manager,Despatched
SO-2024-00211,C1844,WAR,2024-01-17,2024-01-22,2024-01-17,Trade counter,Despatched
SO-2024-00212,C1802,WAR,2024-01-17,2024-01-23,2024-01-17,Trade counter,Despatched
SO-2024-00213,C1032,WAR,2024-01-17,2024-01-23,2024-01-17,Trade counter,Despatched
SO-2024-00214,C1704,DAV,2024-01-18,2024-01-19,2024-01-18,Account manager,Despatched
SO-2024-00215,C1307,DAV,2024-01-18,2024-01-22,2024-01-18,Web,Despatched
SO-2024-00216,C1593,DAV,2024-01-18,2024-01-22,2024-01-18,Telephone,Despatched
SO-2024-00217,C1704,DAV,2024-01-18,2024-01-19,2024-01-18,Trade counter,Part despatched
SO-2024-00218,C1255,DAV,2024-01-18,2024-01-22,2024-01-19,Telephone,Part despatched
SO-2024-00219,C1299,DAV,2024-01-18,2024-01-19,2024-01-18,Account manager,Despatched
SO-2024-00220,C1512,DAV,2024-01-18,2024-01-22,2024-01-18,Account manager,Despatched
SO-2024-00221,C1708,DAV,2024-01-18,2024-01-22,2024-01-18,Account manager,Despatched
SO-2024-00222,C1447,DAV,2024-01-18,2024-01-19,2024-01-22,Web,Despatched
SO-2024-00223,C1795,DAV,2024-01-18,2024-01-19,2024-01-18,Web,Despatched
SO-2024-00224,C1120,DAV,2024-01-18,2024-01-23,2024-01-18,Web,Despatched
SO-2024-00225,C1255,DAV,2024-01-18,2024-01-19,2024-01-18,Telephone,Despatched
SO-2024-00226,C1744,DAV,2024-01-18,2024-01-19,2024-01-18,Trade counter,Despatched
SO-2024-00227,C1728,DAV,2024-01-18,2024-01-24,2024-01-18,Telephone,Despatched
SO-2024-00228,C1554,DAV,2024-01-18,2024-01-24,2024-01-19,Telephone,Despatched
SO-2024-00229,C1936,DAV,2024-01-18,2024-01-23,2024-01-19,Trade counter,Part despatched
SO-2024-00230,C1370,DAV,2024-01-18,2024-01-23,2024-01-18,Web,Despatched
SO-2024-00231,C1760,DAV,2024-01-18,2024-01-22,2024-01-18,Account manager,Part despatched
SO-2024-00232,C1081,WAR,2024-01-18,2024-01-24,2024-01-18,Account manager,Part despatched
SO-2024-00233,C1051,WAR,2024-01-18,2024-01-22,2024-01-23,Web,Despatched
SO-2024-00234,C1234,WAR,2024-01-18,2024-01-19,2024-01-18,Web,Despatched
SO-2024-00235,C1790,WAR,2024-01-18,2024-01-19,2024-01-18,Telephone,Despatched
SO-2024-00236,C1051,WAR,2024-01-18,2024-01-24,2024-01-18,Telephone,Despatched
SO-2024-00237,C1482,WAR,2024-01-18,2024-01-24,2024-01-19,Trade counter,Despatched
SO-2024-00238,C1866,WAR,2024-01-18,2024-01-23,2024-01-18,Trade counter,Despatched
SO-2024-00239,C1566,LIV,2024-01-18,2024-01-19,2024-01-18,Web,Despatched
SO-2024-00240,C1760,DAV,2024-01-19,2024-01-22,2024-01-19,Telephone,Despatched
SO-2024-00241,C1145,DAV,2024-01-19,2024-01-23,2024-01-24,Web,Despatched
SO-2024-00242,C1599,DAV,2024-01-19,2024-01-23,2024-01-19,Account manager,Part despatched
SO-2024-00243,C1335,DAV,2024-01-19,2024-01-22,2024-01-22,Telephone,Despatched
SO-2024-00244,C1521,DAV,2024-01-19,2024-01-22,2024-01-19,Trade counter,Despatched
SO-2024-00245,C1593,DAV,2024-01-19,2024-01-25,2024-01-19,Web,Despatched
SO-2024-00246,C1211,DAV,2024-01-19,2024-01-22,2024-01-23,Telephone,Despatched
SO-2024-00247,C1704,DAV,2024-01-19,2024-01-25,2024-01-19,Web,Despatched
SO-2024-00248,C1098,DAV,2024-01-19,2024-01-22,2024-01-22,Web,Despatched
SO-2024-00249,C1936,DAV,2024-01-19,2024-01-25,2024-01-22,Web,Despatched
SO-2024-00250,C1491,DAV,2024-01-19,2024-01-25,2024-01-19,Web,Part despatched
SO-2024-00251,C1716,WAR,2024-01-19,2024-01-22,2024-01-22,Account manager,Despatched
SO-2024-00252,C1653,WAR,2024-01-19,2024-01-25,2024-01-19,Web,Despatched
SO-2024-00253,C1170,WAR,2024-01-19,2024-01-22,2024-01-19,Telephone,Despatched
SO-2024-00254,C1833,WAR,2024-01-19,2024-01-22,2024-01-22,Trade counter,Despatched
SO-2024-00255,C1896,WAR,2024-01-19,2024-01-24,2024-01-19,Web,Despatched
SO-2024-00256,C1234,WAR,2024-01-19,2024-01-22,2024-01-19,Trade counter,Despatched
SO-2024-00257,C1081,WAR,2024-01-19,2024-01-25,2024-01-19,Trade counter,Despatched
SO-2024-00258,C1702,WAR,2024-01-19,2024-01-23,2024-01-22,Telephone,Part despatched
SO-2024-00259,C1435,LIV,2024-01-19,2024-01-24,2024-01-19,Trade counter,Despatched
SO-2024-00260,C1835,LIV,2024-01-19,2024-01-24,2024-01-19,Account manager,Despatched
SO-2024-00261,C1911,LIV,2024-01-19,2024-01-25,2024-01-19,Telephone,Despatched
SO-2024-00262,C1085,LIV,2024-01-19,2024-01-24,2024-01-19,Trade counter,Part despatched
SO-2024-00263,C1593,DAV,2024-01-22,2024-01-26,2024-01-22,Web,Part despatched
SO-2024-00264,C1232,DAV,2024-01-22,2024-01-23,2024-01-22,Telephone,Despatched
SO-2024-00265,C1734,DAV,2024-01-22,2024-01-26,2024-01-22,Web,Despatched
SO-2024-00266,C1563,DAV,2024-01-22,2024-01-23,2024-01-22,Telephone,Despatched
SO-2024-00267,C1940,DAV,2024-01-22,2024-01-24,2024-01-23,Trade counter,Despatched
SO-2024-00268,C1632,DAV,2024-01-22,2024-01-24,2024-01-22,Telephone,Despatched
SO-2024-00269,C1035,DAV,2024-01-22,2024-01-26,2024-01-22,Web,Part despatched
SO-2024-00270,C1977,DAV,2024-01-22,2024-01-26,2024-01-22,Telephone,Despatched
SO-2024-00271,C1781,DAV,2024-01-22,2024-01-24,2024-01-23,Web,Despatched
SO-2024-00272,C1593,DAV,2024-01-22,2024-01-25,2024-01-22,Telephone,Despatched
SO-2024-00273,C1971,DAV,2024-01-22,2024-01-24,2024-01-22,Trade counter,Despatched
SO-2024-00274,C1098,DAV,2024-01-22,2024-01-25,2024-01-25,Web,Despatched
SO-2024-00275,C1626,DAV,2024-01-22,2024-01-23,2024-01-24,Trade counter,Despatched
SO-2024-00276,C1407,DAV,2024-01-22,2024-01-24,2024-01-22,Telephone,Part despatched
SO-2024-00277,C1145,DAV,2024-01-22,2024-01-26,2024-01-22,Web,Despatched
SO-2024-00278,C1486,DAV,2024-01-22,2024-01-24,2024-01-22,Telephone,Despatched
SO-2024-00279,C1429,DAV,2024-01-22,2024-01-26,2024-01-23,Telephone,Despatched
SO-2024-00280,C1952,DAV,2024-01-22,2024-01-23,2024-01-22,Trade counter,Part despatched
SO-2024-00281,C1211,DAV,2024-01-22,2024-01-26,2024-01-22,Telephone,Despatched
SO-2024-00282,C1844,WAR,2024-01-22,2024-01-25,2024-01-22,Telephone,Despatched
SO-2024-00283,C1872,WAR,2024-01-22,2024-01-24,2024-01-22,Telephone,Despatched
SO-2024-00284,C1802,WAR,2024-01-22,2024-01-23,2024-01-22,Telephone,Despatched
SO-2024-00285,C1844,WAR,2024-01-22,2024-01-25,2024-01-22,Account manager,Despatched
SO-2024-00286,C1051,WAR,2024-01-22,2024-01-23,2024-01-22,Trade counter,Part despatched
SO-2024-00287,C1215,WAR,2024-01-22,2024-01-25,2024-01-22,Trade counter,Despatched
SO-2024-00288,C1402,WAR,2024-01-22,2024-01-24,2024-01-22,Telephone,Despatched
SO-2024-00289,C1032,WAR,2024-01-22,2024-01-26,2024-01-22,Trade counter,Despatched
SO-2024-00290,C1441,WAR,2024-01-22,2024-01-23,2024-01-22,Account manager,Part despatched
